approach,evaluation,entity_type,entity_id,marker_id,used_for_alignment,alignment_frame,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_local_x_m,est_local_y_m,est_local_z_m,est_local_roll_deg,est_local_pitch_deg,est_local_yaw_deg,est_local_rvec_x,est_local_rvec_y,est_local_rvec_z,est_gt_aligned_x_m,est_gt_aligned_y_m,est_gt_aligned_z_m,est_gt_aligned_roll_deg,est_gt_aligned_pitch_deg,est_gt_aligned_yaw_deg,est_gt_aligned_rvec_x,est_gt_aligned_rvec_y,est_gt_aligned_rvec_z,gt_world_x_m,gt_world_y_m,gt_world_z_m,gt_world_roll_deg,gt_world_pitch_deg,gt_world_yaw_deg,gt_world_rvec_x,gt_world_rvec_y,gt_world_rvec_z
AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_0,,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,3.577578916907108,0.6782237248843747,-1.1664896455351959,-3.2969827609103053,0.7538418188306029,0.6120529100633014,-1.7758697236425764,2.102835281171445,-112.7476875189538,-1.521405447197776,-0.19936416313428282,-1.9677293689042363,-0.013952046943226189,-0.028402952124443364,0.576143033544648,-1.267525087609103,2.494866718188306,-112.74750224197345,-1.584476216954464,-0.15526507239002138,-1.9677070575324966,-0.015429623982341963,-0.02898231590000214,0.58780793,-1.23455526,2.4873283,-112.76486179960601,-1.4967437177574447,-0.8270999103481541,-1.9681387137868624,-0.0028859165404719407,-0.03515086081927826
AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_1,,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,13.805252219693779,1.2131674195115996,-13.375621309336205,3.224811782753645,1.1306336296092123,-4.070205512111497,0.5025948935342645,2.1559731894230714,-105.70329247697637,0.21857180440211874,-115.42445779123925,-1.1144062477854924,1.769306455438464,-1.3371113302753126,-4.107923533093362,1.0073346178275364,2.542849016296092,-105.6463145139097,0.24561845589577733,-115.38012287226883,-1.1140415156987078,1.7679181151478014,-1.3370260053415683,-3.97416732,0.9750865,2.53154268,-106.36411375666104,0.7680855225263834,-114.55965647612422,-1.1237817096415734,1.7685660170005004,-1.312074204858069
AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_3,,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,7.158303942163681,1.4083391537420171,-7.0004053093782215,-0.5601384346171745,-1.386320946566455,-3.261353567568301,-1.5741786330072944,2.05258017770396,-109.03046231882303,1.2095776029603595,-61.02449063085595,-1.6856543288669958,1.0105783684810254,-0.6934770488890541,-3.2973598830937823,-1.0688156443461718,2.4403476905343355,-108.97529100186811,1.1789932201392828,-60.97923659947328,-1.6854115551541433,1.0091096108359336,-0.6938333206902165,-3.22735583,-1.06321426,2.4542109,-109.39044886225861,1.9674295291124646,-59.89995245682555,-1.692187338487859,1.002617043578016,-0.6660823965823887
AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_5,,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,10.687986105308415,0.6505569233941654,10.648846913431331,0.751581738297713,-0.5198377556776101,6.002929509409125,0.3434416667882107,2.135598781715077,-109.1045628276849,3.8956991140053807,113.22103704450083,-1.2356085517623654,-1.7793677059472317,1.3278393912221342,5.965347339134313,0.8559353573829771,2.533563192443224,-109.16264693922817,3.920596198598331,113.26118230761234,-1.236000546336002,-1.780774708900416,1.327833996632603,5.85885887,0.84841954,2.53876157,-109.27065188151681,4.073179111337627,113.87681919175743,-1.2313021612026054,-1.7910646821584102,1.3345656694891888
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_000,0,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,8.853019146177063,3.4378744693630976,-8.724761872989273,-0.04433669980370425,-1.5008372727451258,-2.6014539290348466,-0.026314180991955833,0.7764978511383309,63.708777166059996,0.07451074968014382,89.86724746238416,0.864677668771487,0.8644840162514792,1.3892985744706638,-2.6372476187298926,0.47955663300196294,1.1649916272725487,63.64570617042751,0.0743988240752995,89.91126961469205,0.8635890027684024,0.8640587255444733,1.3903250481204783,-2.55,0.48,1.18,67.08168819476708,-0.0,90.0000001836389,0.9097065061172429,0.9097065090329464,1.3722901284472226
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_001,1,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,8.153225305506533,0.8161430641204368,-8.035114116028819,-1.1673079405206455,0.7412261441317236,-2.2948199438984362,-1.0427801118625282,1.2485806219010385,0.7288486134407879,-0.19625535755797704,-90.02438039054842,0.00729839467097502,-0.012683315385057214,-1.5711752851263248,-2.330351141160288,-0.5366730794052065,1.6374122614413171,0.7919200247224542,-0.19626265387871103,-89.9804923209406,0.008167061889198416,-0.013543656607866198,-1.570403253486631,-2.25,-0.525,1.63,-1.8363890085664206e-07,-0.0,-90.0000001836389,-2.5172823638819805e-09,2.517282371950131e-09,-1.57079633
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_002,2,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,6.899290639567629,1.2988274429961204,-6.83922279052962,-0.8400808901264822,0.34569791548428874,-1.1334473363781017,-1.0404019544204635,0.7133465813195351,68.25340324522901,0.09891741451289733,-89.65255674771436,0.9286552914962731,-0.9206925025500656,-1.361036659185201,-1.1683922279052963,-0.5334008089012648,1.103456979154843,68.31647300347551,0.0985006399932514,-89.60834397946898,0.9297556502139601,-0.921085023087201,-1.3599946644856784,-1.1,-0.525,1.1,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_003,3,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,4.371781899989379,0.7495137423906876,-4.020275379549168,1.5420268215559307,-0.7563174831164865,0.09575253288377288,0.717473374506901,0.4009741895095563,89.83754771260102,-0.47653267212480555,0.45066321592465924,1.5679750492311078,-0.00037248973234556526,0.01270434300271649,0.059797246204508325,1.2254202682155593,0.7924368251688352,89.83701735346989,-0.5396014840795491,0.4947720306578968,1.5679691584094568,-0.0006344388705941397,0.014172541973197427,0.1,1.21,0.8,90.0,-0.0,0.0,1.5707963267948966,0.0,0.0
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_004,4,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,3.715515604154602,0.6283190880530779,-3.1319031379199447,1.2888847230486,1.5280756231598858,0.7059798602846403,0.7144725279355805,1.6231471228810197,90.0927296064233,-0.1356158174290842,0.5446558251537309,1.5724123027510202,0.005615833528279169,0.009322528648269917,0.6686809686208005,1.222888847230486,2.015280756231599,90.092095804626,-0.19868367452591654,0.5887617860144876,1.5724047142642894,0.005356980909873788,0.01079218699934334,0.7,1.21,2.0,90.0,-0.0,0.0,1.5707963267948966,0.0,0.0
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_005,5,yes,GT_world_best_fit_SE3_using_static_cameras_and_markers_0_to_13,1.9969004298352775,0.26945745775062424,1.20360759841045,-1.3618889355086483,0.8271629845828965,1.9466292301982813,-1.5029910967040037,0.7147704174166224,67.0014183442736,-0.11162742073123672,-90.28873841091186,0.905422780889807,-0.9126796520911579,-1.3759719949792417,1.9120360759841044,-0.9936188893550865,1.108271629845829,67.06448886749968,-0.1113437647365413,-90.2447570210173,0.9065267178080519,-0.9130812076154727,-1.3749390674984618,1.9,-0.98,1.1,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
