variant,method,camera,status,alignment,source_file,translation_error_cm,rotation_error_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_z_m,gt_x_m,gt_y_m,gt_z_m
moving_res_2560x1440_upscaled,AP01,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,6.726275370650843,1.4162704277013594,5.91813395144962,0.35011637097197323,2.107014703793242,5.85885887,0.34841953956133265,2.138761570071462
moving_res_2560x1440_upscaled,AP02,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,4.343407607300549,1.336077960661155,0.6121132699617098,-1.7665319109439974,2.0707976240546957,0.58780793,-1.734555260428118,2.087328299644237
moving_res_2560x1440_upscaled,AP02,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,8.964242019746814,0.7319135305296179,-4.053588342350315,0.47033837038259746,2.17284062165605,-3.97416732,0.47508649956281324,2.131542680097442
moving_res_2560x1440_upscaled,AP02,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,2.2800693082707406,0.8399930437061047,-3.2328978109894164,-1.5849021566732393,2.0585460130494084,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_res_2560x1440_upscaled,AP02,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,8.909736988870689,0.5085222490168408,5.919516533378021,0.4068322155093414,2.1096591907323656,5.85885887,0.34841953956133265,2.138761570071462
moving_res_320x180_low,AP01,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,14.325116080284364,1.4422110993006227,0.6897677548671939,-1.7479303460930613,1.9875976811368359,0.58780793,-1.734555260428118,2.087328299644237
moving_res_320x180_low,AP01,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,17.83881696328062,0.6853200966377374,-3.8143231069521075,0.5117319830788687,2.201751476967331,-3.97416732,0.47508649956281324,2.131542680097442
moving_res_320x180_low,AP01,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,26.710720077097154,1.3666837946306183,-2.9813956777420323,-1.492437102607341,2.1306337636450525,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_res_320x180_low,AP01,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,51.85259138366624,1.5768594491262822,5.351094679826945,0.2543719838962353,2.091860527743302,5.85885887,0.34841953956133265,2.138761570071462
moving_res_320x180_low,AP02,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,2.2673327871311213,1.110672771503346,0.5757117867317614,-1.720344456528023,2.1002052623026928,0.58780793,-1.734555260428118,2.087328299644237
moving_res_320x180_low,AP02,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,17.119633235309,0.3070442877806789,-4.1425292230336686,0.45550973144195495,2.155609336865122,-3.97416732,0.47508649956281324,2.131542680097442
moving_res_320x180_low,AP02,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,9.86979984060273,0.45573786470285327,-3.2855282329733853,-1.6364384277530568,2.0226595488329755,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_res_320x180_low,AP02,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,25.12965910218484,1.497526369737553,6.097489319275292,0.42700967111382687,2.1333693014917303,5.85885887,0.34841953956133265,2.138761570071462
moving_res_320x180_low,AP03,cam_edge_0,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,7.816976040858581,0.9414318172425946,0.6516858574181531,-1.776882158640572,2.0718830570495275,0.58780793,-1.734555260428118,2.087328299644237
moving_res_320x180_low,AP03,cam_edge_1,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,20.890597687059802,0.47786132167549483,-4.179394931852781,0.5061736375716033,2.1551419249134414,-3.97416732,0.47508649956281324,2.131542680097442
moving_res_320x180_low,AP03,cam_edge_3,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,14.296877598736065,0.5118657696744592,-3.3351522344513906,-1.6567477760167941,2.0457558683353456,-3.22735583,-1.5632142604213257,2.0542108996793798
moving_res_320x180_low,AP03,cam_edge_5,OK,SE3_available_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,27.028004652103615,0.040095887380866634,6.108004958886018,0.4531928153604649,2.1390625991942067,5.85885887,0.34841953956133265,2.138761570071462
