ablation,variant,method,status,camera_count,available_cameras,missing_cameras,pair_count_ok,pair_count_total,pair_coverage,mean_pair_t_cm,median_pair_t_cm,max_pair_t_cm,mean_pair_r_deg,median_pair_r_deg,max_pair_r_deg,mean_baseline_error_cm,mean_direction_error_deg,worst_pair,worst_pair_t_cm,worst_pair_r_deg,source,failure_reason,note
moving_cam/motion_blur,moving_blur_k09_mild,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,13.457274015532027,10.27657399606938,24.049093463273422,1.4887616982839822,1.5591276212104315,2.4514453068004576,4.137587428209873,1.3081360306438292,cam0-cam3,24.049093463273422,2.4514453068004576,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_cam/motion_blur,moving_blur_k21_strong,AP02,PARTIAL_3_OF_4,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,3,6,0.5,17.196009894879907,23.108561342390022,27.069363132734743,2.0768885364933825,2.9197608872830676,3.0368304202790743,5.251434659490251,2.1492249737907314,cam0-cam3,27.069363132734743,2.9197608872830676,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
moving_cam/motion_blur,moving_blur_k41_extreme,AP02,PARTIAL_3_OF_4,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,3,6,0.5,17.196164949285606,23.1087564030698,27.069585825721592,2.0768990152268016,2.9197822028558438,3.0368481868674206,5.251378315835709,2.149248386438957,cam0-cam3,27.069585825721592,2.9197822028558438,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,Metrics are computed over available pairs only. Partial means are not directly comparable with full six-pair means.
moving_cam/res,moving_res_1280x720_baseline,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,5.4695312742205955,5.20417682093533,9.301430523974297,0.33320545691115533,0.318725866723728,0.6272630160965519,4.829586517992664,0.21162984413974958,cam1-cam5,9.301430523974297,0.16615991812500058,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_cam/res,moving_res_160x90_extreme_pixel,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,271.98990294593693,275.6691845181572,526.6976517106103,18.919377464370292,19.273318616444794,36.06946268281964,27.79460484873665,21.7180407649362,cam0-cam5,526.6976517106103,36.06946268281964,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_cam/res,moving_res_2560x1440_upscaled,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,2.4637604064989342,2.3781443157440236,3.24460318192146,0.20256151752031815,0.20209112994018308,0.28087644476608287,0.7846157969523334,0.27816866106019555,cam0-cam5,3.24460318192146,0.28087644476608287,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
moving_cam/res,moving_res_320x180_low,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,261.7526683011827,271.95792974239794,477.2722454690163,23.274246332565372,23.31744791924735,45.89480626152251,37.60179513130668,22.010017424040182,cam0-cam5,477.2722454690163,45.89480626152251,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
world/lighting,ceiling_bright,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,16.737796227807117,16.891737639683395,30.89260493766748,1.1069119799710745,1.224244908414112,1.6553644295527252,9.522996620174565,1.0935255403139248,cam1-cam5,30.89260493766748,1.6467675391815622,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
world/lighting,ceiling_dark_extreme,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,182.6200178528643,183.61126251273896,359.1724228931917,12.458513533952802,12.642694884387463,23.859450189566775,18.182370573665125,13.537230542862352,cam0-cam5,359.1724228931917,23.844601991013544,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
world/lighting,ceiling_low,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,16.884907875930654,17.03830125222991,31.15376734780962,1.134790470319986,1.2608090303983561,1.6876149390298172,9.546042053683019,1.1083030218004444,cam1-cam5,31.15376734780962,1.6876149390298172,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
world/lighting,ceiling_normal,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,16.92766531888576,17.073490352680963,31.170337440378372,1.13881891105509,1.2650503233765138,1.6908715322425882,9.49906703209696,1.1132016883750784,cam1-cam5,31.170337440378372,1.6828796396915022,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
world/route,route1,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,3.8422086257900845,4.261608713613329,5.025185257028976,0.47265828083244954,0.4364229463483721,0.8566458051648397,2.0999148630652296,0.30577892428906245,cam0-cam1,5.025185257028976,0.8566458051648397,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
world/route,route2,AP02,OK_FULL,4,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,6,6,1.0,5.4695312742205955,5.20417682093533,9.301430523974297,0.33320545691115533,0.318725866723728,0.6272630160965519,4.829586517992664,0.21162984413974958,cam1-cam5,9.301430523974297,0.16615991812500058,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,
