ablation,variant,v1_status,v2_status,v1_mean_pair_t_cm,v2_mean_pair_t_cm,translation_change_cm,translation_improvement_percent,v1_mean_pair_r_deg,v2_mean_pair_r_deg,rotation_change_deg,rotation_improvement_percent,v1_worst_pair,v2_worst_pair,v1_worst_pair_t_cm,v2_worst_pair_t_cm
moving_cam/density,density_route2_125pct_recaptured,OK_FULL,OK_FULL,4.950035312884416,4.950035312884416,0.0,0.0,0.39260853512331767,0.39260853512331767,0.0,0.0,cam1-cam5,cam1-cam5,8.083907694889696,8.083907694889696
moving_cam/density,density_stride_16_6p25pct,OK_FULL,OK_FULL,11.170791578911606,11.170791578911606,0.0,0.0,0.8665027115969884,0.8665027115969884,0.0,0.0,cam3-cam5,cam3-cam5,17.891625722902816,17.891625722902816
moving_cam/density,density_stride_1_100pct,OK_FULL,OK_FULL,5.4695312742205955,5.4695312742205955,0.0,0.0,0.33320545691115533,0.33320545691115533,0.0,0.0,cam1-cam5,cam1-cam5,9.301430523974297,9.301430523974297
moving_cam/density,density_stride_2_50pct,OK_FULL,OK_FULL,5.669798134240526,5.669798134240526,0.0,0.0,0.4683660914603349,0.4683660914603349,0.0,0.0,cam1-cam5,cam1-cam5,9.196156250497095,9.196156250497095
moving_cam/density,density_stride_4_25pct,OK_FULL,OK_FULL,8.30405219465694,8.30405219465694,0.0,0.0,0.651746176562466,0.651746176562466,0.0,0.0,cam1-cam5,cam1-cam5,13.017194820715103,13.017194820715103
moving_cam/density,density_stride_8_12p5pct,OK_FULL,OK_FULL,8.802064475750049,8.802064475750049,0.0,0.0,0.7429180564269245,0.7429180564269245,0.0,0.0,cam1-cam5,cam1-cam5,13.608799050332046,13.608799050332046
moving_cam/density,density_stride_8_offset4,OK_FULL,OK_FULL,9.25438327979093,9.25438327979093,0.0,0.0,0.8233717687557934,0.8233717687557934,0.0,0.0,cam1-cam5,cam1-cam5,13.97182570310882,13.97182570310882
moving_cam/fov,fov_100deg,OK_FULL,OK_FULL,5.7216924410653975,5.7216924410653975,0.0,0.0,0.32740422584931933,0.32740422584931933,0.0,0.0,cam1-cam5,cam1-cam5,9.650046018994491,9.650046018994491
moving_cam/fov,fov_140deg_extreme,OK_FULL,OK_FULL,8.159743804298746,8.159743804298746,0.0,0.0,0.373228698669864,0.373228698669864,0.0,0.0,cam1-cam5,cam1-cam5,13.167036238495546,13.167036238495546
moving_cam/fov,fov_40deg,OK_FULL,OK_FULL,202.9267634485208,202.9267634485208,0.0,0.0,13.996999504339543,13.996999504339543,0.0,0.0,cam0-cam5,cam0-cam5,401.84077793206666,401.84077793206666
moving_cam/fov,fov_69deg_baseline,OK_FULL,OK_FULL,5.4695312742205955,5.4695312742205955,0.0,0.0,0.33320545691115533,0.33320545691115533,0.0,0.0,cam1-cam5,cam1-cam5,9.301430523974297,9.301430523974297
moving_cam/motion_blur,moving_blur_k00_baseline,OK_FULL,OK_FULL,5.4695312742205955,5.4695312742205955,0.0,0.0,0.33320545691115533,0.33320545691115533,0.0,0.0,cam1-cam5,cam1-cam5,9.301430523974297,9.301430523974297
moving_cam/motion_blur,moving_blur_k09_mild,OK_FULL,OK_FULL,13.457274015532027,13.457274015532027,0.0,0.0,1.4887616982839822,1.4887616982839822,0.0,0.0,cam0-cam3,cam0-cam3,24.049093463273422,24.049093463273422
moving_cam/motion_blur,moving_blur_k21_strong,FAILED_NO_PAIR,PARTIAL_3_OF_4,,17.196009894879907,,,,2.0768885364933825,,,,cam0-cam3,,27.069363132734743
moving_cam/motion_blur,moving_blur_k41_extreme,FAILED_NO_PAIR,PARTIAL_3_OF_4,,17.196164949285606,,,,2.0768990152268016,,,,cam0-cam3,,27.069585825721592
moving_cam/res,moving_res_1280x720_baseline,OK_FULL,OK_FULL,5.4695312742205955,5.4695312742205955,0.0,0.0,0.33320545691115533,0.33320545691115533,0.0,0.0,cam1-cam5,cam1-cam5,9.301430523974297,9.301430523974297
moving_cam/res,moving_res_160x90_extreme_pixel,OK_FULL,OK_FULL,271.98990294593693,271.98990294593693,0.0,0.0,18.919377464370292,18.919377464370292,0.0,0.0,cam0-cam5,cam0-cam5,526.6976517106103,526.6976517106103
moving_cam/res,moving_res_2560x1440_upscaled,OK_FULL,OK_FULL,2.4637604064989342,2.4637604064989342,0.0,0.0,0.20256151752031815,0.20256151752031815,0.0,0.0,cam0-cam5,cam0-cam5,3.24460318192146,3.24460318192146
moving_cam/res,moving_res_320x180_low,FAILED_NO_PAIR,OK_FULL,,261.7526683011827,,,,23.274246332565372,,,,cam0-cam5,,477.2722454690163
world/lighting,ceiling_bright,OK_FULL,OK_FULL,16.737796227807117,16.737796227807117,0.0,0.0,1.1069119799710745,1.1069119799710745,0.0,0.0,cam1-cam5,cam1-cam5,30.89260493766748,30.89260493766748
world/lighting,ceiling_dark_extreme,FAILED_NO_PAIR,OK_FULL,,182.6200178528643,,,,12.458513533952802,,,,cam0-cam5,,359.1724228931917
world/lighting,ceiling_low,OK_FULL,OK_FULL,16.884907875930654,16.884907875930654,0.0,0.0,1.134790470319986,1.134790470319986,0.0,0.0,cam1-cam5,cam1-cam5,31.15376734780962,31.15376734780962
world/lighting,ceiling_normal,OK_FULL,OK_FULL,16.92766531888576,16.92766531888576,0.0,0.0,1.13881891105509,1.13881891105509,0.0,0.0,cam1-cam5,cam1-cam5,31.170337440378372,31.170337440378372
world/route,route1,OK_FULL,OK_FULL,3.8422086257900845,3.8422086257900845,0.0,0.0,0.47265828083244954,0.47265828083244954,0.0,0.0,cam0-cam1,cam0-cam1,5.025185257028976,5.025185257028976
world/route,route2,OK_FULL,OK_FULL,5.4695312742205955,5.4695312742205955,0.0,0.0,0.33320545691115533,0.33320545691115533,0.0,0.0,cam1-cam5,cam1-cam5,9.301430523974297,9.301430523974297
