method,label,pair,from_camera,to_camera,translation_error_cm,rotation_error_deg,gt_baseline_m,estimated_baseline_m,baseline_error_cm,direction_error_deg,gt_x_m,gt_y_m,gt_z_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z,estimated_x_m,estimated_y_m,estimated_z_m,estimated_roll_deg,estimated_pitch_deg,estimated_yaw_deg,estimated_rvec_x,estimated_rvec_y,estimated_rvec_z
ap03_multi,baseline,cam_edge_0-cam_edge_1,cam_edge_0,cam_edge_1,2.017047684106006,0.06556618686890843,5.069131069576643,5.089144924046307,2.0013854469664416,0.028300150010768473,-4.590674262084118,-0.9808404021811508,1.913047758273379,115.90214977992046,57.450670973219815,138.4497834938831,0.05973524746496482,1.862313170365479,0.6890226811483597,-4.60848388692507,-0.9871565277433887,1.9201026825750513,115.88014804882039,57.51205258670524,138.4510133645825,0.0587223500584599,1.8616504587143077,0.6886612953263487
ap03_multi,baseline,cam_edge_0-cam_edge_3,cam_edge_0,cam_edge_3,1.1700985726439623,0.11005917929079953,3.819152918656321,3.8293127378129967,1.0159819156675631,0.0869634170085844,-3.81680220975047,-0.1063958311610107,0.0814237977288359,21.20580374270508,50.53923196926396,36.24433498574047,0.05780068377927819,0.9425257326838135,0.4222289727329982,-3.827051274039343,-0.10749766239886904,0.07588703729549895,21.096087238762024,50.454518310707996,36.167776733318576,0.057222203434873026,0.9406741096785665,0.4222983075286789
ap03_multi,baseline,cam_edge_0-cam_edge_5,cam_edge_0,cam_edge_5,3.6102461052209813,0.12740213458781402,5.6679279645010325,5.703131107593993,3.5203143092960687,0.08069976956916303,5.239989224744797,-0.7565583592593794,2.023744001687466,121.10918727720495,-59.18839253897587,-144.80607014753681,-0.005927455730751903,-1.890899029153531,-0.659747852386118,5.269475832800209,-0.7644119667082356,2.043037743923022,121.11004108820659,-59.06295566695684,-144.82908981028066,-0.004900461738032772,-1.892249454826276,-0.6614044510061023
ap03_multi,baseline,cam_edge_1-cam_edge_3,cam_edge_1,cam_edge_3,1.542731270885057,0.0624875208449843,2.1721826797050396,2.187594110925174,1.5411431220134553,0.01839437490360497,1.5443865298310695,-0.3757221990345858,1.4805676849234315,5.145378882018558,-52.158716168945,-19.440987313922378,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,1.554866723278665,-0.3786829086586516,1.4914947943874939,5.146170257367391,-52.22119179750638,-19.440494179416916,-0.07170577024471417,-0.9148847878080058,-0.27432666757374846
ap03_multi,baseline,cam_edge_1-cam_edge_5,cam_edge_1,cam_edge_5,4.784746008824705,0.1222285820290735,9.833844654272022,9.881235570175146,4.739091590312405,0.0383268159166915,-3.9715362540357773,-2.490397692472714,8.644612183352152,133.3021054862451,43.91477015093176,156.5275178587406,0.07074491249427355,2.174340618010422,0.7301083985994897,-3.9950487470943745,-2.5062499136736616,8.68315111418919,133.2827119847592,44.006664972091045,156.59342996165367,0.06843665844321657,2.1732449697932914,0.7302667344141601
ap03_multi,baseline,cam_edge_3-cam_edge_5,cam_edge_3,cam_edge_5,4.477470383147123,0.08416427069480895,9.285515073252316,9.329953039070357,4.443796581804094,0.03373954724858194,2.8983748134908356,-3.1018777282117984,8.2582424386392,141.70501809791045,-7.866545909544569,176.3434827013253,-0.1596302220659384,-2.8589394874323952,-0.9996874983186073,2.911833325849768,-3.1218967277122163,8.295963549535921,141.6367114180971,-7.844542297610576,176.39777213817342,-0.1581898371674446,-2.8585593675190326,-1.001343157985638
ap03_single,baseline,cam_edge_0-cam_edge_1,cam_edge_0,cam_edge_1,8.734721154171913,0.06556618691337827,5.069131069576643,5.156441769794777,8.731070021813458,0.028300150010768473,-4.590674262084118,-0.9808404021811508,1.913047758273379,115.90214977992046,57.450670973219815,138.4497834938831,0.05973524746496482,1.862313170365479,0.6890226811483597,-4.669424660650594,-1.0002102964154607,1.9454933633237803,115.88014804882039,57.512052586705224,138.4510133645825,0.058722350058459355,1.8616504587143075,0.6886612953263488
ap03_single,baseline,cam_edge_0-cam_edge_3,cam_edge_0,cam_edge_3,6.107723794521705,0.11005917931729182,3.819152918656321,3.8799500595016774,6.079714084535626,0.0869634170085844,-3.81680220975047,-0.1063958311610107,0.0814237977288359,21.20580374270508,50.53923196926396,36.24433498574047,0.05780068377927819,0.9425257326838135,0.4222289727329982,-3.877658691022811,-0.10891916909847144,0.0768905375532829,21.09608723876203,50.454518310707996,36.1677767333186,0.05722220343487294,0.9406741096785665,0.4222983075286789
ap03_single,baseline,cam_edge_0-cam_edge_5,cam_edge_0,cam_edge_5,11.09123964392779,0.1274021346107,5.6679279645010325,5.778547064529623,11.061910002859054,0.08069976955109781,5.239989224744797,-0.7565583592593794,2.023744001687466,121.10918727720495,-59.18839253897587,-144.80607014753681,-0.005927455730751903,-1.890899029153531,-0.659747852386118,5.339157303378826,-0.7745202491367413,2.0700540694478566,121.11004108820659,-59.06295566695684,-144.82908981028064,-0.004900461738033324,-1.892249454826276,-0.6614044510061023
ap03_single,baseline,cam_edge_1-cam_edge_3,cam_edge_1,cam_edge_3,4.4344908743611215,0.06248752089164511,2.1721826797050396,2.2165219928464728,4.433931314143313,0.01839437488379105,1.5443865298310695,-0.3757221990345858,1.4805676849234315,5.145378882018558,-52.158716168945,-19.440987313922378,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,1.5754276677197443,-0.38369046212233204,1.5112177334294281,5.1461702573674115,-52.22119179750638,-19.44049417941689,-0.07170577024471406,-0.9148847878080054,-0.27432666757374824
