frame,image,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
0,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0000.png,13,871.0,383.0,779.0,368.0,877.0,322.0,964.0,394.0,864.0,448.0,True,0.30537745102336344,0.027491211452792923,1.2324595055135137,1.2700266087886836,2.2519570058539187,-0.6444372165770369,0.2227980790777898,-4.5,0.0,2.2,0.0,0.3,0.0
0,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0000.png,11,271.25,480.5,150.0,452.0,333.0,379.0,401.0,499.0,201.0,592.0,True,-0.324785256702813,0.10175646446196109,0.8232804588631492,0.8908594473749649,2.281823889798621,-0.6693561812068335,0.2949978464287796,-4.5,0.0,2.2,0.0,0.3,0.0
1,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0001.png,13,871.0,383.0,779.0,368.0,877.0,322.0,964.0,394.0,864.0,448.0,True,0.30537745102336344,0.027491211452792923,1.2324595055135137,1.2700266087886836,2.2519570058539187,-0.6444372165770369,0.2227980790777898,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
1,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0001.png,11,271.25,480.5,150.0,452.0,333.0,379.0,401.0,499.0,201.0,592.0,True,-0.324785256702813,0.10175646446196109,0.8232804588631492,0.8908594473749649,2.281823889798621,-0.6693561812068335,0.2949978464287796,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
6,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0006.png,2,660.0,344.5,632.0,321.0,684.0,318.0,689.0,368.0,635.0,371.0,True,0.06391994653721218,-0.050245392584923484,2.968424372429018,2.9695376094388743,2.8094532120704643,-0.09052221898570642,0.047545976803440845,-3.66,0.0,2.2,0.0,0.42,-0.24
7,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0007.png,1,751.75,300.25,693.0,288.0,782.0,282.0,814.0,312.0,718.0,319.0,True,0.19753469223983253,-0.10717896479899061,1.6467819355573867,1.6620463376247372,1.957835082261453,-0.19050443746080825,0.11766528334192251,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997
8,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0008.png,1,741.5,306.25,678.0,293.0,772.0,285.0,809.0,319.0,707.0,328.0,True,0.1676852211027047,-0.09052006365496801,1.5395424857852253,1.5512908434069073,1.9709500662601858,-0.227342405172964,0.14189160874263312,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
8,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0008.png,7,232.5,108.75,214.0,94.0,247.0,94.0,251.0,123.0,218.0,124.0,True,-2.2742430878977222,-1.4026677464891713,5.18864971701213,5.8362440246910205,2.9807869325948766,-0.2196101855169104,0.6038326910338325,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
9,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0009.png,1,736.75,317.0,667.0,302.0,767.0,292.0,811.0,331.0,702.0,343.0,True,0.14778712409324743,-0.06760020809984688,1.4239072049646104,1.4331512657542556,1.9856906986213052,-0.2678378047893344,0.17309620267348405,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
9,results/bus_real_data/03_moving_camera_sequence_motion_blur_7/images/frame_0009.png,7,180.0,96.0,160.0,81.0,195.0,80.0,200.0,111.0,165.0,112.0,True,-2.463591911739276,-1.4143110294390637,4.979170519391012,5.732512525651621,3.004163401976656,-0.2503138180669315,0.6255739703563307,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
