mode,root_camera,target_camera,root_marker,target_marker,root_frame,target_frame,quality,translation_deviation_m,rotation_deviation_deg,inlier,x_m,y_m,z_m
direct,cam_edge_3,cam_edge_0,7,7,,,6.39963684583106,0.0,0.0,True,2.029227677132929,-1.3536322932955887,2.996231843340272
relay,cam_edge_3,cam_edge_0,1,3,85,40,22.998308074634906,0.49814011362793015,13.32455594071815,True,2.758829110089142,-0.7859778262323186,2.6349922763941156
relay,cam_edge_3,cam_edge_0,1,3,85,41,23.286442259845224,0.42004459903229446,12.608313245334262,True,2.670082711873537,-0.7892322068579709,2.6673312243815865
relay,cam_edge_3,cam_edge_0,1,3,85,42,23.61605530159391,0.3211469901020837,11.664549871104422,True,2.6601946580443117,-0.7636410790227894,2.8026605414833208
relay,cam_edge_3,cam_edge_0,1,3,85,44,24.347817406592316,0.10170660895296825,9.419538479835015,True,2.5087242735040043,-0.956454610554383,2.9860812790595657
relay,cam_edge_3,cam_edge_0,1,3,85,45,24.60372893389133,0.19020065261114832,7.887556062579227,True,2.41403117488971,-1.0659982527207823,3.0425148250952185
relay,cam_edge_3,cam_edge_0,1,3,85,46,24.549195242212537,0.3689374671854642,5.680753811009832,True,2.2471723419656433,-1.181807600713288,3.09200985387134
relay,cam_edge_3,cam_edge_0,1,3,85,47,24.509195777418487,0.5539384109364313,5.936832818716776,True,2.088261560305902,-1.295244798612744,3.1017379626306685
relay,cam_edge_3,cam_edge_0,1,3,85,48,24.519520754972095,0.5556317483346376,6.079374725919387,True,2.073667446688883,-1.2866225094752695,3.092219750745774
relay,cam_edge_3,cam_edge_0,1,3,85,49,24.45650250158689,0.5300710057350316,6.077496044883813,True,2.066311424779954,-1.2491302348489857,3.06027437655907
relay,cam_edge_3,cam_edge_0,1,3,85,51,24.441344216321905,0.4891994791847038,6.523140047517934,True,2.0913096778806963,-1.2155299659352716,3.0624023120138313
relay,cam_edge_3,cam_edge_0,1,3,85,52,24.355057437887016,0.4946865534461094,5.61404044799247,True,2.0610088708169236,-1.193566099388984,3.000492686381916
relay,cam_edge_3,cam_edge_0,1,3,85,53,24.347988647624202,0.4875670627153424,5.614413864517796,True,2.0654915169392507,-1.1879030979586906,3.0060468512352063
relay,cam_edge_3,cam_edge_0,1,3,85,113,19.690517595988755,0.4424705228207418,6.66577169205353,True,2.1247078977141434,-1.1785529713798644,3.0808948489062757
relay,cam_edge_3,cam_edge_0,1,3,85,115,20.99911559028253,0.45997624280335303,6.137298806057195,True,2.1039779279295647,-1.1889202669332735,3.04006043507471
relay,cam_edge_3,cam_edge_0,1,3,85,116,21.620672479617593,0.4811088655751448,6.721815774905016,True,2.1009825292710005,-1.2097005527301774,3.0840078288214827
relay,cam_edge_3,cam_edge_0,1,3,85,118,22.133413744154993,0.44431138125546393,5.614466229983419,True,2.1026474352174276,-1.1633640112858448,3.0401129534258704
