camera_a,camera_b,distance_m
cam_edge_0,cam_edge_1,4.875157100829511
cam_edge_0,cam_edge_3,3.939448854626763
cam_edge_0,cam_edge_5,4.4526178614105625
cam_edge_1,cam_edge_3,1.3737280935501082
cam_edge_1,cam_edge_5,9.272467832887665
cam_edge_3,cam_edge_5,8.183232682211502
