dataset_side,source_root,category,path,size_bytes,sha256
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,route_metadata,ap1_metadata/route_commanded.csv,27803,94714d44b24511c7869af77007f0439463663be6327635cb12f24543bba87207
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,camera_info,camera_info/cam_edge_0.json,636,a43787153e9a59e9da663e6c279c4af493fe2df03e7c3fd6fe008eb4bfe7d364
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,camera_info,camera_info/cam_edge_1.json,636,716dd687d89a38dead1a2da15f6e7d25b2476df111c084926f20be079e08cdea
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,camera_info,camera_info/cam_edge_3.json,639,46a142e4d3e423f29f67ca7ce917c04dfbec4a7db8447405d9e4a25abb5b4fc3
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,camera_info,camera_info/cam_edge_5.json,639,ffb12bfef4d29f86229da433a400dfe8ede5b59e56e876cb7f6fbed6d72e8b12
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,camera_info,camera_info/moving_calib_camera.json,1197,d12b5f4a90d6020af5583673eabccdc10a636269fe0b4ab48a73be5ab0b870a1
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0000.png,165351,f6060ed8d528048bdc68bc294572f983852b01d9916622cb6870a383f3ca760e
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0001.png,175936,eeda99716c807fd39b749a3fe2ced3f78c394b967e10b4cdbf8e5db18f88ca9d
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0002.png,166901,2c92e216e8ef34f5f2aa1618e207997abe921d4de35e742cd67952605384b3f4
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0003.png,162465,48adf908e52ef3399dfc8f43fcb24f35b2a468e3cc75aff6d4286f57d9623b3a
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0004.png,159844,5e19695e76f023310ba47411965d5809ad66f35585900bc241e2b3544c544fa8
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0005.png,163999,2a808b0c564a3d8c519b1d2b09f3ca959566591a668d96bf238637fecdb826a7
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0006.png,161575,5f2f3fed3473e651b32b73bfed81bc25dd87f9d69bdf936efbc494dcff2a9908
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0007.png,160422,33b1ed76c3b4fc37d8385c45a780cf7eca938c9dfbc761c75d244e82e4952c35
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0008.png,162552,54ad243d43bbee37a1b724db3aac3667c56caadcf415e7b7e88326e4757d3103
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0009.png,160849,1457340406427956ff7f4e26b7d92c26af09a1f22f314abe93ecc4436e42c413
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0010.png,167518,847f4f3e971227df82fb973ece33612da47868653b918e231b0fdb0eac648f0b
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0011.png,150369,f12692c43e57639e6c9506f86d70765fa94eaaa96a605ad304e135a74689e32c
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0012.png,135653,10df2a9707198b6715d791c277ff92547869b72ab9d2fd0c00cf768c94fa9843
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0013.png,134671,dc7ef684c5d9768feabc1f86c34e9ebed2f05ff5e0c88490cdfaecb4aa58771c
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0014.png,123913,8510d52b3e8e1dfcbd03800b0fecad7d031a46d71f1e5fb1858f16fa9fbb91b8
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0015.png,126583,1d492eb4b155d6b27e9f8c82f7ee150abf6fffd6bf3a62a95fe2cab3c43d6c9d
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0016.png,136425,be62e5c2a8eeed37ed327652a693467660100a277ba5f2babdaaa4082ece3392
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0017.png,137286,f25a3c97e590594ebe3adffd1ed862720e48a5ad9a57fc6c1324a2c0270b04b4
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0018.png,151538,b844fc2c87f2c65c09a56df220c1f269b7434ca424ddee7a8878422f89e48da2
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0019.png,178582,54bf50cfdb4d3836f055275d30d1847849a05120a95c5bb94fb4b456aff1daf7
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0020.png,187386,b7be6444749d4a716be13f6352a5465bbd465015f84ab1db681166c501d7eee3
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0021.png,189126,93e2071d6ac1c1f0d28ff5ae82d62b2ab3d90591d600c0886b7c8ce15e2be508
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0022.png,190124,136f550bb6f22a038fff180474e46d95b00b36e6c25cb98583979a807bae0ec9
main_historical,origin/main:results/bus_real_data/ablation/world/route/route2/raw_images,raw_moving_image,moving/frame_0023.png,191851,21702adba15865153350f8207a16ef5b27da8beda75e62f56255d289765b33f3
