method,status,pair,from_camera,to_camera,translation_error_cm,rotation_error_deg,baseline_error_cm,direction_error_deg,gt_baseline_m,est_baseline_m,available_cameras,missing_cameras,source,failure_reason,note,est_pitch_deg,est_roll_deg,est_rvec_x,est_rvec_y,est_rvec_z,est_tx_m,est_ty_m,est_tz_m,est_yaw_deg,gt_pitch_deg,gt_roll_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z,gt_tx_m,gt_ty_m,gt_tz_m,gt_yaw_deg
AP01,OK,cam0-cam1,cam_edge_0,cam_edge_1,13.098002451134905,1.2575703898722783,12.676276975727063,0.36807359992461186,5.069131069576643,5.195893839333913,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,58.02508485217415,117.51513205221586,0.060536498464049446,1.8686757057543801,0.6638630910933085,-4.715264001198694,-1.01696707674316,1.931159277078995,139.09942553400626,57.450670973219815,115.90214977992046,0.059735247464964704,1.862313170365479,0.6890226811483594,-4.590674262084118,-0.9808404021811512,1.913047758273379,138.4497834938831
AP01,OK,cam0-cam3,cam_edge_0,cam_edge_3,11.002942986441933,2.439174851546725,6.061607415549952,1.3668349404044209,3.8191529186563207,3.87976899281182,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,52.77521691011702,19.733352488979698,0.027221600174679367,0.9721486039475522,0.41081730004081646,-3.873302894797521,-0.1978800029965077,0.10476462738582049,35.430110136328835,50.53923196926396,21.20580374270508,0.05780068377927822,0.9425257326838137,0.42222897273299825,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,36.244334985740466
AP01,OK,cam0-cam5,cam_edge_0,cam_edge_5,12.323598458612336,2.2340269209188324,1.8789357032868104,1.2291874337246251,5.667927964501032,5.6867173215339,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,-61.0063374793923,118.69735889300773,-0.011541211380958009,-1.854119048328988,-0.6476729552018547,5.302481582653491,-0.7292896786516723,1.921088109709277,-142.2233631081489,-59.18839253897587,121.10918727720495,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,5.239989224744796,-0.7565583592593794,2.023744001687466,-144.80607014753681
AP01,OK,cam1-cam3,cam_edge_1,cam_edge_3,6.693538956447511,1.8616307118908735,0.06579721552966156,1.7658104034511908,2.172182679705039,2.1715247075497426,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,-50.547020685123066,4.103437657451067,-0.08210289213801972,-0.8837216404385971,-0.2828600748419092,1.4962875342372073,-0.3923789127319825,1.5240347631299622,-19.294124993743416,-52.158716168945,5.145378882018552,-0.07152290562849602,-0.9138098031455153,-0.27444766234862317,1.544386529831069,-0.3757221990345856,1.4805676849234315,-19.440987313922378
AP01,OK,cam1-cam5,cam_edge_1,cam_edge_5,27.75670955359648,2.53987222097442,18.803572301121996,1.1783910334003125,9.833844654272019,10.021880377283239,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,42.28324898949721,135.19836998145178,0.05214342006980167,2.216446391806719,0.7347164498982981,-3.90138754360399,-2.428931826177333,8.906040181526766,159.19183438364965,43.91477015093176,133.3021054862451,0.07074491249427345,2.174340618010422,0.7301083985994897,-3.9715362540357773,-2.4903976924727136,8.64461218335215,156.5275178587406
AP01,OK,cam3-cam5,cam_edge_3,cam_edge_5,9.259548734669151,2.1391554501645778,8.339350845828264,0.24720590574854118,9.285515073252315,9.368908581710597,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,,,-8.149953527,140.524174512,-0.11524577351875397,-2.8374129190027526,-1.0214924283341662,2.890305327,-3.11618667,8.349369064,178.276743415,-7.866545909544565,141.70501809791045,-0.15963022206593686,-2.858939487432395,-0.9996874983186074,2.8983748134908356,-3.1018777282117975,8.2582424386392,176.3434827013253
AP02,OK,cam0-cam1,cam_edge_0,cam_edge_1,15.365190379074361,0.973489255288876,13.965734190009016,0.7143858721229146,5.069131069576643,5.208788411476733,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,57.41990554438741,117.69629174890055,0.053791730988139684,1.8776669542720223,0.6797771800022163,-4.690304186423942,-1.017675708807531,2.02407003486822,140.08111034919375,57.450670973219815,115.90214977992046,0.059735247464964704,1.862313170365479,0.6890226811483594,-4.590674262084118,-0.9808404021811512,1.913047758273379,138.4497834938831
AP02,OK,cam0-cam3,cam_edge_0,cam_edge_3,13.185077346958101,1.1183973183706313,10.454876830422899,1.1891030675211818,3.8191529186563207,3.9237016869605497,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,51.64795640634332,21.00945448904615,0.04825457331492451,0.9594415330556098,0.4173312077869711,-3.9178904100076615,-0.14477642440195648,0.15687399518226686,36.17114836632019,50.53923196926396,21.20580374270508,0.05780068377927822,0.9425257326838137,0.42222897273299825,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,36.244334985740466
AP02,OK,cam0-cam5,cam_edge_0,cam_edge_5,12.896630781429257,1.0834417095083686,10.18805397873388,0.792256448929422,5.667927964501032,5.76980850428837,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,-60.14993012707993,121.3990633597637,-0.009610839513275318,-1.8821101958427104,-0.6415693745749891,5.358661039792292,-0.706285422270686,2.019059914677749,-144.57891739721094,-59.18839253897587,121.10918727720495,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,5.239989224744796,-0.7565583592593794,2.023744001687466,-144.80607014753681
AP02,OK,cam1-cam3,cam_edge_1,cam_edge_3,3.325299276345914,0.17810786492895572,2.89527666799243,0.4285613788266297,2.172182679705039,2.2011354463849635,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,,,-51.99679450895622,5.242009351146082,-0.0697019758764718,-0.9112433427167341,-0.27446790107948105,1.5559997907522196,-0.3727798107354965,1.511587614800872,-19.472752271067975,-52.158716168945,5.145378882018552,-0.07152290562849602,-0.9138098031455153,-0.27444766234862317,1.544386529831069,-0.3757221990345856,1.4805676849234315,-19.440987313922378
