REAL VEHICLE — SECONDARY AP02 MARKER MAP
========================================================================================================================

Reference marker: 3
Coordinate frame: marker_3_reference_frame
Ground truth used: false
This is an internally estimated metric marker map. No simulation marker positions are used or compared.

Observed marker IDs:  [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Optimized marker IDs: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Observed but missing from optimized map: []

  Marker         x [m]         y [m]         z [m]        rvec x        rvec y        rvec z
------------------------------------------------------------------------------------------------------------------------
       0      0.420822     -0.096473     -0.037296     -1.170180     -0.063823     -0.188442
       2     -0.629220     -0.459269      2.619198      0.131173     -0.599720     -0.021257
       3      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
       4     -1.308782     -0.447400      3.762377     -1.135788     -0.489515     -0.411954
       5      6.666036      0.780756      3.392333      0.377828     -1.718024     -0.224385
       6      0.207142      0.884541      2.631461      0.353234     -2.203046     -0.241891
       7      1.898073      0.672507      1.663677      0.157638     -1.680006     -0.579220
       8      3.321250      2.039097      0.888796      0.342188     -0.232997      0.168517
       9      1.984990      1.508650      0.043531      0.205114     -0.316003      0.100962
      10      2.126864      1.960205      0.503654      0.274669     -2.127092     -0.179459
      12      0.843137      0.967529      0.678559     -1.132992      0.609381      1.178348
      15     -1.108755      1.249073      0.398387      0.242754      0.969094      0.283336
      16     -0.972767      0.271896      0.202896      0.245650      1.001178      0.302783
      17     10.727345      1.653564      0.207016      0.349081     -0.329872     -0.320413
      18     -0.398532      0.390276      3.689258      0.378266     -2.210847     -0.259042
      19     -1.344400      0.900705      1.447091      0.242642      0.903270      0.298012
      20      0.947463      0.448056      1.183968      0.351488     -0.504943     -0.055705
