initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,edge_quality,path_bottleneck,pnp_reprojection_rmse_px,area_px2,distance_m
observer,moving_frame_000089,marker,3,3,moving_frame_000089,89,75.98321846924512,75.98321846924512,0.7646702440186394,93193.0,1.664537835450549
observer,moving_frame_000090,marker,3,3,moving_frame_000090,90,22.22620943456532,22.22620943456532,2.262464260195084,93201.15710449219,1.665357390084954
observer,cam_edge_3,marker,3,3,cam_edge_3,static_0070,13.282439567997136,13.282439567997136,0.03447609285956545,1001.0,4.954462510837931
observer,moving_frame_000088,marker,3,3,moving_frame_000088,88,8.009543946822411,8.009543946822411,4.4002013261969335,93290.0,1.7099354306959236
observer,moving_frame_000091,marker,3,3,moving_frame_000091,91,4.472087075077438,4.472087075077438,6.241147510794554,94677.88850298524,1.7218625607518432
observer,moving_frame_000087,marker,3,3,moving_frame_000087,87,1.3524847289740043,1.3524847289740043,12.351877064599876,100603.0,1.7305210699149933
marker,2,observer,cam_edge_3,2,cam_edge_3,static_0064,29.15400745211353,13.282439567997136,0.25589239731802343,4940.5,2.336493930120605
marker,19,observer,cam_edge_3,19,cam_edge_3,static_0070,11.050951129582314,11.050951129582314,0.30474627126538784,1221.5,3.451357103882714
observer,moving_frame_000007,marker,2,2,moving_frame_000007,7,20.600483001075343,13.282439567997136,1.1839466521643922,30294.72963438928,3.137936658759976
observer,moving_frame_000008,marker,2,2,moving_frame_000008,8,18.441763163410467,13.282439567997136,1.3721970875876512,32339.30369193852,3.0027744408401205
observer,moving_frame_000009,marker,2,2,moving_frame_000009,9,18.087320437518052,13.282439567997136,1.4599534553499518,34708.7769651413,2.8972320821458912
observer,moving_frame_000006,marker,2,2,moving_frame_000006,6,17.929792319673528,13.282439567997136,1.2905133971380223,28601.436045773327,3.2322576767639757
observer,moving_frame_000005,marker,2,2,moving_frame_000005,5,16.9057902980509,13.282439567997136,1.3069211527254714,26990.67619717121,3.3343547608466437
observer,moving_frame_000010,marker,2,2,moving_frame_000010,10,16.067667601802423,13.282439567997136,1.6896698778004666,37854.56407403946,2.8016679040753765
observer,cam_edge_1,marker,2,2,cam_edge_1,static_0031,15.64402095463784,13.282439567997136,0.23096709269469115,1918.0,3.413233914936727
observer,moving_frame_000011,marker,2,2,moving_frame_000011,11,12.000299712171444,12.000299712171444,2.193211569203977,40652.72712250054,2.7151555978790025
observer,moving_frame_000287,marker,2,2,moving_frame_000287,287,7.812966224846791,7.812966224846791,2.9166872092202643,39577.1923828125,2.755101031556116
observer,moving_frame_000289,marker,2,2,moving_frame_000289,289,5.877880371640463,5.877880371640463,3.3383609707679245,35766.90011548996,2.9223826336900487
observer,moving_frame_000290,marker,2,2,moving_frame_000290,290,4.404952331093165,4.404952331093165,3.8682633566467937,33056.04900222272,3.0329989601812075
observer,moving_frame_000260,marker,2,2,moving_frame_000260,260,4.319434345718628,4.319434345718628,8.571015122238006,163997.2786403373,1.0474923919724466
observer,moving_frame_000259,marker,2,2,moving_frame_000259,259,3.839368011967177,3.839368011967177,8.826947902349508,145592.4530921951,1.059119013300856
observer,moving_frame_000258,marker,2,2,moving_frame_000258,258,3.762902664568013,3.762902664568013,8.284935116957493,114913.11830175295,1.0919635654265645
observer,moving_frame_000257,marker,2,2,moving_frame_000257,257,3.6896437256347334,3.6896437256347334,7.65989850222292,86561.83703676611,1.1305932597412385
observer,moving_frame_000256,marker,2,2,moving_frame_000256,256,3.463547785150386,3.463547785150386,7.264791672160146,63509.972209751606,1.1346761107050698
observer,moving_frame_000261,marker,2,2,moving_frame_000261,261,3.2891480444427112,3.2891480444427112,10.176473010966449,179402.65944281593,1.0627789374440753
observer,moving_frame_000262,marker,2,2,moving_frame_000262,262,1.8408075734625295,1.8408075734625295,14.065299116484661,193838.01237289235,1.1104809877785353
observer,cam_edge_0,marker,19,19,cam_edge_0,static_0105,52.05241965441961,11.050951129582314,0.052367864363662635,7082.0,2.131099692172805
observer,moving_frame_000237,marker,19,19,moving_frame_000237,237,9.743679807713155,9.743679807713155,4.586070710908584,120923.61400480568,1.3080953290600936
observer,moving_frame_000238,marker,19,19,moving_frame_000238,238,7.6954775200569765,7.6954775200569765,5.8326232443202874,156184.1636352539,1.210085208186705
observer,moving_frame_000235,marker,19,19,moving_frame_000235,235,1.421257448292777,1.421257448292777,12.814878076843256,104971.22686767578,1.4267127425997068
observer,moving_frame_000239,marker,19,19,moving_frame_000239,239,0.736518586638631,0.736518586638631,9.823113608688292,206916.73407828808,1.1119347817848932
observer,moving_frame_000234,marker,19,19,moving_frame_000234,234,0.6017876663890592,0.6017876663890592,19.317935113324566,93502.19355466124,1.5150150881835747
marker,20,observer,moving_frame_000005,20,moving_frame_000005,5,35.49764498579644,13.282439567997136,0.07243206268691743,9315.920048657805,5.5891724614427805
marker,4,observer,cam_edge_1,4,cam_edge_1,static_0002,16.780063907818572,13.282439567997136,0.3378149161631322,2090.5,2.317815246609623
marker,0,observer,cam_edge_1,0,cam_edge_1,static_0002,4.514130117655736,4.514130117655736,0.2652102451794035,298.0,5.707124116672913
marker,6,observer,cam_edge_1,6,cam_edge_1,static_0107,3.4696862051276476,3.4696862051276476,0.9583698395633036,750.5,4.238297613048473
marker,10,observer,cam_edge_1,10,cam_edge_1,static_0031,3.016850346429899,3.016850346429899,0.2821027781074399,177.0,7.197378913073215
marker,15,observer,cam_edge_0,15,cam_edge_0,static_0105,36.12551730433476,11.050951129582314,0.1069204553776007,4702.0,2.399876112630927
marker,16,observer,cam_edge_0,16,cam_edge_0,static_0105,24.31429288034684,11.050951129582314,0.11400761691372795,2608.5,2.8649359191708705
observer,moving_frame_000003,marker,20,20,moving_frame_000003,3,37.87191901990474,13.282439567997136,0.020128898986046615,8881.971326943487,5.718136783257877
observer,moving_frame_000004,marker,20,20,moving_frame_000004,4,34.81385601347495,13.282439567997136,0.06891716483520514,8997.769375100732,5.686622452951552
observer,moving_frame_000000,marker,20,20,moving_frame_000000,0,34.75276938649223,13.282439567997136,0.06127152231344675,8805.618930257857,5.7474474259081845
observer,moving_frame_000001,marker,20,20,moving_frame_000001,1,34.34874694606555,13.282439567997136,0.07096797371481704,8869.054552540183,5.714123121181982
observer,moving_frame_000002,marker,20,20,moving_frame_000002,2,31.356746346268707,13.282439567997136,0.12034509983231564,8862.170676112175,5.72098551473727
observer,moving_frame_000291,marker,20,20,moving_frame_000291,291,31.228256954093172,13.282439567997136,0.1892630452164737,10335.356093123555,5.2980769298657515
observer,moving_frame_000285,marker,20,20,moving_frame_000285,285,27.997816996262497,13.282439567997136,0.3386831142519472,12273.715727105737,4.875471003660881
observer,moving_frame_000286,marker,20,20,moving_frame_000286,286,26.697529447160505,13.282439567997136,0.3533546994767032,11881.86475660652,4.9693079954411274
observer,moving_frame_000082,marker,20,20,moving_frame_000082,82,17.564696380139058,13.282439567997136,2.7599434682281996,94663.88664798439,1.5352452995615782
observer,moving_frame_000292,marker,20,20,moving_frame_000292,292,12.698606568862683,12.698606568862683,0.8892890235169143,10690.374158747494,5.203399418106212
observer,moving_frame_000081,marker,20,20,moving_frame_000081,81,11.602596083301265,11.602596083301265,3.6294110964807684,95363.2394163832,1.5422957256064667
observer,moving_frame_000288,marker,20,20,moving_frame_000288,288,7.85335790638503,7.85335790638503,1.4367328768210146,11231.315912872553,5.165212233255557
observer,moving_frame_000083,marker,20,20,moving_frame_000083,83,5.192759380239269,5.192759380239269,5.97655939761528,97405.46960449219,1.5248311739293703
observer,moving_frame_000283,marker,20,20,moving_frame_000283,283,4.799243526407225,4.799243526407225,2.3552873414323834,13648.109143111855,4.675284437291865
observer,moving_frame_000080,marker,20,20,moving_frame_000080,80,3.089364929036722,3.089364929036722,7.996889771729432,97798.6533627212,1.5639571584665102
observer,moving_frame_000084,marker,20,20,moving_frame_000084,84,1.8746067585984552,1.8746067585984552,10.755964749484932,101831.12025982887,1.5171449084825468
