initialized_type,initialized_id,from_type,from_id,observed_marker_id,observer_id,frame_id,pnp_reprojection_rmse_px,area_px2,distance_m
observer,cam_edge_0,marker,7,7,cam_edge_0,static,0.27642109079268934,2813.0,2.852544085963125
observer,cam_edge_1,marker,7,7,cam_edge_1,static,0.23353963795061633,834.0,6.118902976384111
observer,cam_edge_3,marker,7,7,cam_edge_3,static,0.28259155639864,735.5,5.70863306171402
marker,3,observer,cam_edge_0,3,cam_edge_0,static,0.2501329859149684,2478.0,3.0191078343462854
marker,4,observer,cam_edge_0,4,cam_edge_0,static,0.17216158635105214,4132.5,2.5050713755995706
marker,14,observer,cam_edge_1,14,cam_edge_1,static,0.14203376265054027,652.0,4.570408053475575
marker,2,observer,cam_edge_1,2,cam_edge_1,static,0.20013423151238488,1824.0,3.5976855054744283
marker,5,observer,cam_edge_1,5,cam_edge_1,static,0.04261170803064659,564.0,6.532448233857888
marker,6,observer,cam_edge_1,6,cam_edge_1,static,0.16113974441877105,752.0,6.252480782573799
marker,8,observer,cam_edge_1,8,cam_edge_1,static,0.25285244297284654,502.0,7.189036486181634
marker,1,observer,cam_edge_3,1,cam_edge_3,static,0.3643846771493961,8775.0,1.3811741570838951
marker,19,observer,cam_edge_3,19,cam_edge_3,static,0.016647152282941655,2079.0,3.069909646884428
marker,20,observer,cam_edge_3,20,cam_edge_3,static,0.2051228820864619,472.5,9.103943480185158
