marker_id,frame_i,frame_j,frame_gap,metric_translation_m,colmap_translation_raw,scale_ratio,area_i_px,area_j_px,center_i_norm,center_j_norm,dist_i_m,dist_j_m,pair_quality
2,9,12,3,0.5560698834939789,0.4597983446477617,1.2093777412790994,2305.0,2911.5,0.05318578517618332,0.04808677284401531,3.218390169145383,2.912059250304725,2590.561232628945
2,9,13,4,0.5531523209342665,0.6142845409084011,0.9004822425064896,2305.0,3166.0,0.05318578517618332,0.07251860755789853,3.218390169145383,2.787589049239619,2701.4125934406984
2,9,14,5,0.5531523209342665,0.6142845409084011,0.9004822425064896,2305.0,3166.0,0.05318578517618332,0.07251860755789853,3.218390169145383,2.787589049239619,2701.4125934406984
2,9,15,6,0.6262304963284284,0.7661282998120009,0.817396376667065,2305.0,3420.0,0.05318578517618332,0.09657165702551042,3.218390169145383,2.686790218770557,2807.6858798661933
2,9,16,7,0.7803199276300443,1.0714570794860354,0.728279221417207,2305.0,3969.5,0.05318578517618332,0.1420155653743819,3.218390169145383,2.49629052819873,3024.8466903299413
2,9,17,8,0.8574200272711291,1.2234103568684007,0.7008441791075664,2305.0,4395.0,0.05318578517618332,0.1619601996434494,3.218390169145383,2.3734195360575097,3182.8407123197353
2,9,18,9,0.8956606306386798,1.278485943879323,0.7005635337068843,2305.0,4673.0,0.05318578517618332,0.24547957853807,3.218390169145383,2.3434117153661136,3281.9605421150327
2,9,19,10,0.9314491026329749,1.3327083957748014,0.6989144103736624,2305.0,4990.5,0.05318578517618332,0.3309895538460283,3.218390169145383,2.308475853669911,3391.6223993835165
2,9,20,11,0.9724567770038895,1.385555188818645,0.7018535131993029,2305.0,5524.5,0.05318578517618332,0.4171771415516847,3.218390169145383,2.248934134142976,3568.469209619161
2,9,21,12,1.0175427118421216,1.4389476803877421,0.707143647896866,2305.0,6077.5,0.05318578517618332,0.5072317567755418,3.218390169145383,2.221266467372173,3742.8114432869843
2,9,22,13,1.0433354147118568,1.494588867696199,0.6980751946320082,2305.0,6751.5,0.05318578517618332,0.5998787626337929,3.218390169145383,2.1914925479590694,3944.89638647202
2,9,23,14,1.0915157489729104,1.5480472639209886,0.7050920048837868,2305.0,7608.0,0.05318578517618332,0.6965746024248396,3.218390169145383,2.1679446993081575,4187.653280776717
2,10,13,3,0.3351310514980803,0.46009007001196633,0.7284031396056081,2512.0,3166.0,0.029886810454933785,0.07251860755789853,3.1203038569835355,2.787589049239619,2820.1049625856126
2,10,14,4,0.3351310514980803,0.46009007001196633,0.7284031396056081,2512.0,3166.0,0.029886810454933785,0.07251860755789853,3.1203038569835355,2.787589049239619,2820.1049625856126
2,10,15,5,0.43622360330724635,0.6119342781098188,0.7128602186736153,2512.0,3420.0,0.029886810454933785,0.09657165702551042,3.1203038569835355,2.686790218770557,2931.0475942911607
2,10,16,6,0.7056158233353961,0.9172629584459705,0.7692623111379668,2512.0,3969.5,0.029886810454933785,0.1420155653743819,3.1203038569835355,2.49629052819873,3157.749831763118
2,10,17,7,0.7659456649659372,1.069217269482643,0.7163611052939237,2512.0,4395.0,0.029886810454933785,0.1619601996434494,3.1203038569835355,2.3734195360575097,3322.6856607268764
2,10,18,8,0.7932859754713678,1.1242929744501864,0.7055865272655545,2512.0,4673.0,0.029886810454933785,0.24547957853807,3.1203038569835355,2.3434117153661136,3426.1605333083853
2,10,19,9,0.8745451557692763,1.1785144492856756,0.7420741903498578,2512.0,4990.5,0.029886810454933785,0.3309895538460283,3.1203038569835355,2.308475853669911,3540.6406200008496
2,10,20,10,0.9198237223700643,1.231361075983329,0.7469975625431557,2512.0,5524.5,0.029886810454933785,0.4171771415516847,3.1203038569835355,2.248934134142976,3725.2575749872653
2,10,21,11,0.9682509159728435,1.2847534872490942,0.7536472370633965,2512.0,6077.5,0.029886810454933785,0.5072317567755418,3.1203038569835355,2.221266467372173,3907.2599094506113
2,10,22,12,0.9979899269960825,1.3403939687481896,0.7445496997633595,2512.0,6751.5,0.029886810454933785,0.5998787626337929,3.1203038569835355,2.1914925479590694,4118.2238890084645
2,10,23,13,1.0351257660654432,1.3938542847194757,0.7426355662950597,2512.0,7608.0,0.029886810454933785,0.6965746024248396,3.1203038569835355,2.1679446993081575,4371.646829285275
2,11,14,3,1.138642090755529,0.30678962688599987,3.7114751965803516,2668.0,3166.0,0.027817828858016348,0.07251860755789853,3.0334293768036167,2.787589049239619,2906.3530411840884
2,11,15,4,1.1485530667767792,0.4586367897725149,2.504275915908239,2668.0,3420.0,0.027817828858016348,0.09657165702551042,3.0334293768036167,2.686790218770557,3020.6886632024825
2,11,16,5,1.2366680152658387,0.7639654315969674,1.6187486555258788,2668.0,3969.5,0.027817828858016348,0.1420155653743819,3.0334293768036167,2.49629052819873,3254.324200198868
2,11,17,6,1.3445209097315778,0.9159208233497438,1.4679444723336892,2668.0,4395.0,0.027817828858016348,0.1619601996434494,3.0334293768036167,2.3734195360575097,3424.3043089071393
2,11,18,7,1.306544198364818,0.9709951050571837,1.3455723840007137,2668.0,4673.0,0.027817828858016348,0.24547957853807,3.0334293768036167,2.3434117153661136,3530.9437831831874
2,11,19,8,1.3684384232452351,1.0252165982597063,1.3347798168388456,2668.0,4990.5,0.027817828858016348,0.3309895538460283,3.0334293768036167,2.308475853669911,3648.9250471885553
2,11,20,9,1.4468828147811108,1.078065380763168,1.3421104513687798,2668.0,5524.5,0.027817828858016348,0.4171771415516847,3.0334293768036167,2.248934134142976,3839.188195439239
2,11,21,10,1.4245202718911325,1.131458818155721,1.2590120374094587,2668.0,6077.5,0.027817828858016348,0.5072317567755418,3.0334293768036167,2.221266467372173,4026.756759477781
2,11,22,11,1.455295397446535,1.1870969978794006,1.225927957063523,2668.0,6751.5,0.027817828858016348,0.5998787626337929,3.0334293768036167,2.1914925479590694,4244.172710906096
2,11,23,12,1.4096407080298237,1.240558046832929,1.1362956466475331,2668.0,7608.0,0.027817828858016348,0.6965746024248396,3.0334293768036167,2.1679446993081575,4505.346157622075
2,12,15,3,0.31535308780817256,0.3063367635099733,1.0294327203659501,2911.5,3420.0,0.04808677284401531,0.09657165702551042,2.912059250304725,2.686790218770557,3155.523728321497
2,12,16,4,0.4616034302557378,0.6116640738625992,0.7546682075681787,2911.5,3969.5,0.04808677284401531,0.1420155653743819,2.912059250304725,2.49629052819873,3399.5881000497693
2,12,17,5,0.6109525498493544,0.7636203091721068,0.8000737310296658,2911.5,4395.0,0.04808677284401531,0.1619601996434494,2.912059250304725,2.3734195360575097,3577.155643804166
2,12,18,6,0.6108794055560869,0.818693473840952,0.746163765896542,2911.5,4673.0,0.04808677284401531,0.24547957853807,2.912059250304725,2.3434117153661136,3688.5552049549156
2,12,19,7,0.6618984980840452,0.8729146857695719,0.7582625299750888,2911.5,4990.5,0.04808677284401531,0.3309895538460283,2.912059250304725,2.308475853669911,3811.8028215006084
2,12,20,8,0.74251941646732,0.9257649104946905,0.8020604454218818,2911.5,5524.5,0.04808677284401531,0.4171771415516847,2.912059250304725,2.248934134142976,4010.5587827633194
2,12,21,9,0.7543162296686754,0.9791590190253187,0.7703715280277377,2911.5,6077.5,0.04808677284401531,0.5072317567755418,2.912059250304725,2.221266467372173,4206.499881136335
2,12,22,10,0.7898176429698689,1.0347953608249003,0.7632597447482328,2911.5,6751.5,0.04808677284401531,0.5998787626337929,2.912059250304725,2.1914925479590694,4433.620670512983
2,12,23,11,0.7970192300243498,1.0882572910586437,0.7323812452926634,2911.5,7608.0,0.04808677284401531,0.6965746024248396,2.912059250304725,2.1679446993081575,4706.452166972485
2,13,16,3,0.40764444068991773,0.4571807638087922,0.8916482777923873,3166.0,3969.5,0.07251860755789853,0.1420155653743819,2.787589049239619,2.49629052819873,3545.0581095378393
2,13,17,4,0.44497660790528276,0.609138923511716,0.730501024856482,3166.0,4395.0,0.07251860755789853,0.1619601996434494,2.787589049239619,2.3734195360575097,3730.2238538725796
2,13,18,5,0.4656825747840371,0.6642110453510665,0.7011063396844028,3166.0,4673.0,0.07251860755789853,0.24547957853807,2.787589049239619,2.3434117153661136,3846.3902558112845
2,13,19,6,0.5604175817860421,0.7184307223191598,0.7800579295620363,3166.0,4990.5,0.07251860755789853,0.3309895538460283,2.787589049239619,2.308475853669911,3974.911697132403
2,13,20,7,0.6045865252752591,0.7712819607776947,0.7838722490872804,3166.0,5524.5,0.07251860755789853,0.4171771415516847,2.787589049239619,2.248934134142976,4182.172521549057
2,13,21,8,0.6527030645266823,0.8246764548200863,0.7914656235324165,3166.0,6077.5,0.07251860755789853,0.5072317567755418,2.787589049239619,2.221266467372173,4386.498033739443
2,13,22,9,0.6823568374300769,0.8803104504826275,0.775132042401606,3166.0,6751.5,0.07251860755789853,0.5998787626337929,2.787589049239619,2.1914925479590694,4623.3374309042165
2,13,23,10,0.7176282493973271,0.9337751704740062,0.7685235933538929,3166.0,7608.0,0.07251860755789853,0.6965746024248396,2.787589049239619,2.1679446993081575,4907.843518287844
2,14,17,3,0.44497660790528276,0.609138923511716,0.730501024856482,3166.0,4395.0,0.07251860755789853,0.1619601996434494,2.787589049239619,2.3734195360575097,3730.2238538725796
2,14,18,4,0.4656825747840371,0.6642110453510665,0.7011063396844028,3166.0,4673.0,0.07251860755789853,0.24547957853807,2.787589049239619,2.3434117153661136,3846.3902558112845
2,14,19,5,0.5604175817860421,0.7184307223191598,0.7800579295620363,3166.0,4990.5,0.07251860755789853,0.3309895538460283,2.787589049239619,2.308475853669911,3974.911697132403
2,14,20,6,0.6045865252752591,0.7712819607776947,0.7838722490872804,3166.0,5524.5,0.07251860755789853,0.4171771415516847,2.787589049239619,2.248934134142976,4182.172521549057
2,14,21,7,0.6527030645266823,0.8246764548200863,0.7914656235324165,3166.0,6077.5,0.07251860755789853,0.5072317567755418,2.787589049239619,2.221266467372173,4386.498033739443
2,14,22,8,0.6823568374300769,0.8803104504826275,0.775132042401606,3166.0,6751.5,0.07251860755789853,0.5998787626337929,2.787589049239619,2.1914925479590694,4623.3374309042165
2,14,23,9,0.7176282493973271,0.9337751704740062,0.7685235933538929,3166.0,7608.0,0.07251860755789853,0.6965746024248396,2.787589049239619,2.1679446993081575,4907.843518287844
2,15,18,3,0.365869075152428,0.5123589635936538,0.7140873901887947,3420.0,4673.0,0.09657165702551042,0.24547957853807,2.686790218770557,2.3434117153661136,3997.7068426786873
2,15,19,4,0.4669648442188776,0.5665803458059452,0.8241811557275831,3420.0,4990.5,0.09657165702551042,0.3309895538460283,2.686790218770557,2.308475853669911,4131.284303942299
2,15,20,5,0.5090541320137512,0.6194286597868057,0.8218123652673043,3420.0,5524.5,0.09657165702551042,0.4171771415516847,2.686790218770557,2.248934134142976,4346.698747325377
2,15,21,6,0.5577432480146832,0.6728224201842006,0.828960556727566,3420.0,6077.5,0.09657165702551042,0.5072317567755418,2.686790218770557,2.221266467372173,4559.062403608882
2,15,22,7,0.586922845254948,0.728460681329282,0.8057028475221775,3420.0,6751.5,0.09657165702551042,0.5998787626337929,2.686790218770557,2.1914925479590694,4805.219037671436
2,15,23,8,0.6225067559452788,0.7819216327540834,0.7961242276322325,3420.0,7608.0,0.09657165702551042,0.6965746024248396,2.686790218770557,2.1679446993081575,5100.917564517192
2,16,19,3,0.20702563635824806,0.26125149554246324,0.7924380908456793,3969.5,4990.5,0.1420155653743819,0.3309895538460283,2.49629052819873,2.308475853669911,4450.818997667732
2,16,20,4,0.3071069005498872,0.3141015214455705,0.9777313371056199,3969.5,5524.5,0.1420155653743819,0.4171771415516847,2.49629052819873,2.248934134142976,4682.894697727037
2,16,21,5,0.29659779624470856,0.3674967618619804,0.8070759446748564,3969.5,6077.5,0.1420155653743819,0.5072317567755418,2.49629052819873,2.221266467372173,4911.683647182502
2,16,22,6,0.33277131274019855,0.4231320303566564,0.7864479379159901,3969.5,6751.5,0.1420155653743819,0.5998787626337929,2.49629052819873,2.1914925479590694,5176.879296448778
2,16,23,7,0.3424783807691529,0.47659449931550724,0.7185949087977849,3969.5,7608.0,0.1420155653743819,0.6965746024248396,2.49629052819873,2.1679446993081575,5495.448662302288
2,17,20,3,0.1698701344173924,0.16214672339621328,1.0476322361587695,4395.0,5524.5,0.1619601996434494,0.4171771415516847,2.3734195360575097,2.248934134142976,4927.492009125941
2,17,21,4,0.24865434331209477,0.21554115489847242,1.1536281478551966,4395.0,6077.5,0.1619601996434494,0.5072317567755418,2.3734195360575097,2.221266467372173,5168.231080360088
2,17,22,5,0.26679338655543183,0.271184326567144,0.9838082824796847,4395.0,6751.5,0.1619601996434494,0.5998787626337929,2.3734195360575097,2.1914925479590694,5447.278448913733
2,17,23,6,0.331169800264612,0.3246372356976455,1.020122659536969,4395.0,7608.0,0.1619601996434494,0.6965746024248396,2.3734195360575097,2.1679446993081575,5782.487354071775
2,18,21,3,0.2148674041979126,0.1604773998529017,1.3389262562508264,4673.0,6077.5,0.24547957853807,0.5072317567755418,2.3434117153661136,2.221266467372173,5329.179814943384
2,18,22,4,0.23718416393344346,0.2161087078121398,1.097522475307308,4673.0,6751.5,0.24547957853807,0.5998787626337929,2.3434117153661136,2.1914925479590694,5616.917259493859
2,18,23,5,0.2859801126621119,0.26956523780300246,1.0608938859954389,4673.0,7608.0,0.24547957853807,0.6965746024248396,2.3434117153661136,2.1679446993081575,5962.565219769089
2,19,22,3,0.12834362498437793,0.16188269742372008,0.7928186707220769,4990.5,6751.5,0.3309895538460283,0.5998787626337929,2.308475853669911,2.1914925479590694,5804.598241911322
2,19,23,4,0.16934387905153375,0.21534930462291269,0.7863683579014257,4990.5,7608.0,0.3309895538460283,0.6965746024248396,2.308475853669911,2.1679446993081575,6161.795517541945
2,20,23,3,0.20346019948065944,0.1624959466332089,1.2520939980116326,5524.5,7608.0,0.4171771415516847,0.6965746024248396,2.248934134142976,2.1679446993081575,6483.0853765780375
1,9,12,3,0.3603448252672021,0.4597983446477617,0.7837018759675003,2012.5,3348.0,0.20549554033945974,0.15885440735903025,1.9732836189894387,1.635546010691552,2595.7368895941668
1,9,13,4,0.4836883237749077,0.6142845409084011,0.7874011008963886,2012.5,4137.0,0.20549554033945974,0.14785574838124102,1.9732836189894387,1.5371385270223064,2885.43107697966
1,9,14,5,0.4836883237749077,0.6142845409084011,0.7874011008963886,2012.5,4137.0,0.20549554033945974,0.14785574838124102,1.9732836189894387,1.5371385270223064,2885.43107697966
1,9,15,6,0.6006996278466302,0.7661282998120009,0.7840718427893018,2012.5,5032.5,0.20549554033945974,0.1400649290407167,1.9732836189894387,1.4411681858110923,3182.437155703157
1,9,16,7,0.833912942064032,1.0714570794860354,0.778298037345602,2012.5,7705.5,0.20549554033945974,0.14748525676958932,1.9732836189894387,1.2496557044957075,3937.93330949116
1,9,17,8,0.9477951875162646,1.2234103568684007,0.7747156807977036,2012.5,9625.5,0.20549554033945974,0.1722232276248798,1.9732836189894387,1.1567005802003423,4401.286033649711
1,9,18,9,0.9979038100835801,1.278485943879323,0.7805356131297231,2012.5,10404.5,0.20549554033945974,0.1114633452611003,1.9732836189894387,1.1222335272873916,4575.921355311955
1,9,19,10,1.0369071118450748,1.3327083957748014,0.7780450060436848,2012.5,11133.0,0.20549554033945974,0.06633015418796646,1.9732836189894387,1.097216496191912,4733.40918366456
1,9,20,11,1.0759231945438994,1.385555188818645,0.7765285736912835,2012.5,12001.5,0.20549554033945974,0.0653273683791654,1.9732836189894387,1.067203933270075,4914.572082084054
1,9,21,12,1.119222589894541,1.4389476803877421,0.7778063130085123,2012.5,13072.0,0.20549554033945974,0.10617196907754962,1.9732836189894387,1.0422064846028978,5129.0739904977
1,9,22,13,1.1570760176479256,1.494588867696199,0.7741767938038203,2012.5,14193.0,0.20549554033945974,0.15659235490830006,1.9732836189894387,1.0149287486499634,5344.474950825384
1,9,23,14,1.1972497483962554,1.5480472639209886,0.7733935366829745,2012.5,15725.0,0.20549554033945974,0.20762652107857724,1.9732836189894387,0.9897132387214606,5625.527753020156
1,9,24,15,1.2441573278989582,1.6004336273321338,0.7773876446053714,2012.5,17484.0,0.20549554033945974,0.2575028629093824,1.9732836189894387,0.9593685839509283,5931.825182858983
1,9,25,16,1.288087222022642,1.6552261297318356,0.7781941082765084,2012.5,19131.0,0.20549554033945974,0.3052094674008293,1.9732836189894387,0.9376740829892355,6204.928484680545
1,9,26,17,1.329494240701895,1.7092797496231604,0.7778096247820198,2012.5,21186.0,0.20549554033945974,0.3494851355605053,1.9732836189894387,0.9146471872605776,6529.687971105511
1,9,27,18,1.3694907224001756,1.7625433351327124,0.776996908445975,2012.5,23297.5,0.20549554033945974,0.3910198671878557,1.9732836189894387,0.8931908700209411,6847.351221457828
1,9,28,19,1.4068893783025926,1.8163020254427198,0.7745899958238863,2012.5,25593.5,0.20549554033945974,0.4292104935944282,1.9732836189894387,0.8728139641286821,7176.832083168729
1,9,29,20,1.449782711109634,1.871603677255129,0.7746205720411212,2012.5,27997.5,0.20549554033945974,0.463652550808167,1.9732836189894387,0.8543841803046344,7506.3285799383975
1,9,30,21,1.4870826245757274,1.9279176252909684,0.7713413711601352,2012.5,30198.0,0.20549554033945974,0.49286921872397205,1.9732836189894387,0.8389286782125472,7795.734410560688
1,9,31,22,1.5338550379052522,1.9775629152353378,0.7756289451467173,2012.5,32523.0,0.20549554033945974,0.5173801449531006,1.9732836189894387,0.8248027250354835,8090.274253694988
1,9,32,23,1.569595721424684,2.0354128886294265,0.7711436486390696,2012.5,34800.0,0.20549554033945974,0.5387872972418146,1.9732836189894387,0.8105953671945563,8368.691654016176
1,9,33,24,1.6117630663588711,2.0861340665142136,0.7726076153159304,2012.5,36948.0,0.20549554033945974,0.5548616939775355,1.9732836189894387,0.7995078761774728,8623.099790678523
1,9,42,33,1.979448440217856,2.5708937813668196,0.7699456331352124,2012.5,37060.5,0.20549554033945974,0.5551337238985715,1.9732836189894387,0.8007452055339184,8636.21770510679
1,9,43,34,2.0196324655209286,2.62453823781664,0.7695191620454598,2012.5,36157.5,0.20549554033945974,0.5573775580436321,1.9732836189894387,0.8051412466892579,8530.35572236
1,9,44,35,2.0606305814466315,2.6791242103553143,0.7691433541908622,2012.5,34716.0,0.20549554033945974,0.565264185825927,1.9732836189894387,0.8188616391685962,8358.585406634307
1,9,45,36,2.1011304479325714,2.7339961912657347,0.7685198884493797,2012.5,33400.0,0.20549554033945974,0.5787611034562423,1.9732836189894387,0.8318910639055604,8198.62793398993
1,9,46,37,2.142891465828594,2.7874459114949683,0.7687652187228682,2012.5,32100.0,0.20549554033945974,0.5992183374300747,1.9732836189894387,0.8486449039800058,8037.490279931914
1,9,47,38,2.1845460405517114,2.8407024236356344,0.7690161497999674,2012.5,30947.5,0.20549554033945974,0.6273968321978752,1.9732836189894387,0.8654221535596422,7891.884676678949
1,9,48,39,2.2233200777782147,2.89464619174789,0.7680800797404864,2012.5,30110.0,0.20549554033945974,0.662971530308806,1.9732836189894387,0.8833384427082149,7784.367347447062
1,10,13,3,0.35462060776153076,0.46009007001196633,0.7707634458450876,2406.5,4137.0,0.1880401468040509,0.14785574838124102,1.8518378288500037,1.5371385270223064,3155.263935077381
1,10,14,4,0.35462060776153076,0.46009007001196633,0.7707634458450876,2406.5,4137.0,0.1880401468040509,0.14785574838124102,1.8518378288500037,1.5371385270223064,3155.263935077381
1,10,15,5,0.47181537186789724,0.6119342781098188,0.7710229492704189,2406.5,5032.5,0.1880401468040509,0.1400649290407167,1.8518378288500037,1.4411681858110923,3480.0447195402535
1,10,16,6,0.704943002068968,0.9172629584459705,0.7685288014500056,2406.5,7705.5,0.1880401468040509,0.14748525676958932,1.8518378288500037,1.2496557044957075,4306.1915598356745
1,10,17,7,0.8187654763537405,1.069217269482643,0.7657615526074627,2406.5,9625.5,0.1880401468040509,0.1722232276248798,1.8518378288500037,1.1567005802003423,4812.87499837675
1,10,18,8,0.8689192242105664,1.1242929744501864,0.7728583598376522,2406.5,10404.5,0.1880401468040509,0.1114633452611003,1.8518378288500037,1.1222335272873916,5003.841449326707
1,10,19,9,0.9079418633474378,1.1785144492856756,0.7704121607484422,2406.5,11133.0,0.1880401468040509,0.06633015418796646,1.8518378288500037,1.097216496191912,5176.056848605896
1,10,20,10,0.9469407818047452,1.231361075983329,0.7690195835113157,2406.5,12001.5,0.1880401468040509,0.0653273683791654,1.8518378288500037,1.067203933270075,5374.161306659858
1,10,21,11,0.9902878454462817,1.2847534872490942,0.7707998890640722,2406.5,13072.0,0.1880401468040509,0.10617196907754962,1.8518378288500037,1.0422064846028978,5608.7224926894005
1,10,22,12,1.0281365262920552,1.3403939687481896,0.7670405494678886,2406.5,14193.0,0.1880401468040509,0.15659235490830006,1.8518378288500037,1.0149287486499634,5844.266806024516
1,10,23,13,1.0682614486316968,1.3938542847194757,0.7664082683124176,2406.5,15725.0,0.1880401468040509,0.20762652107857724,1.8518378288500037,0.9897132387214606,6151.602433512751
1,10,24,14,1.1151719247820617,1.446239551512419,0.7710838246788784,2406.5,17484.0,0.1880401468040509,0.2575028629093824,1.8518378288500037,0.9593685839509283,6486.543455493072
1,10,25,15,1.15917055291824,1.5010316253504192,0.772249254007309,2406.5,19131.0,0.1880401468040509,0.3052094674008293,1.8518378288500037,0.9376740829892355,6785.18618020169
1,10,26,16,1.2005546920659689,1.5550851080838093,0.7720186411824776,2406.5,21186.0,0.1880401468040509,0.3494851355605053,1.8518378288500037,0.9146471872605776,7140.315749320894
1,10,27,17,1.2405458393720434,1.608349904232442,0.7713158909684352,2406.5,23297.5,0.1880401468040509,0.3910198671878557,1.8518378288500037,0.8931908700209411,7487.685473495799
1,10,28,18,1.277915032037956,1.662107580545888,0.7688521771967665,2406.5,25593.5,0.1880401468040509,0.4292104935944282,1.8518378288500037,0.8728139641286821,7847.977940208548
1,10,29,19,1.3208139297783068,1.7174073337073852,0.7690743505368944,2406.5,27997.5,0.1880401468040509,0.463652550808167,1.8518378288500037,0.8543841803046344,8208.28750410218
1,10,30,20,1.3581136616034986,1.7737204397697832,0.7656864245076707,2406.5,30198.0,0.1880401468040509,0.49286921872397205,1.8518378288500037,0.8389286782125472,8524.757298598008
1,10,31,21,1.4049041562227143,1.8233657049411698,0.7705004829341369,2406.5,32523.0,0.1880401468040509,0.5173801449531006,1.8518378288500037,0.8248027250354835,8846.841215936907
1,10,32,22,1.4406198448644603,1.8812133235976691,0.7657929203421708,2406.5,34800.0,0.1880401468040509,0.5387872972418146,1.8518378288500037,0.8105953671945563,9151.294990327871
1,10,33,23,1.4827726374156673,1.9319359648353065,0.767506099790461,2406.5,36948.0,0.1880401468040509,0.5548616939775355,1.8518378288500037,0.7995078761774728,9429.494260033249
1,10,42,32,1.8504967526094656,2.4166992713743585,0.7657124634945175,2406.5,37060.5,0.1880401468040509,0.5551337238985715,1.8518378288500037,0.8007452055339184,9443.8389042804
1,10,43,33,1.8906637558632244,2.4703431567453378,0.7653445840917755,2406.5,36157.5,0.1880401468040509,0.5573775580436321,1.8518378288500037,0.8051412466892579,9328.077173244226
1,10,44,34,1.9316704005180672,2.5249298625746555,0.7650392310495131,2406.5,34716.0,0.1880401468040509,0.565264185825927,1.8518378288500037,0.8188616391685962,9140.243651019375
