mode,root_camera,target_camera,root_marker,target_marker,root_frame,target_frame,quality,root_area_px2,target_area_px2,root_distance_m,target_distance_m,root_support_key,target_support_key,translation_deviation_m,rotation_deviation_deg,inlier,pose_support,x_m,y_m,z_m,support_keys
direct,cam_edge_1,cam_edge_0,7,7,,,0.5337500284230629,834.0,2813.0,6.118902976384111,2.852544085963125,,,0.0,0.0,True,True,-0.00997538724571978,-1.6334650308319503,4.779678723604925,
relay,cam_edge_1,cam_edge_0,2,3,103,45,0.6257405743250839,,,,,,,0.038089418335594386,0.6824000818775067,True,True,0.05271255601788982,-1.450179785274009,5.08566815797776,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,103,46,0.6329403631180197,,,,,,,0.016000884508654774,0.9859658090335667,True,True,0.07144912598864339,-1.433741319994757,5.043680877637904,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,103,47,0.626099880335963,,,,,,,0.017214270441900034,0.9923739012340206,True,True,0.05450624886990019,-1.4277443490068624,5.064952053480267,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,103,48,0.6265789045547047,,,,,,,0.025148924705665106,1.1997501502161771,True,True,0.047537083967554405,-1.4376531866255375,5.065043962854776,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,103,51,0.6187392598203182,,,,,,,0.04676024948711585,1.303816903211647,True,True,0.04787269761312096,-1.433857278215052,5.099743554506426,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,103,52,0.6216162797518057,,,,,,,0.011498570516991513,1.1297857627457337,True,True,0.061426322033934166,-1.4351709091263738,5.0550193042697344,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,103,120,0.6270574383827024,,,,,,,0.05172249150299183,1.0215841982554033,True,True,0.07859560367201561,-1.3993460410278786,5.017889256196565,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,103,121,0.6182793573551993,,,,,,,0.04112942551885044,1.0700617772188026,True,True,0.06347345618640278,-1.3979436978743938,5.0337739244923085,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,105,45,0.6307572935689031,,,,,,,0.04022783024669993,0.903980036556315,True,True,0.0467341692999752,-1.457981716682535,5.074627729829781,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,105,46,0.6380148048757224,,,,,,,0.029257425882450488,1.353497050084204,True,True,0.065644715980542,-1.4413591111464552,5.032791213306799,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,105,47,0.6311194802262563,,,,,,,0.023361891289000836,1.3449705155655032,True,True,0.048578123099439985,-1.4354739910167449,5.053994619549591,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,105,48,0.6316023449023938,,,,,,,0.03339976905850333,1.5553904465332347,True,True,0.04163329369725699,-1.4454002970939421,5.054018325220817,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,105,51,0.6236998477684388,,,,,,,0.043080733167695666,1.5516219798305662,True,True,0.041781555611522414,-1.4417175562781366,5.088731415784171,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,105,52,0.6265999334908423,,,,,,,0.025066789261432045,1.5043346328793155,True,True,0.05556751130476689,-1.442850736649794,5.044073289443995,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,105,120,0.6320847152562015,,,,,,,0.056737713877965244,0.9893179746695225,True,True,0.07283758248166279,-1.4068617246052126,5.007149292778436,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,105,121,0.6232362581498226,,,,,,,0.04528379706952727,1.2258216887598208,True,True,0.05763075356220465,-1.4055489954290257,5.022960608159735,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,106,45,0.6252709810934275,,,,,,,0.036133402640952106,0.4548114366022423,True,True,0.06320686200068226,-1.457674615811739,5.0805605498763535,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,106,46,0.6324653667333232,,,,,,,0.026066955351628292,0.9447678233043816,True,True,0.0813617798006081,-1.4411150813667504,5.03836582646232,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,106,47,0.6256300174595405,,,,,,,0.008096326979131648,0.4209785194502787,True,True,0.06479022988281091,-1.4351411150876163,5.059933930876592,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,106,48,0.6261086821897975,,,,,,,0.020106891620640787,0.6741170314319651,True,True,0.057771190641578096,-1.4450139477445727,5.060085697738098,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,106,51,0.6182749207947004,,,,,,,0.03944960249638234,0.40319606337090674,True,True,0.0586770389805944,-1.4414007755233083,5.09479459635585,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,106,52,0.6211497816379927,,,,,,,0.015974741313114958,0.7552056949877194,True,True,0.07151262709942352,-1.4425516550438902,5.04985454657485,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,106,120,0.6265868568973291,,,,,,,0.054748257639520126,0.9808578747274511,True,True,0.08827983220442082,-1.4066234192609568,5.012640724107235,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,106,121,0.6178153634679563,,,,,,,0.03898726770072722,0.5014216824525264,True,True,0.07341908838791572,-1.4052253379515298,5.0287705802639096,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,109,45,0.6229669356307448,,,,,,,0.0729596096189454,1.8060917167976671,True,True,0.07056668733610727,-1.423803432461947,5.131833788883549,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,109,46,0.6301348108582088,,,,,,,0.04075033964374778,1.1683199556864152,True,True,0.08820424481394773,-1.408248887371997,5.089041422758219,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,109,47,0.6233246489926959,,,,,,,0.05863922459544729,1.1554585530239856,True,True,0.07195869600747651,-1.4017318919271862,5.110700106516843,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,109,48,0.623801549903212,,,,,,,0.05537675530578744,0.9337329391771585,True,True,0.06490093599157332,-1.4115673118482412,5.1111641197245286,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,109,51,0.6159966549403401,,,,,,,0.08960793193098782,1.5710032542246894,True,True,0.06630325079336452,-1.4072031687097006,5.1457700583165416,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,109,52,0.618860922280524,,,,,,,0.04689624101508341,0.908788527249621,True,True,0.07850940704159948,-1.4093904518041263,5.100693340793473,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,109,120,0.6242779625966751,,,,,,,0.0604131629362077,2.4662229296578015,True,True,0.09491001234159677,-1.3743572537371904,5.062476315069921,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,109,121,0.6155387910249417,,,,,,,0.061088112380413166,1.9589716270584703,True,True,0.08028040749920493,-1.3725411729059176,5.078774938028082,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,110,45,0.6262713747880131,,,,,,,0.05704987312428278,1.8413164644554199,True,True,0.0885682005850299,-1.4836860739250401,5.060417495914637,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,110,46,0.6334772709861278,,,,,,,0.06537065377786513,2.4395194533644466,True,True,0.10588649495036861,-1.466347804710066,5.018183919151021,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,110,47,0.6266309855894151,,,,,,,0.04122002164203104,1.8771827663593708,True,True,0.08976122677428,-1.460768593611656,5.040191549590843,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,110,48,0.6271104161527148,,,,,,,0.04678068912280864,1.9386013817919237,True,True,0.08273497010426545,-1.470636872214072,5.040299087280269,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,110,51,0.619264121238965,,,,,,,0.04355027385127395,1.2738194861572782,True,True,0.08434623309972733,-1.4676801189832327,5.075044513739915,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,110,52,0.6221435816762693,,,,,,,0.054705895574962866,2.138182990494474,True,True,0.09626978953447307,-1.4679930056153307,5.029840356583203,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,110,120,0.627589355909284,,,,,,,0.07821082780423826,1.867957151726091,True,True,0.11232429317821241,-1.4313823747220855,4.99297898799073,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,110,121,0.6188038286498052,,,,,,,0.05663625348946227,1.4679045720778132,True,True,0.09779416528037571,-1.4302769774545427,5.009429583053403,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,111,45,0.6207162396571327,,,,,,,0.03997436961401565,1.132638947158612,True,True,0.07460403224041823,-1.4464373012945626,5.095114621183639,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,111,46,0.6278582183128991,,,,,,,0.022703883441462683,1.0151840221587756,True,True,0.09233697554976672,-1.4302376730476558,5.052601932823656,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,111,47,0.6210726606486908,,,,,,,0.01703841069261492,0.5845576268957074,True,True,0.07600432351655795,-1.4240680883275552,5.074296825534866,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,111,48,0.6215478385801887,,,,,,,0.016184434444926846,0.47098404580157066,True,True,0.06897171525831314,-1.4339277657256155,5.074600062100468,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,111,51,0.6137711416558685,,,,,,,0.050170203180508424,0.7513083924966822,True,True,0.07025096351420013,-1.430045393393669,5.109268115506264,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,111,52,0.6166250607823653,,,,,,,0.013206961553327049,0.631077419772147,True,True,0.08260784707501756,-1.4315682021158396,5.064205121790733,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,111,120,0.6220225300584964,,,,,,,0.054757015943499514,1.72536625327915,True,True,0.09903649594959751,-1.3959593202306442,5.026536130522048,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,111,121,0.6133149319413785,,,,,,,0.04110852442680599,1.1740039164118645,True,True,0.08434971120494539,-1.3944107485612716,5.042810923221547,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,113,45,0.6318639184722225,,,,,,,0.041940740121061866,0.9442937829664082,True,True,0.04143908946842889,-1.4537966081759133,5.077031769003812,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,113,46,0.6391341626365611,,,,,,,0.02709356678643116,1.3099441142432873,True,True,0.06041092891092292,-1.4372376398045807,5.035197766326694,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,113,47,0.632226740563805,,,,,,,0.02744500513998158,1.3457315669423262,True,True,0.043339768789836475,-1.431306451677056,5.056384653009814,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,113,48,0.6327104523963384,,,,,,,0.03625021225826306,1.5657653438821721,True,True,0.03637656582902027,-1.4412198733431985,5.056410052187246,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,113,51,0.6247940908168732,,,,,,,0.047439419667483,1.5874533881337778,True,True,0.03650627979361243,-1.4375136689559842,5.091120719730508,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,113,52,0.6276992645614287,,,,,,,0.025573845722487703,1.4899048146375786,True,True,0.05032274049182406,-1.438702900840718,5.046473479483824,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,113,120,0.6331936690392839,,,,,,,0.05641409731508345,1.037222737874113,True,True,0.06768635853086455,-1.4027711681876585,5.0095375723838,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,113,121,0.6243296878587647,,,,,,,0.047542272280846135,1.2701310121598421,True,True,0.05247043658028211,-1.4014194913260094,5.02533685358954,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,114,45,0.6336660234965363,,,,,,,0.03498227484978872,0.462202927080181,True,True,0.07367264881395363,-1.4485680224700375,5.088305708677082,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,114,46,0.6409570027323889,,,,,,,0.024953403570460577,0.9201532403210112,True,True,0.09170798496554045,-1.4320596547914537,5.046039713458329,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,114,47,0.6340298803734501,,,,,,,0.010253058976530498,0.3340996745057172,True,True,0.07514024515414763,-1.426088658852678,5.067611567176737,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,114,48,0.634514971774429,,,,,,,0.011088871636441573,0.48177949907618856,True,True,0.06816069433245842,-1.4359887965897569,5.06780107400193,"[None, None, None, None]"
relay,cam_edge_1,cam_edge_0,2,3,114,51,0.626576032366796,,,,,,,0.043507177341096215,0.41133566447487285,True,True,0.0690962802620203,-1.432270855781097,5.102498117292144,"[None, None, None, None]"
