method,status,alignment,source_file,camera_count,available_cameras,missing_cameras,failure_reason,mean_translation_error_cm,median_translation_error_cm,max_translation_error_cm,mean_rotation_error_deg,median_rotation_error_deg,max_rotation_error_deg
AP01,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,3,cam_edge_1;cam_edge_3;cam_edge_5,cam_edge_0,cam_edge_0: RuntimeError: No relay multichain aggregate row found for cam3_to_cam0 / COLMAP_motion,236.75973263963306,214.04881239969575,354.1300655379381,26.37673896468716,19.14444288483084,40.90581636073442
AP02,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,,8.627318728160526,7.165104704522898,12.758437496159598,1.3276639621803976,1.0576733218741985,1.9839097700355088
AP03,PARTIAL_1_OF_4_NO_SE3_ALIGNMENT,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,1,cam_edge_5,cam_edge_0;cam_edge_1;cam_edge_3,,,,,,,
