observer_type,observer_id,frame_id,marker_id,num_corners,mean_reproj_px,median_reproj_px,max_reproj_px
static,cam_edge_0,static,3,4,0.23022396328955133,0.2302029904612366,0.23691932208565628
static,cam_edge_0,static,7,4,0.34933821998395775,0.3404666603607066,0.6658797073215855
static,cam_edge_0,static,4,4,0.3396912257964767,0.4064197631099609,0.49593896796196
static,cam_edge_1,static,2,4,0.4252440959085494,0.41505764407801865,0.5774697188868063
static,cam_edge_1,static,1,4,0.7101772199056762,0.7123421076105312,0.9944697769928424
static,cam_edge_1,static,5,4,0.36511074233834806,0.34612438648099564,0.48259343833683993
static,cam_edge_1,static,7,4,0.689323435588876,0.7210335045382585,0.7709840431896022
static,cam_edge_1,static,6,4,0.40337675625658803,0.48122540881254194,0.600859050059692
static,cam_edge_1,static,8,4,0.4663123073769618,0.4649904261889476,0.5304689430031488
static,cam_edge_3,static,1,4,0.7116810363170362,0.7384967755425551,0.9057288599348867
static,cam_edge_3,static,2,4,0.3775410748798191,0.34216832314823886,0.7438839703225735
static,cam_edge_3,static,5,4,0.45544291253919156,0.4617685862905824,0.6277435279559954
static,cam_edge_3,static,6,4,0.3069802560633621,0.3210907536546559,0.5040292601493059
static,cam_edge_3,static,7,4,0.6017148985279517,0.5402560471914868,1.0439673387155053
static,cam_edge_3,static,8,4,0.5940266178033236,0.5578318584025694,0.7621066405154197
static,cam_edge_5,static,11,4,0.4088292900213058,0.36944342224682525,0.6840302339574661
static,cam_edge_5,static,13,4,0.7380731450898435,0.7226299584660228,1.3926203246858788
static,cam_edge_5,static,12,4,0.3028518007668213,0.3109898898068316,0.5643684666363208
static,cam_edge_5,static,9,4,0.44046815483976,0.2776590457904402,0.9499477660456738
static,cam_edge_5,static,10,4,0.3836523222371618,0.36519450585756996,0.5407282629133137
moving,moving_frame_000009,9,2,4,0.5190988764954165,0.5341374486111157,0.6330368208152609
moving,moving_frame_000009,9,5,4,0.5578773402216436,0.5404458486541388,0.7781156174947927
moving,moving_frame_000009,9,7,4,0.5306410638725533,0.6429910195673866,0.7496686049201444
moving,moving_frame_000009,9,6,4,0.5775129807483342,0.6026411711731389,0.8348987457748172
moving,moving_frame_000012,12,2,4,0.27854300329706316,0.2436215493931157,0.45745326759409144
moving,moving_frame_000012,12,1,4,0.33320032373516295,0.31228470903372707,0.6203473831091882
moving,moving_frame_000012,12,5,4,0.3073240508879254,0.31897309631073334,0.5057102493597291
moving,moving_frame_000012,12,7,4,0.35664567833895805,0.28781738341925783,0.7116560668736317
moving,moving_frame_000012,12,6,4,0.41730991469799383,0.3817345245401368,0.6496943907206006
moving,moving_frame_000013,13,2,4,0.48269746185243134,0.4830166200971685,0.6512543706862068
moving,moving_frame_000013,13,1,4,0.2471710004072545,0.2368603253028286,0.41869135234923216
moving,moving_frame_000013,13,5,4,0.4398766748563823,0.4901306449840884,0.6467753653609485
moving,moving_frame_000013,13,7,4,0.3020551161974223,0.28478292482139,0.3972231910444963
moving,moving_frame_000013,13,6,4,0.4095986424981589,0.3930657372048131,0.6419623824121435
moving,moving_frame_000014,14,2,4,0.5272529318869462,0.5286864829409743,0.6595742064092593
moving,moving_frame_000014,14,1,4,0.34930903313575334,0.3436426476880162,0.5325154912063748
moving,moving_frame_000014,14,5,4,0.42414686238402755,0.3727517727103371,0.7579310418224421
moving,moving_frame_000014,14,7,4,0.48152185790338253,0.436352284838907,0.7433167338307499
moving,moving_frame_000014,14,6,4,0.5040835635038885,0.5040508775593943,0.7512639307835196
moving,moving_frame_000015,15,1,4,0.3027096036533884,0.3270286691622216,0.45230824879077214
moving,moving_frame_000015,15,2,4,0.56728478206189,0.5911406103142178,0.8495780521167208
moving,moving_frame_000015,15,5,4,0.5215754911505994,0.5441218942935212,0.594383906523926
moving,moving_frame_000015,15,7,4,0.5193829882498467,0.5005654845090542,0.8732397452277031
moving,moving_frame_000015,15,6,4,0.22619414990771858,0.19047469628809277,0.5132923152078328
moving,moving_frame_000016,16,1,4,0.30270960341143116,0.32702867048299883,0.4523082414547196
moving,moving_frame_000016,16,2,4,0.5672847831217025,0.5911406090861637,0.8495780532128951
moving,moving_frame_000016,16,5,4,0.5215754912983889,0.5441219016646661,0.5943839042275149
moving,moving_frame_000016,16,7,4,0.5193829866166787,0.5005654830332913,0.8732397479025645
moving,moving_frame_000016,16,6,4,0.22619414980276936,0.19047469742348572,0.51329231495929
moving,moving_frame_000017,17,1,4,0.4927526759203955,0.5636816897208672,0.7065057399514987
moving,moving_frame_000017,17,2,4,0.4651551711161745,0.46772308030580056,0.7975189836594518
moving,moving_frame_000017,17,5,4,0.47059286457573957,0.4466979075797327,0.7077603791021425
moving,moving_frame_000017,17,6,4,0.38792505704027525,0.35457330817021676,0.6193123198568793
moving,moving_frame_000018,18,1,4,0.3223407104538311,0.26746153954516805,0.6071645300918671
moving,moving_frame_000018,18,2,4,0.3133644570979279,0.3201105998187989,0.510145710626869
moving,moving_frame_000018,18,5,4,0.4451060086647116,0.5052625022664308,0.5951973047226409
moving,moving_frame_000019,19,1,4,0.5306773917960088,0.5191401135407827,0.6611653851332636
moving,moving_frame_000019,19,2,4,0.471553827570636,0.4926527403658294,0.6039446843767449
moving,moving_frame_000019,19,5,4,0.3071687129564274,0.3236017374496235,0.4003106886328523
moving,moving_frame_000020,20,1,4,0.4363159222775466,0.476909095263204,0.6788254084180771
moving,moving_frame_000020,20,2,4,0.4903733313090909,0.48933040093627556,0.5147467491784782
moving,moving_frame_000020,20,5,4,0.4768590968433793,0.4046730089566597,0.7784907671279688
moving,moving_frame_000021,21,1,4,0.5162665144039263,0.5459041079714938,0.7493710527791482
moving,moving_frame_000021,21,2,4,0.5424404651118945,0.5521398090369614,0.6086999170439282
moving,moving_frame_000021,21,5,4,0.44132579317757603,0.362443342252335,0.7768391846481726
moving,moving_frame_000022,22,1,4,0.971627945201467,0.9923323163346349,1.1334139726753094
moving,moving_frame_000022,22,2,4,0.8185090111451008,0.899695664203527,1.008861300427034
moving,moving_frame_000023,23,1,4,0.9716280730290402,0.9923325341377062,1.1334139613744534
moving,moving_frame_000023,23,2,4,0.818508868575222,0.8996955196749755,1.0088611357482153
moving,moving_frame_000024,24,2,4,0.6539992473375131,0.6595197987755075,0.9784092345246763
moving,moving_frame_000024,24,1,4,0.5181944526212808,0.4888557412141735,1.0009565279849884
moving,moving_frame_000029,29,1,4,0.4021762995952135,0.4011235140274731,0.4248714647329336
moving,moving_frame_000035,35,1,4,0.18226446526061235,0.18016718539235366,0.2013879028892201
moving,moving_frame_000047,47,1,4,0.17014470459285286,0.16986101824639602,0.18322474462060484
moving,moving_frame_000048,48,1,4,0.15813875140623057,0.1584430136961566,0.16404112436984936
moving,moving_frame_000049,49,1,4,0.4152189854120315,0.4165651508877779,0.43653715372596413
moving,moving_frame_000050,50,1,4,0.41521898541589114,0.4165651495792356,0.43653713011384543
moving,moving_frame_000056,56,0,4,0.355538010075269,0.3565459018822825,0.3919313538788869
moving,moving_frame_000058,58,0,4,0.22565270017531056,0.22624123048207323,0.2652846350431154
moving,moving_frame_000059,59,0,4,0.15680629328269363,0.1569848985496779,0.17055189570106666
moving,moving_frame_000060,60,0,4,0.15680628968520555,0.15698491828840325,0.17055191623231133
moving,moving_frame_000062,62,0,4,0.12207692299473966,0.12175142306127523,0.14194599803645117
moving,moving_frame_000063,63,0,4,0.18062370900076527,0.18217148826736584,0.19575148828613712
moving,moving_frame_000064,64,0,4,0.1806237044102018,0.18217149085157963,0.19575156953979367
moving,moving_frame_000066,66,0,4,0.11565664272730485,0.11677394919641616,0.12440498380834106
moving,moving_frame_000077,77,3,4,0.2795261875655759,0.27934369445765195,0.2842449358298281
moving,moving_frame_000078,78,3,4,0.04471253415952793,0.04469247977008302,0.04911993577984968
moving,moving_frame_000079,79,3,4,0.04471253426983809,0.04469248011049497,0.04911993350166278
moving,moving_frame_000080,80,3,4,0.10620232755821404,0.10616857922601433,0.11711606170668766
moving,moving_frame_000081,81,3,4,0.12621188957227614,0.12609263652962896,0.12728284014158425
moving,moving_frame_000083,83,3,4,0.17791891191640638,0.17771531156998444,0.18352870371623078
moving,moving_frame_000088,88,4,4,0.12255727518067655,0.12291009596386426,0.13407707920367498
moving,moving_frame_000091,91,4,4,0.3057409903214009,0.3049287785773558,0.3502049360609123
moving,moving_frame_000092,92,4,4,0.05848727738814818,0.05877273921267048,0.0648575368795222
moving,moving_frame_000093,93,7,4,0.4447728290893907,0.4635310782146129,0.506849714257809
moving,moving_frame_000093,93,4,4,0.2836952409787807,0.3013678551501742,0.4682189614823757
moving,moving_frame_000094,94,4,4,0.2592271198480768,0.2409639595233229,0.4767023420623124
moving,moving_frame_000094,94,7,4,0.34200697960098264,0.35929505975021814,0.47513155571522503
moving,moving_frame_000095,95,4,4,0.2592271109171493,0.24096393286667678,0.4767023037490887
moving,moving_frame_000095,95,7,4,0.34200699542032925,0.35929502563721366,0.47513164653821305
moving,moving_frame_000096,96,6,4,0.39756001337520747,0.3565002271140201,0.562028245760402
moving,moving_frame_000096,96,7,4,0.41161078702180176,0.3857854015258997,0.5893286931654513
moving,moving_frame_000096,96,4,4,0.3179776328542416,0.3122450821461946,0.44435791720788814
moving,moving_frame_000098,98,6,4,0.2219712855232297,0.22741573784241845,0.342761854569966
moving,moving_frame_000098,98,7,4,0.30276927515813656,0.3250319757412845,0.4987959444189884
moving,moving_frame_000099,99,6,4,0.2235492211830697,0.236098653539077,0.2921014781511105
moving,moving_frame_000099,99,7,4,0.3149229777949809,0.27939094355884175,0.46132821520888184
moving,moving_frame_000100,100,6,4,0.22354923502820562,0.23609864960306373,0.2921015162313874
moving,moving_frame_000100,100,7,4,0.3149229723396614,0.27939091862991017,0.4613281857935221
moving,moving_frame_000101,101,6,4,0.4201381054733174,0.44569554277858436,0.6394633269240938
moving,moving_frame_000101,101,7,4,0.2870813281330397,0.3317668149904652,0.36393432269994613
