image_name,corner_idx,u,v,area_px2
static_cam_edge_1.png,0,363.0,585.0,622.5
static_cam_edge_1.png,1,358.0,570.0,622.5
static_cam_edge_1.png,2,395.0,562.0,622.5
static_cam_edge_1.png,3,401.0,578.0,622.5
static_cam_edge_3.png,0,690.0,531.0,735.0
static_cam_edge_3.png,1,707.0,514.0,735.0
static_cam_edge_3.png,2,741.0,523.0,735.0
static_cam_edge_3.png,3,725.0,540.0,735.0
