variant,AP01_STATUS,AP02_STATUS,AP03_STATUS,PAIRWISE_STATUS,SECONDARY_STATUS
moving_blur_k00_baseline,OK_FULL,OK_FULL,OK_FULL,OK,OK
moving_blur_k09_mild,OK_FULL,OK_FULL,OK_FULL,OK,OK
moving_blur_k21_strong,PARTIAL_3_OF_4,FAILED_NO_PAIR,PARTIAL_2_OF_4,OK,OK
moving_blur_k41_extreme,PARTIAL_2_OF_4,FAILED_NO_PAIR,FAILED_NO_PAIR,OK,OK
