marker_id,frame_i,frame_j,frame_gap,metric_translation_m,colmap_translation_raw,scale_ratio,area_i_px,area_j_px,center_i_norm,center_j_norm,dist_i_m,dist_j_m,pair_quality
5,80,85,5,0.32874238150299256,0.44546381404905844,0.7379777461941915,2047.5,1908.0,0.13135769920697285,0.22115831978693276,2.0225122281644112,1.8127922450779956,1976.5196685082594
5,80,86,6,0.5079131913888862,0.6438352736599758,0.7888868662034924,2047.5,2193.5,0.13135769920697285,0.16811170358218858,2.0225122281644112,1.719902348584346,2119.243084216627
5,81,85,4,0.29786367368556715,0.4290631745920595,0.6942186869538899,1765.5,1908.0,0.1938196845107781,0.22115831978693276,2.0243838450490896,1.8127922450779956,1835.3675381241765
5,81,86,5,0.4716669837087006,0.6274331532937397,0.7517406136935268,1765.5,2193.5,0.1938196845107781,0.16811170358218858,2.0243838450490896,1.719902348584346,1967.8984348791987
5,82,85,3,0.3296056851577375,0.4125315340388263,0.7989830060523712,1568.0,1908.0,0.25303059244321857,0.22115831978693276,2.036320186823372,1.8127922450779956,1729.665863685816
5,82,86,4,0.5089981419454692,0.610901023842575,0.8331924846743005,1568.0,2193.5,0.25303059244321857,0.16811170358218858,2.036320186823372,1.719902348584346,1854.5640997280198
5,83,86,3,0.46355246013946155,0.5942150518389522,0.7801089163003841,1488.0,2193.5,0.3091641313705598,0.16811170358218858,1.9907267429829218,1.719902348584346,1806.6344400569806
6,73,77,4,0.17994748795579688,0.25199277670891745,0.7140978019527054,2004.0,1922.0,0.2547440277195006,0.5054290748495421,1.9230409094933727,1.7791812503929683,1962.5717821267074
6,73,78,5,0.190119002032267,0.268242188523643,0.7087587641550643,2004.0,1992.0,0.2547440277195006,0.5600519594907037,1.9230409094933727,1.7646807549318064,1997.99099097068
6,73,79,6,0.21690842327087656,0.2846924543056784,0.7619043637804985,2004.0,2118.0,0.2547440277195006,0.6152477276028533,1.9230409094933727,1.7516718039862225,2060.211639613756
6,73,80,7,0.2325221366992342,0.30152322191593944,0.771158304895197,2004.0,2304.5,0.2547440277195006,0.6713104254475272,1.9230409094933727,1.7374691915895244,2149.0039553244196
6,73,81,8,0.23897118107831072,0.31792833040377033,0.7516511056904438,2004.0,2558.0,0.2547440277195006,0.7302025106793142,1.9230409094933727,1.7220449761043009,2264.118371463824
