canonical_camera,physical_camera,source_topic,frame_index,timestamp_ns,width,height,marker_count,marker_ids,marker_total_area_px2,sharpness,candidate_preview
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,34,1783681580902692950,1280,720,3,15 16 19,14323.5,141.49808810627775,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0034_t1783681580902692950.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,35,1783681580969651414,1280,720,3,15 16 19,14359.0,141.39000867686326,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0035_t1783681580969651414.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,36,1783681581037330018,1280,720,3,15 16 19,14350.5,140.90869466103322,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0036_t1783681581037330018.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,37,1783681581105133756,1280,720,3,15 16 19,14359.0,140.7522927473551,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0037_t1783681581105133756.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,38,1783681581181718331,1280,720,3,15 16 19,14323.5,141.42270182185703,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0038_t1783681581181718331.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,39,1783681581249745364,1280,720,3,15 16 19,14382.5,141.78161236979167,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0039_t1783681581249745364.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,40,1783681581317470498,1280,720,3,15 16 19,14347.0,141.60439234059658,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0040_t1783681581317470498.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,41,1783681581384001464,1280,720,3,15 16 19,14359.0,141.33600255322864,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0041_t1783681581384001464.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,42,1783681581450785722,1280,720,3,15 16 19,14347.0,141.7788192744314,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0042_t1783681581450785722.jpg
cam_edge_0,center_left,/edge_5/camera/color/image_raw/compressed,43,1783681581518073073,1280,720,3,15 16 19,14347.0,141.34122719333678,/home/maxim/camera-rig-calibration/data_local/real_vehicle_2026_07_10/datasets/real_05x_4k_3hz_v1/preview/static_candidates/cam_edge_0/frame_0043_t1783681581518073073.jpg
