REAL VEHICLE — SECONDARY AP02 MARKER MAP
========================================================================================================================

Reference marker: 3
Coordinate frame: marker_3_reference_frame
Ground truth used: false
This is an internally estimated metric marker map. No simulation marker positions are used or compared.

Observed marker IDs:  [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Optimized marker IDs: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Observed but missing from optimized map: []

  Marker         x [m]         y [m]         z [m]        rvec x        rvec y        rvec z
------------------------------------------------------------------------------------------------------------------------
       0      0.344399     -0.143046     -0.292563     -1.214434      0.054108     -0.038876
       2      1.053490     -0.287201      2.413510      0.079515      0.031784     -0.054538
       3      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
       4      1.182262     -0.184764      3.716755     -1.262024      0.055371     -0.039509
       5     -0.061221     -0.302159      3.110974      0.118696      3.097290      0.447975
       6      1.868046      1.079667      1.542801      0.182717     -1.565538     -0.235042
       7      0.099272      1.396264     -1.588241      0.072963      2.976197      0.972347
       8      1.994453      1.558150     -0.056625      0.116245     -1.955062     -0.217691
       9      1.884497      1.638617     -1.875777      0.071072     -1.501710     -0.398117
      10      1.929609      1.914472     -1.045332      0.151904     -1.519400     -0.235025
      12      0.646258      1.829821     -2.702451     -1.291169      0.060801     -0.074212
      15     -0.675155      1.325227      0.734033      0.264781      1.581067      0.190255
      16     -0.729281      0.279037      0.501111      0.284034      1.581034      0.192053
      17      1.946726      2.404878     -2.458728      0.177816     -1.569839     -0.284578
      18      1.875826      0.617475      3.082967      0.196939     -1.574592     -0.280453
      19     -0.236368      1.042761      1.749518      0.289266      1.531169      0.192355
      20      1.512559      0.500964      0.087236      0.146502     -0.256108     -0.185189
