frame,segment,x,y,z,roll,pitch,yaw,image,set_pose_ok
43,3,-1.482608695652174,0.0,2.2,0.0,0.7086956521739131,-3.7,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0043.png,True
44,3,-1.4739130434782608,0.0,2.2,0.0,0.7130434782608696,-3.8,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0044.png,True
45,3,-1.4652173913043478,0.0,2.2,0.0,0.717391304347826,-3.9,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0045.png,True
46,3,-1.4565217391304348,0.0,2.2,0.0,0.7217391304347825,-4.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0046.png,True
47,3,-1.4478260869565218,0.0,2.2,0.0,0.7260869565217392,-4.1,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0047.png,True
48,3,-1.4391304347826086,0.0,2.2,0.0,0.7304347826086957,-4.2,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0048.png,True
49,3,-1.4304347826086956,0.0,2.2,0.0,0.7347826086956522,-4.3,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0049.png,True
50,3,-1.4217391304347826,0.0,2.2,0.0,0.7391304347826086,-4.4,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0050.png,True
51,3,-1.4130434782608696,0.0,2.2,0.0,0.7434782608695653,-4.5,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0051.png,True
52,3,-1.4043478260869566,0.0,2.2,0.0,0.7478260869565218,-4.6,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0052.png,True
53,3,-1.3956521739130434,0.0,2.2,0.0,0.7521739130434782,-4.7,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0053.png,True
54,3,-1.3869565217391304,0.0,2.2,0.0,0.7565217391304347,-4.8,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0054.png,True
55,3,-1.3782608695652174,0.0,2.2,0.0,0.7608695652173914,-4.9,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0055.png,True
56,3,-1.3695652173913044,0.0,2.2,0.0,0.7652173913043478,-5.0,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0056.png,True
57,3,-1.3608695652173912,0.0,2.2,0.0,0.7695652173913043,-5.1,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0057.png,True
58,3,-1.3521739130434782,0.0,2.2,0.0,0.7739130434782608,-5.199999999999999,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0058.png,True
59,3,-1.3434782608695652,0.0,2.2,0.0,0.7782608695652175,-5.3,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0059.png,True
60,3,-1.3347826086956522,0.0,2.2,0.0,0.782608695652174,-5.4,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0060.png,True
61,3,-1.3260869565217392,0.0,2.2,0.0,0.7869565217391304,-5.5,results/bus_real_data/ablation/world/route/route1/raw_images/moving/frame_0061.png,True
