station,station_folder,role,camera,status,detected_ids,used_ids,num_used_markers,reprojection_rmse_px
F1,F1_front_mid_far_seat_leaned_ids_30_35,front,front_static_camera,pose_valid,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 33, 34, 37, 38]","[30, 33, 34]",3,0.694271
F1,F1_front_mid_far_seat_leaned_ids_30_35,front,rear_static_camera,failed_not_enough_markers,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42, 43, 45]",[],0,
F1,F1_front_mid_far_seat_leaned_ids_30_35,front,moving_calib_camera,failed_not_enough_markers,[],[],0,
F2,F2_front_mid_high_left_seat_ids_36_41,front,front_static_camera,pose_valid,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 33, 34, 37, 38]","[37, 38]",2,0.495746
F2,F2_front_mid_high_left_seat_ids_36_41,front,rear_static_camera,failed_not_enough_markers,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42, 43, 45]",[],0,
F2,F2_front_mid_high_left_seat_ids_36_41,front,moving_calib_camera,failed_not_enough_markers,[],[],0,
F3,F3_front_near_left_seat_ids_00_05,front,front_static_camera,pose_valid,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 33, 34, 37, 38]","[0, 2, 3, 4, 5]",5,0.500952
F3,F3_front_near_left_seat_ids_00_05,front,rear_static_camera,failed_not_enough_markers,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42, 43, 45]",[],0,
F3,F3_front_near_left_seat_ids_00_05,front,moving_calib_camera,pose_valid,"[0, 1, 2, 3, 4, 5, 30, 33, 37, 38, 41]","[0, 1, 2, 3, 4, 5]",6,0.479412
F4,F4_front_right_table_or_box_ids_06_11,front,front_static_camera,pose_valid,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 33, 34, 37, 38]","[6, 7, 8, 9, 10, 11]",6,0.508998
F4,F4_front_right_table_or_box_ids_06_11,front,rear_static_camera,failed_not_enough_markers,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42, 43, 45]",[],0,
F4,F4_front_right_table_or_box_ids_06_11,front,moving_calib_camera,pose_valid,"[6, 7, 8, 9, 10, 11]","[6, 7, 8, 9, 10, 11]",6,0.657081
G,G_floor_mid_ids_42_47,floor/general,front_static_camera,failed_not_enough_markers,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 33, 34, 37, 38]",[],0,
G,G_floor_mid_ids_42_47,floor/general,rear_static_camera,pose_valid,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42, 43, 45]","[42, 43, 45]",3,0.321892
G,G_floor_mid_ids_42_47,floor/general,moving_calib_camera,pose_valid,"[42, 45]","[42, 45]",2,0.519706
R1,R1_rear_left_seat_leaned_occluded_ids_24_29,rear,front_static_camera,failed_not_enough_markers,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 33, 34, 37, 38]",[],0,
R1,R1_rear_left_seat_leaned_occluded_ids_24_29,rear,rear_static_camera,pose_valid,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42, 43, 45]","[24, 25, 26, 27, 28, 29]",6,0.634426
R1,R1_rear_left_seat_leaned_occluded_ids_24_29,rear,moving_calib_camera,pose_valid,"[24, 25, 26, 27, 28, 29]","[24, 25, 26, 27, 28, 29]",6,0.548092
R2,R2_rear_table_flat_ids_18_23,rear,front_static_camera,failed_not_enough_markers,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 33, 34, 37, 38]",[],0,
R2,R2_rear_table_flat_ids_18_23,rear,rear_static_camera,pose_valid,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42, 43, 45]","[18, 19, 20, 21, 22, 23]",6,0.642376
R2,R2_rear_table_flat_ids_18_23,rear,moving_calib_camera,failed_not_enough_markers,"[23, 24, 25, 26]",[23],1,
R3,R3_rear_right_seat_angled_ids_12_17,rear,front_static_camera,failed_not_enough_markers,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 33, 34, 37, 38]",[],0,
R3,R3_rear_right_seat_angled_ids_12_17,rear,rear_static_camera,pose_valid,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42, 43, 45]","[12, 13, 14, 15, 16, 17]",6,0.610079
R3,R3_rear_right_seat_angled_ids_12_17,rear,moving_calib_camera,pose_valid,"[12, 13, 14, 15, 16, 17]","[12, 13, 14, 15, 16, 17]",6,0.669522
