camera_id,status,legacy_role,wizard_role,frame_from_equal,frame_to_equal,selected_candidate_identity_equal,inversion_history_equal,composition_history_equal,rotation_max_abs_delta,relative_rotation_angle_deg,translation_x_abs_delta_m,translation_y_abs_delta_m,translation_z_abs_delta_m,translation_norm_delta_m,homogeneous_max_abs_delta,legacy_rotation_determinant,wizard_rotation_determinant,legacy_so3_valid,wizard_so3_valid,quaternion_export_applicable,quaternion_raw_max_abs_delta,quaternion_sign_equivalent
cam_edge_3,EXACT,anchor,anchor,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True,False,0.0,True
cam_edge_0,EXACT,target,target,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,True,True,False,0.0,True
cam_edge_1,EXACT,target,target,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True,False,0.0,True
cam_edge_5,EXACT,target,target,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,True,True,False,0.0,True
