scenario,group,method,detection_success,pose_class,camera_1_status,camera_2_status,camera_1_points,camera_2_points,estimated_baseline_m,baseline_error_cm,rotation_error_deg,failure_reason,camera_1_image,camera_2_image
yaw_0deg,yaw,charuco,true,valid,charuco/gray,charuco/gray,24,24,0.771684,7.168,6.634,,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_0deg_camera_1_charuco_gray.png,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_0deg_camera_2_charuco_gray.png
yaw_10deg,yaw,charuco,true,pose_outlier,charuco/gray,charuco/gray,24,22,0.938040,23.804,14.046,,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_10deg_camera_1_charuco_gray.png,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_10deg_camera_2_charuco_gray.png
yaw_20deg,yaw,charuco,true,pose_outlier,charuco/gray,charuco/gray,24,20,0.559829,14.017,3.959,,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_20deg_camera_1_charuco_gray.png,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_20deg_camera_2_charuco_gray.png
yaw_30deg,yaw,charuco,true,valid,charuco/gray,charuco/gray,22,15,0.694183,0.582,1.092,,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_30deg_camera_1_charuco_gray.png,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_30deg_camera_2_charuco_gray.png
yaw_35deg,yaw,charuco,false,failure,charuco/gray,not_enough_charuco_corners/gray,16,11,,,,camera_1:charuco/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_35deg_camera_1_charuco_gray.png,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_35deg_camera_2_not_enough_charuco_corners_gray.png
yaw_40deg,yaw,charuco,false,failure,charuco/gray,not_enough_charuco_corners/gray,24,9,,,,camera_1:charuco/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_40deg_camera_1_charuco_gray.png,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_40deg_camera_2_not_enough_charuco_corners_gray.png
yaw_45deg,yaw,charuco,false,failure,charuco/gray,not_enough_charuco_corners/gray,22,13,,,,camera_1:charuco/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_45deg_camera_1_charuco_gray.png,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_45deg_camera_2_not_enough_charuco_corners_gray.png
yaw_50deg,yaw,charuco,false,failure,charuco/gray,not_enough_charuco_corners/gray,24,4,,,,camera_1:charuco/gray;camera_2:not_enough_charuco_corners/gray,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_50deg_camera_1_charuco_gray.png,results/charuco/target_charuco_current/res640x480/yaw/debug_images/yaw_50deg_camera_2_not_enough_charuco_corners_gray.png
