marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
14,side_01,0,1,0.24862392768699992,0.17,0.6837636328150124,yes,0.0020702897120364883
14,side_12,1,2,0.24711828766533575,0.17,0.6879296615644467,yes,0.0020957390373977924
14,side_23,2,3,0.24944212489279996,0.17,0.6815208139886519,yes,0.004313108538396948
14,side_30,3,0,0.24630175832673973,0.17,0.6902102573481464,yes,0.0043763348210975606
14,diag_02,0,2,0.3502662143340781,0.2404163056034262,0.6863816599054601,yes,0.0005477373784111839
14,diag_13,1,3,0.35082613777086463,0.2404163056034262,0.6852861851486376,yes,0.0005477373784112949
