method,status,alignment,source_file,camera_count,available_cameras,missing_cameras,failure_reason,mean_translation_error_cm,median_translation_error_cm,max_translation_error_cm,mean_rotation_error_deg,median_rotation_error_deg,max_rotation_error_deg
AP01,PARTIAL_2_OF_4_NO_SE3_ALIGNMENT,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,2,cam_edge_1;cam_edge_3,cam_edge_0;cam_edge_5,cam_edge_0: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv; cam_edge_5: RuntimeError: Missing CSV: results/bus_real_data/01_marker_direct_relay_multimarker_multichain/06_moving_relay_chain_eval/relay_chain_multichain_aggregate.csv,,,,,,
AP02,PARTIAL_3_OF_4,SE3_available_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,3,cam_edge_0;cam_edge_1;cam_edge_3,cam_edge_5,,5.977712029819121,6.223069604311101,8.022317005204881,0.5295419062689533,0.5878877683265512,0.7573451442174484
AP03,FAILED_NO_STATIC_CAMERAS,NOT_RUN_INSUFFICIENT_CAMERAS,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,0,,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,RuntimeError: Too few marker-size scale observations: 0,,,,,,
