variant,AP01_STATUS,AP02_STATUS,AP03_STATUS,PAIRWISE_STATUS,SECONDARY_STATUS
ceiling_bright,OK_FULL,OK_FULL,OK_FULL,OK,OK
ceiling_dark_extreme,OK_FULL,OK_FULL,OK_FULL,OK,OK
ceiling_low,OK_FULL,OK_FULL,OK_FULL,OK,OK
ceiling_normal,OK_FULL,OK_FULL,OK_FULL,OK,OK
