pair,method,root_cam,target_cam,root_marker,target_marker,root_frame,target_frame,translation_error_m,rotation_error_deg,est_x,est_y,est_z,gt_x,gt_y,gt_z,root_static_dist_m,target_static_dist_m,root_moving_dist_m,target_moving_dist_m,root_moving_score,target_moving_score
cam3_to_cam0,COLMAP_motion,cam_edge_3,cam_edge_0,7,4,80,71,0.1436549353635905,2.394412226448957,1.9341283138018763,-1.124405107187682,3.0554933931733785,2.059231906455514,-1.1652968333631528,2.9979286618714744,5.713580653871969,2.5437140555813604,1.9046833363634648,1.3094234602942378,2823.17067937,8734.75206768
cam3_to_cam0,COLMAP_motion,cam_edge_3,cam_edge_0,8,4,91,71,0.2330171119196308,2.769965139700089,1.9694652265254087,-1.1465571579192269,3.2121429055294257,2.059231906455514,-1.1652968333631528,2.9979286618714744,6.0565977063003755,2.5437140555813604,1.2847717798575204,1.3094234602942378,8432.55774966,8734.75206768
cam3_to_cam0,COLMAP_motion,cam_edge_3,cam_edge_0,5,4,86,71,0.2577464682402223,3.193427044443687,2.001573408420774,-1.0449678956677704,3.218450058220642,2.059231906455514,-1.1652968333631528,2.9979286618714744,5.376474499708661,2.5437140555813604,1.710035453691913,1.3094234602942378,3090.73014588,8734.75206768
cam3_to_cam0,COLMAP_motion,cam_edge_3,cam_edge_0,2,4,17,71,0.2641416874535285,6.7247165668894375,2.183209534608183,-1.0858212009869315,3.2172093099616235,2.059231906455514,-1.1652968333631528,2.9979286618714744,2.602331886680298,2.5437140555813604,2.1430728361484084,1.3094234602942378,2141.61965946,8734.75206768
cam3_to_cam0,COLMAP_motion,cam_edge_3,cam_edge_0,1,4,23,71,0.4682771502204342,7.547862861524884,2.3193047800355866,-0.8559649776209513,3.2344860394132886,2.059231906455514,-1.1652968333631528,2.9979286618714744,1.394257733802751,2.5437140555813604,0.8261128311247983,1.3094234602942378,25669.8404434,8734.75206768
cam3_to_cam0,COLMAP_motion,cam_edge_3,cam_edge_0,6,4,82,71,1.6150877840135602,44.09841049481572,3.1352074985408773,-0.43959485056252084,3.9592515563588653,2.059231906455514,-1.1652968333631528,2.9979286618714744,5.616000810218128,2.5437140555813604,1.7116665880282342,1.3094234602942378,4136.08268979,8734.75206768
cam3_to_cam0,GT_motion,cam_edge_3,cam_edge_0,7,4,80,71,0.19154083857977566,3.7880040551146235,1.9696433898357708,-1.1813394593282007,3.1664647846637806,2.059231906455514,-1.1652968333631528,2.9979286618714744,5.713580653871969,2.5437140555813604,1.9046833363634648,1.3094234602942378,2823.17067937,8734.75206768
cam3_to_cam0,GT_motion,cam_edge_3,cam_edge_0,8,4,91,71,0.3594068953934999,8.342877779545468,1.7301519278171544,-1.0515152523432736,2.9088588244606663,2.059231906455514,-1.1652968333631528,2.9979286618714744,6.0565977063003755,2.5437140555813604,1.2847717798575204,1.3094234602942378,8432.55774966,8734.75206768
cam3_to_cam0,GT_motion,cam_edge_3,cam_edge_0,5,4,86,71,0.3964842677905925,9.463322884391472,1.7557361139219398,-0.9220784978299794,2.9208902313297456,2.059231906455514,-1.1652968333631528,2.9979286618714744,5.376474499708661,2.5437140555813604,1.710035453691913,1.3094234602942378,3090.73014588,8734.75206768
cam3_to_cam0,GT_motion,cam_edge_3,cam_edge_0,1,4,23,71,0.6270835605226782,8.627153360091677,1.6042657015452069,-1.1579507726923224,3.4294209325553564,2.059231906455514,-1.1652968333631528,2.9979286618714744,1.394257733802751,2.5437140555813604,0.8261128311247983,1.3094234602942378,25669.8404434,8734.75206768
