approach,evaluation,entity_type,entity_id,marker_id,used_for_alignment,alignment_frame,translation_error_cm,rotation_error_deg,delta_x_cm,delta_y_cm,delta_z_cm,est_local_x_m,est_local_y_m,est_local_z_m,est_local_roll_deg,est_local_pitch_deg,est_local_yaw_deg,est_local_rvec_x,est_local_rvec_y,est_local_rvec_z,est_gt_aligned_x_m,est_gt_aligned_y_m,est_gt_aligned_z_m,est_gt_aligned_roll_deg,est_gt_aligned_pitch_deg,est_gt_aligned_yaw_deg,est_gt_aligned_rvec_x,est_gt_aligned_rvec_y,est_gt_aligned_rvec_z,gt_world_x_m,gt_world_y_m,gt_world_z_m,gt_world_roll_deg,gt_world_pitch_deg,gt_world_yaw_deg,gt_world_rvec_x,gt_world_rvec_y,gt_world_rvec_z
AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_0,,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,2.854829196063796,0.4907077156591132,-1.2353686691460863,-0.3254893323086705,2.553031665401706,0.5863841857360648,-1.7484626430966053,2.1208627469518633,-113.13328155137397,-1.4803079126029082,-1.098025288104835,-1.974599891266817,0.002079416483775523,-0.03799858250078231,0.5754542433085391,-1.2378101533230867,2.512858616654017,-113.2106655194086,-1.4710394710376151,-1.0193343778925563,-1.97594233792987,0.0008540437782650994,-0.036951942371948175,0.58780793,-1.23455526,2.4873283,-112.76486179960601,-1.4967437177574447,-0.8270999103481541,-1.9681387137868624,-0.0028859165404719407,-0.03515086081927826
AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_1,,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,6.032375791307685,0.1479093228088965,-5.776445647457384,0.9031427726075125,1.4854516154394037,-4.018029850169013,0.47958443955175456,2.1565384028681436,-106.51652851175625,0.9096818809019052,-114.6608369130433,-1.1218217510674937,1.772488704658542,-1.3091838336914328,-4.031931776474574,0.9841179277260751,2.546397196154394,-106.49409619294616,0.8350687525896263,-114.58379729774995,-1.1237179512517497,1.7709504544866217,-1.3097081275851983,-3.97416732,0.9750865,2.53154268,-106.36411375666104,0.7680855225263834,-114.55965647612422,-1.1237817096415734,1.7685660170005004,-1.312074204858069
AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_3,,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,4.30109703153804,0.12798716050443432,-4.2987833013907295,-0.11497582958210906,0.08172123959560018,-3.2591672008293937,-1.5697903385916983,2.0625514603930433,-109.33989884607114,2.0301013956337064,-60.10284129609677,-1.6894443672764767,1.0059504922869535,-0.6677430350666372,-3.2703436630139073,-1.0643640182958212,2.455028112395956,-109.38770788535858,1.9685604403564159,-60.02781117195502,-1.6912424774049055,1.0046258143387836,-0.6675378220298571,-3.22735583,-1.06321426,2.4542109,-109.39044886225861,1.9674295291124646,-59.89995245682555,-1.692187338487859,1.002617043578016,-0.6660823965823887
AP02_ref_marker_graph_ba,gt_aligned_full_map,static_camera,cam_edge_5,,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,3.8888872710871643,0.0875898564037863,3.845709352188731,0.25735922267530187,0.5174263389278622,5.911031093710308,0.3331703323197735,2.155742386506877,-109.34928914383414,3.9598996261490056,113.73091724569461,-1.232260015569288,-1.7904032469439688,1.3305468737494248,5.897315963521887,0.850993132226753,2.5439358333892788,-109.30829384410094,4.026215131199975,113.81047005638578,-1.2318213202929658,-1.7907816389370954,1.3327777407380847,5.85885887,0.84841954,2.53876157,-109.27065188151681,4.073179111337627,113.87681919175743,-1.2313021612026054,-1.7910646821584102,1.3345656694891888
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_000,0,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,5.4855158670962725,4.852803645542978,-5.4010461393732,0.5492145409989879,-0.7860968874649155,-2.590519463828593,-0.019101218211186613,0.7818751100457555,62.47551969940425,0.6491111288719464,91.28065671087835,0.8325390313921717,0.867418686209518,1.4124456251125992,-2.604010461393732,0.48549214540998986,1.1721390311253508,62.48799048519467,0.7260183004808386,91.35750443802269,0.8312219239278663,0.8691283414578256,1.412830602341387,-2.55,0.48,1.18,67.08168819476708,-0.0,90.0000001836389,0.9097065061172429,0.9097065090329464,1.3722901284472226
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_001,1,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,4.228763400047676,0.39340957296659573,-4.183663899560575,-0.183503116168926,0.5879820366752497,-2.2797879244838533,-1.032469066604311,1.244309799187931,0.401093475458754,0.08953687091653668,-90.0295588957799,0.00672482323631399,-0.004272791925976181,-1.5713103522671745,-2.2918366389956057,-0.5268350311616893,1.6358798203667524,0.39038547803226625,0.012364660736989727,-89.95287034003078,0.005522320100905912,-0.005178974084908259,-1.569967867041815,-2.25,-0.525,1.63,-1.8363890085664206e-07,-0.0,-90.0000001836389,-2.5172823638819805e-09,2.517282371950131e-09,-1.57079633
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_002,2,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,3.593842058751283,0.8403207376990606,-3.575043719583193,-0.2581070582397649,-0.261043852265086,-1.1236027647194258,-1.0340375799247274,0.7060338127349851,67.71008682126715,-0.09699414949569123,-90.61918632289424,0.9129704374648464,-0.9252225117305074,-1.376719637739728,-1.135750437195832,-0.5275810705823977,1.0973895614773492,67.70017350555628,-0.1742724638025011,-90.54246477770714,0.9122797995506107,-0.9251444984465699,-1.3748725743231291,-1.1,-0.525,1.1,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_003,3,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,1.7913804182028223,0.40580534690918196,-1.2378833244400214,0.9087581732483141,-0.9224138227217904,0.10216316648143563,0.7114030746641182,0.40200054745559016,90.13694168875904,-0.3270863460418589,0.1700424938625646,1.5731889633394376,-0.002145283837720973,0.006819326802375764,0.08762116675559979,1.219087581732483,0.7907758617727821,90.05980607789405,-0.3161092731209646,0.24717352719095464,1.5718450354359752,-0.0009410636575111368,0.007722947078335355,0.1,1.21,0.8,90.0,-0.0,0.0,1.5707963267948966,0.0,0.0
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_004,4,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,0.8094762404118026,0.12497360124267956,-0.41075011887534707,0.6370391504783468,0.2841078041746492,0.7102029411351507,0.706239136666396,1.6141739885093165,90.18778835218293,-0.02746173901049371,-0.13243400470928277,1.5740725007822534,-0.0021951548024015653,-0.0014359868846975992,0.6958924988112465,1.2163703915047834,2.0028410780417465,90.11059703829197,-0.016892297481122164,-0.05570604895302397,1.572726318425187,-0.0009959382176931433,-0.0005312299638142328,0.7,1.21,2.0,90.0,-0.0,0.0,1.5707963267948966,0.0,0.0
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_005,5,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,1.7480504604087288,0.707929465943308,0.9520025876013749,-1.0221985684747081,-1.0509431820720394,1.9210471503296689,-1.5007439046993882,0.6980773759349397,66.52400242015126,0.04917666673856325,-90.49848571879625,0.8999899067976357,-0.9066670685261604,-1.3835486644930968,1.9095200258760137,-0.9902219856847471,1.0894905681792797,66.51392637497734,-0.02808059478002963,-90.42178949584695,0.8992861581417456,-0.9066081446098331,-1.3817077489565381,1.9,-0.98,1.1,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_006,6,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,1.2176687718828243,1.4318100691431908,0.911235330840765,0.6775624871969588,-0.43963221650558104,1.9925913617641577,-0.004214033183313428,0.9762197079234276,66.2083366065748,0.5283263050401787,-89.04930057014037,0.9106600607362817,-0.8830919689594514,-1.3684232484970602,1.9791123533084076,0.5067756248719696,1.3656036778349443,66.19630954924651,0.4513485705262626,-88.97270531361599,0.9099318227231231,-0.8830224624571247,-1.3665971055336212,1.97,0.5,1.37,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_007,7,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,1.3268173292413183,0.8407023314131503,0.7276172359343303,1.0672201175635831,-0.3034116079090099,1.991342393210874,0.43468237531763987,0.9781727925338735,66.63513619817464,0.3250353836087032,-89.41774619487897,0.91152912146192,-0.894558022415652,-1.369458095963392,1.9772761723593433,0.9456722011756359,1.36696588392091,66.623604663243,0.2479819075540257,-89.34110578038468,0.9108108636422781,-0.8944852997129931,-1.3676264013340518,1.97,0.935,1.37,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
AP02_ref_marker_graph_ba,gt_aligned_full_map,aruco_marker,marker_008,8,yes,GT_world_best_fit_SE3_using_static_cameras_and_all_nonreference_markers,2.585290336299343,0.9794757546571181,2.4036272964284233,-0.6159591569923739,-0.7258762013898634,2.6861183964355972,-1.0431277308913733,1.0120881746951476,66.36083037984105,-0.16530219440203542,-90.68068263206445,0.8938788162507219,-0.9085620816390098,-1.3851499486354877,2.674036272964284,-0.5311595915699238,1.4027412379861013,66.35099997136932,-0.24259110326498545,-90.60394956246395,0.8931780162181471,-0.9085082033155536,-1.3833070624959374,2.65,-0.525,1.41,67.08168819476708,-0.0,-90.0000001836389,0.9097065061172429,-0.9097065090329464,-1.3722901284472226
