camera,status,intrinsics_source,detected_ids,used_ids,num_detected,num_used_markers,num_points,reprojection_rmse_px,tvec_x_m,tvec_y_m,tvec_z_m,rvec_x,rvec_y,rvec_z,debug_image
front_static_camera,failed_not_enough_markers,manual_hfov_fallback,[],[],0,0,0,,,,,,,,results/beintelli_bus_model/station_anchor_search/orbit_results/R3_rear_right_seat_angled/R3_rear_right_seat_angled_orbit_047/debug_images/front_static_camera_aruco_board_pose.png
rear_static_camera,pose_valid,manual_hfov_fallback,"[1, 2, 4, 5]","[1, 2, 4, 5]",4,4,16,0.982828,0.93325034,0.07503833,1.96105302,-0.18744172,2.59432144,-1.20339893,results/beintelli_bus_model/station_anchor_search/orbit_results/R3_rear_right_seat_angled/R3_rear_right_seat_angled_orbit_047/debug_images/rear_static_camera_aruco_board_pose.png
moving_calib_camera,failed_not_enough_markers,manual_hfov_fallback,[],[],0,0,0,,,,,,,,results/beintelli_bus_model/station_anchor_search/orbit_results/R3_rear_right_seat_angled/R3_rear_right_seat_angled_orbit_047/debug_images/moving_calib_camera_aruco_board_pose.png
