marker_id,frame_id,quality_rank,selection_score,selected,registered_observations_for_marker,selected_observations_for_marker,top_moving_per_marker,support_policy,tie_breaker
0,63,21,123.68971082693164,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,62,22,116.24763117800275,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,61,23,114.3824160211134,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,60,24,105.12168871582337,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,59,25,93.58621267555739,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,58,26,88.75275519966401,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,57,27,83.93021474998667,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,56,28,82.98799641744229,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,55,29,75.40833904576341,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,54,30,67.50517562536845,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,45,31,55.939638842976606,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,44,32,53.33328637950299,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,43,33,52.541504403330734,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,41,34,50.34020131075107,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,42,35,49.24042618966493,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,40,36,47.902983358590696,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,39,37,47.66897463108259,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,35,38,34.8281024739882,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
0,34,39,29.18829131147949,True,67,67,,best_quality_per_frame_marker_first_tie_registered_only_frame_ascending,"('first_observation_on_equal_quality', 'marker_id_ascending', 'moving_frame_ascending', 'first_medoid_on_equal_score', 'stable_quality_sort', 'first_preferred_aggregate_row')"
