corner_idx,x_colmap,y_colmap,z_colmap,obs_count,inlier_count,mean_reproj_px,median_reproj_px,max_reproj_px,ideal_x_ref_m,ideal_y_ref_m,ideal_z_ref_m,registered_x_ref_m,registered_y_ref_m,registered_z_ref_m,corner_fit_error_cm
0,1.2543261115910629,3.5242309638648863,-0.19332948071892664,2,2,0.19480606438361964,0.19480606438361964,0.1965487140530522,-0.085,0.085,0.0,-0.0850505095964682,0.08595106626246807,0.0012860559546863382,0.1600318147595826
1,1.1797585904601802,3.6577533101841966,-0.46086206223159054,2,2,0.8228229203310207,0.8228229203310207,0.8323226818953312,0.085,0.085,0.0,0.08479049634267755,0.08664780225144375,-0.001286055954685672,0.2100734148072296
2,0.8792870106388794,3.6653193607375716,-0.36685873959959475,2,2,0.37175721444533216,0.37175721444533216,0.38228712655995917,0.085,-0.085,0.0,0.08244064432668063,-0.08690781550523391,0.0012860559546863382,0.34415114968785354
3,0.956316474388851,3.5440832552887103,-0.10496580193332017,2,2,0.3592131014626121,0.3592131014626121,0.36896996863114284,-0.085,-0.085,0.0,-0.08218063107289042,-0.08569105300867741,-0.0012860559546861161,0.3174954381804055
