entity_type,entity_id,source,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
moving_frame,moving_frame_000037,ba_with_moving,-0.2063473310709487,10.6145915697842,3.0576522607458667,-117.45578096789366,-72.25693236707633,-166.35854169351828,0.9538722559663901,-1.6045532111846559,1.1770266040892716
moving_frame,moving_frame_000044,ba_with_moving,-0.13717817463666496,8.272850223758008,2.913902750693111,-111.72415017367601,-71.74599247671149,-174.7469079243466,0.8828165444270945,-1.6094305273726124,1.1709503467891962
moving_frame,moving_frame_000045,ba_with_moving,-0.17418133054121088,7.905162105332253,2.895612990847451,-111.33105134939028,-71.7370153587136,-175.53734815251352,0.8747595812808963,-1.6101407492158453,1.1676133333526233
moving_frame,moving_frame_000046,ba_with_moving,-0.2263814720359388,7.5622100992421775,2.8601910185518955,-110.39316847232105,-71.9350122002422,-176.7141561397473,0.868289141368016,-1.6051759274751387,1.1660488140909377
moving_frame,moving_frame_000047,ba_with_moving,-0.2808684697980453,7.310376453781946,2.8276405814549603,-108.94201757729958,-71.02139638962915,-177.9717628454138,0.8579533826145677,-1.6125937419269536,1.182518541197483
moving_frame,moving_frame_000048,ba_with_moving,-0.23348023162470047,7.127971075881335,2.770643900498588,-107.42938249621763,-71.07200051573311,-179.9576894458335,0.8441250300801565,-1.608312176762149,1.1814408422897205
moving_frame,moving_frame_000049,ba_with_moving,-0.21045322704249292,6.94970157529663,2.709832481684723,-106.37393561945785,-71.69540551773507,178.5272163194526,0.83754007837422,-1.5975954737272842,1.1727343650952233
moving_frame,moving_frame_000050,ba_with_moving,-0.2582731411412621,6.7130878992841225,2.69576157043639,-105.50422815083512,-71.45995954105007,178.395138245879,0.8432604086107264,-1.5943085718747312,1.1870899862455446
moving_frame,moving_frame_000052,ba_with_moving,-0.04776405701782112,6.230274308979482,2.7479841139431507,-105.9953222498187,-69.7381553127957,175.80314822932027,0.7823102463939263,-1.632314494319504,1.166030377818265
moving_frame,moving_frame_000054,ba_with_moving,-0.0824168142598687,5.631375652587716,2.709382295937812,-106.46335630356899,-70.5337213718846,176.5314021586115,0.7955332455889875,-1.6225467162166602,1.1591334477755797
