scenario,group,method,detection_success,pose_class,camera_1_status,camera_2_status,camera_1_points,camera_2_points,estimated_baseline_m,baseline_error_cm,rotation_error_deg,failure_reason,camera_1_image,camera_2_image
shift_left_0_6m,shift,aruco,true,valid,aruco/gray,aruco/gray,64,64,0.759982,5.998,5.847,,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_left_0_6m_camera_1_aruco_gray.png,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_left_0_6m_camera_2_aruco_gray.png
shift_left_0_4m,shift,aruco,true,valid,aruco/gray,aruco/gray,64,44,0.671820,2.818,4.547,,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_left_0_4m_camera_1_aruco_gray.png,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_left_0_4m_camera_2_aruco_gray.png
shift_left_0_2m,shift,aruco,true,pose_outlier,aruco/gray,aruco/gray,64,52,0.871821,17.182,12.377,,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_left_0_2m_camera_1_aruco_gray.png,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_left_0_2m_camera_2_aruco_gray.png
shift_right_0_2m,shift,aruco,true,pose_outlier,aruco/gray,aruco/gray,56,64,0.872409,17.241,12.410,,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_right_0_2m_camera_1_aruco_gray.png,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_right_0_2m_camera_2_aruco_gray.png
shift_right_0_4m,shift,aruco,true,valid,aruco/gray,aruco/gray,48,64,0.670509,2.949,4.536,,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_right_0_4m_camera_1_aruco_gray.png,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_right_0_4m_camera_2_aruco_gray.png
shift_right_0_6m,shift,aruco,true,valid,aruco/gray,aruco/gray,32,64,0.602033,9.797,2.050,,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_right_0_6m_camera_1_aruco_gray.png,results/aruco/target_aruco_6x4_marker0_15_sep0_06/res320x240/shift/debug_images/shift_right_0_6m_camera_2_aruco_gray.png
