camera,status,detected_ids,num_detected,debug_image
front_static_camera,detected,0 1 2 4 7,5,results/beintelli_bus_model/aruco_visibility/baseline_current/debug_images/front_static_camera_aruco_visibility.png
rear_static_camera,detected,1 9 6,3,results/beintelli_bus_model/aruco_visibility/baseline_current/debug_images/rear_static_camera_aruco_visibility.png
