residual_evaluation_index,source,solver_iteration,solver_nfev,elapsed_seconds,robust_cost,reprojection_rmse_px,mean_reprojection_error_px,maximum_reprojection_error_px,parameter_step_norm
1,initial_diagnostic,,,0.034402730998408515,65961.18338925915,18.798529299777382,10.67441089998473,179.16553791617164,
2,solver_residual_call,,,0.06981018499936908,65961.18338925915,18.798529299777382,10.67441089998473,179.16553791617164,0.0
3,solver_residual_call,,,0.10071584899924346,65961.18341807416,18.798529353693013,10.674410893254205,179.16553791617164,2.9204854978814865e-08
4,solver_residual_call,,,0.12797128599777352,65961.18360959511,18.798529335427347,10.67441092672341,179.16553791617164,3.278670705116082e-08
5,solver_residual_call,,,0.1612643019980169,65961.18360380184,18.79852932775171,10.67441092570506,179.16553791617164,2.1073424255447017e-08
6,solver_residual_call,,,0.19637406199763063,65961.18349835082,18.79852931477488,10.674410913163529,179.16553791617164,2.1073424255447017e-08
7,solver_residual_call,,,0.2245964459980314,65961.18343457908,18.798529318976847,10.674410903357217,179.16553791617164,2.9966825339628183e-08
8,solver_residual_call,,,0.2544402999992599,65961.18337571375,18.798529284101818,10.674410901222721,179.16553791617164,4.049143750091428e-08
9,solver_residual_call,,,0.28639337699860334,65961.18317456638,18.798529288543442,10.67441086847116,179.16553791617164,3.5614041621320386e-08
10,solver_residual_call,,,0.31856720699943253,65961.18174329339,18.79852918943941,10.674410654764294,179.16553791617164,3.146651514255167e-08
11,solver_residual_call,,,0.3451540610003576,65961.18296926697,18.798529265864246,10.674410830561808,179.16553791617164,3.2518456005774733e-08
12,solver_residual_call,,,0.38013053899703664,65961.18314838679,18.79852928251663,10.674410867809925,179.16553791617164,6.318621741938653e-08
13,solver_residual_call,,,0.4067163260006055,65961.1835288427,18.798529310307767,10.67441092192409,179.16553791617164,6.198761816029471e-08
14,solver_residual_call,,,0.4366657069986104,65961.18365704699,18.798529315895227,10.674410937165858,179.16553791617164,3.715239335760101e-08
15,solver_residual_call,,,0.46296993999931146,65961.18416355678,18.798529341374124,10.674410946785898,179.16553791617164,4.2704505957681035e-08
16,solver_residual_call,,,0.49112128100023256,65961.18481612051,18.798529486320522,10.674411063603069,179.16553791617164,3.00561643580429e-08
17,solver_residual_call,,,0.5166565260005882,65961.18405884676,18.798529417495047,10.674411024288414,179.16553791617164,2.1447576064114784e-08
18,solver_residual_call,,,0.5476408829999855,65961.18302532483,18.798529276648306,10.674410840127297,179.16553791617164,4.9451711033067156e-08
19,solver_residual_call,,,0.5743052629986778,65961.18383072717,18.79852935582006,10.674410960557049,179.16553791617164,5.238202272736785e-08
20,solver_residual_call,,,0.6026100249982846,65961.18315540947,18.798529280741796,10.674410891681624,179.16553791617164,4.0525770422111075e-08
21,solver_residual_call,,,0.6322365649975836,65961.18370050173,18.798529329963973,10.674410927468205,179.16553791617164,3.787471900234431e-08
22,solver_residual_call,,,0.665378335997957,65961.18257997188,18.798529225127744,10.674410737073346,179.16553791617164,3.2093608664552884e-08
23,solver_residual_call,,,0.7018323779993807,65961.18275601826,18.798529238795513,10.674410820800908,179.16553791617164,3.359854103497389e-08
24,solver_residual_call,,,0.7366987549976329,65961.1827329845,18.79852925156242,10.674410789524611,179.16553791617164,9.213425444245613e-08
25,solver_residual_call,,,0.770478259997617,65961.18352094064,18.7985293131104,10.674410918878747,179.16553791617164,9.110048159580987e-08
26,solver_residual_call,,,0.7988153400001465,65961.1834772291,18.798529300457428,10.674410929321738,179.16553791617164,3.320453220903135e-08
27,solver_residual_call,,,0.8399339409988897,65961.1835067583,18.798529389795245,10.674410925914032,179.16553791617164,3.4613815550736956e-08
28,solver_residual_call,,,0.8762891519982077,65961.1836325381,18.798529480603197,10.674410914038425,179.16553791617164,3.386006446511003e-08
29,solver_residual_call,,,0.9137923169982969,65961.1832319088,18.798529282742944,10.674410875421522,179.16553791617164,3.4289820008336234e-08
30,solver_residual_call,,,0.9453580419976788,65961.18263021634,18.79852913632178,10.674410786287904,179.16553791617164,8.562864999393709e-08
31,solver_residual_call,,,0.9761099089992058,65961.18349938672,18.79852930327214,10.674410907825589,179.16553791617164,8.48964230188861e-08
32,solver_residual_call,,,1.0077973549996386,65961.18360973544,18.798529337337236,10.674410930879844,179.16553791617164,3.093186921423241e-08
33,solver_residual_call,,,1.0510750869980257,65961.18376204342,18.798529332166286,10.674410941952967,179.16553791617164,3.279615097297972e-08
34,solver_residual_call,,,1.09131693299787,65961.18271518289,18.798529217047925,10.67441076080285,179.16553791617164,3.255009972533201e-08
35,solver_residual_call,,,1.1460825909998675,65961.1827003911,18.798529234292218,10.674410802464198,179.16553791617164,3.214264346446197e-08
36,solver_residual_call,,,1.202943600997969,65961.18277873083,18.798529230867757,10.674410797691447,179.16553791617164,8.558739145813994e-08
37,solver_residual_call,,,1.2631366459972924,65961.18361348414,18.79852932223212,10.67441093567699,179.16553791617164,8.504559985265743e-08
38,solver_residual_call,,,1.3153524989975267,65961.18331491957,18.798529292772194,10.674410896582916,179.16553791617164,2.8688811851848808e-08
39,solver_residual_call,,,1.3698579499978223,65961.18329032365,18.798529296985848,10.674410875816053,179.16553791617164,3.136482589633311e-08
40,solver_residual_call,,,1.4187695699984033,65961.18252013528,18.798529251153738,10.674410750133188,179.16553791617164,3.24447663810991e-08
41,solver_residual_call,,,1.4592599629977485,65961.18315430882,18.798529282839997,10.674410861699256,179.16553791617164,3.097572201195552e-08
42,solver_residual_call,,,1.5077023779995216,65961.18264290747,18.79852925666402,10.674410773752424,179.16553791617164,8.494619925896527e-08
43,solver_residual_call,,,1.544292938997387,65961.18352900704,18.798529308394002,10.674410922652681,179.16553791617164,8.4547737414253e-08
44,solver_residual_call,,,1.5810912429988093,65961.18352140434,18.798529305019787,10.674410921423963,179.16553791617164,2.8575280518376606e-08
