frame,num_detected,detected_ids,image,debug_image,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
0,2,11;13,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0000.png,,-4.5,0.0,2.2,0.0,0.3,0.0
1,2,11;13,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0001.png,,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
2,3,5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0002.png,,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
3,3,5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0003.png,,-4.08,0.0,2.2,0.0,0.36,-0.12
4,3,5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0004.png,,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003
5,4,2;5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0005.png,,-3.8,0.0,2.2,0.0,0.4,-0.2
6,4,2;5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0006.png,,-3.66,0.0,2.2,0.0,0.42,-0.24
7,5,1;2;5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0007.png,,-3.52,0.0,2.2,0.0,0.43999999999999995,-0.27999999999999997
8,5,1;2;5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0008.png,,-3.38,0.0,2.2,0.0,0.46,-0.32000000000000006
9,5,1;2;5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0009.png,,-3.24,0.0,2.2,0.0,0.48,-0.36000000000000004
10,5,1;2;5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0010.png,,-3.1,0.0,2.2,0.0,0.5,-0.4
11,5,1;2;5;6;7,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0011.png,,-3.0483870967741935,0.0,2.2,0.0,0.5064516129032258,-0.5
12,4,1;2;5;6,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0012.png,,-2.9967741935483874,0.0,2.2,0.0,0.5129032258064516,-0.6000000000000001
13,3,1;2;5,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0013.png,,-2.945161290322581,0.0,2.2,0.0,0.5193548387096774,-0.7
14,3,1;2;5,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0014.png,,-2.893548387096774,0.0,2.2,0.0,0.5258064516129032,-0.8
15,3,1;2;5,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0015.png,,-2.8419354838709676,0.0,2.2,0.0,0.532258064516129,-0.9
16,2,1;2,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0016.png,,-2.7903225806451615,0.0,2.2,0.0,0.5387096774193548,-1.0
17,2,1;2,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0017.png,,-2.738709677419355,0.0,2.2,0.0,0.5451612903225806,-1.1
18,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0018.png,,-2.6870967741935483,0.0,2.2,0.0,0.5516129032258065,-1.2000000000000002
19,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0019.png,,-2.635483870967742,0.0,2.2,0.0,0.5580645161290323,-1.3000000000000003
20,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0020.png,,-2.5838709677419356,0.0,2.2,0.0,0.564516129032258,-1.4
21,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0021.png,,-2.532258064516129,0.0,2.2,0.0,0.5709677419354838,-1.5
22,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0022.png,,-2.4806451612903224,0.0,2.2,0.0,0.5774193548387097,-1.6
23,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0023.png,,-2.4290322580645163,0.0,2.2,0.0,0.5838709677419355,-1.7000000000000002
24,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0024.png,,-2.3774193548387097,0.0,2.2,0.0,0.5903225806451613,-1.7999999999999998
25,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0025.png,,-2.325806451612903,0.0,2.2,0.0,0.5967741935483871,-1.9
26,0,,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0026.png,,-2.274193548387097,0.0,2.2,0.0,0.6032258064516128,-2.0
27,0,,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0027.png,,-2.2225806451612904,0.0,2.2,0.0,0.6096774193548387,-2.1
28,0,,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0028.png,,-2.170967741935484,0.0,2.2,0.0,0.6161290322580645,-2.2
29,0,,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0029.png,,-2.1193548387096772,0.0,2.2,0.0,0.6225806451612903,-2.3000000000000003
30,0,,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0030.png,,-2.067741935483871,0.0,2.2,0.0,0.6290322580645161,-2.4
31,0,,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0031.png,,-2.016129032258065,0.0,2.2,0.0,0.635483870967742,-2.5
32,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0032.png,,-1.9645161290322581,0.0,2.2,0.0,0.6419354838709677,-2.6
33,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0033.png,,-1.9129032258064516,0.0,2.2,0.0,0.6483870967741935,-2.7
34,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0034.png,,-1.8612903225806452,0.0,2.2,0.0,0.6548387096774193,-2.8
35,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0035.png,,-1.8096774193548388,0.0,2.2,0.0,0.6612903225806451,-2.9
36,1,1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0036.png,,-1.7580645161290323,0.0,2.2,0.0,0.667741935483871,-3.0
37,0,,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0037.png,,-1.706451612903226,0.0,2.2,0.0,0.6741935483870968,-3.1
38,1,0,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0038.png,,-1.6548387096774193,0.0,2.2,0.0,0.6806451612903226,-3.1999999999999997
39,1,0,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0039.png,,-1.603225806451613,0.0,2.2,0.0,0.6870967741935483,-3.3
40,1,0,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0040.png,,-1.5516129032258064,0.0,2.2,0.0,0.6935483870967741,-3.4
41,1,0,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0041.png,,-1.5,0.0,2.2,0.0,0.7,-3.5
42,1,0,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0042.png,,-1.4529411764705882,0.0,2.2,0.0,0.7,-3.6
43,1,0,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0043.png,,-1.4058823529411764,0.0,2.2,0.0,0.7,-3.7
