frame,image,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z,route_x,route_y,route_z,route_roll,route_pitch,route_yaw
0,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0000.png,13,871.0,383.25,782.0,367.0,875.0,322.0,961.0,395.0,866.0,449.0,True,0.31391624799338746,0.0287387297575137,1.2658903258847605,1.304548827185455,2.2935577960236944,-0.6671211450834861,0.26759878432010525,-4.5,0.0,2.2,0.0,0.3,0.0
0,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0000.png,11,271.25,480.25,152.0,452.0,332.0,378.0,399.0,499.0,202.0,592.0,True,-0.3288207619366332,0.10289130764427373,0.8330583473858173,0.9014964918503707,2.3023669765305823,-0.6726666727160296,0.2751402185132839,-4.5,0.0,2.2,0.0,0.3,0.0
1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0001.png,13,871.0,383.25,782.0,367.0,875.0,322.0,961.0,395.0,866.0,449.0,True,0.31391624799338746,0.0287387297575137,1.2658903258847605,1.304548827185455,2.2935577960236944,-0.6671211450834861,0.26759878432010525,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
1,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0001.png,11,271.25,480.25,152.0,452.0,332.0,378.0,399.0,499.0,202.0,592.0,True,-0.3288207619366332,0.10289130764427373,0.8330583473858173,0.9014964918503707,2.3023669765305823,-0.6726666727160296,0.2751402185132839,-4.36,0.0,2.2,0.0,0.32,-0.04000000000000001
2,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0002.png,5,781.0,238.0,769.0,226.0,793.0,226.0,793.0,250.0,769.0,250.0,True,0.9987499827584575,-0.8641666517160398,6.5837251472470015,6.7148881110924465,3.1415925634920385,-2.856221538152568e-11,1.6400168338966856e-07,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
2,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0002.png,6,567.0,197.5,555.0,186.0,579.0,186.0,579.0,209.0,555.0,209.0,True,-0.5182286193296853,-1.1538452800996468,6.598826456048172,6.718960517025075,2.9848313890489653,-0.014043649746258604,0.054692854472484696,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
2,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0002.png,7,504.25,197.5,493.0,186.0,516.0,186.0,516.0,209.0,492.0,209.0,True,-0.9783078151743427,-1.171181049310222,6.6982504383685155,6.869884290626633,3.0299436116978504,0.006399328235603899,-0.02983762072163061,-4.22,0.0,2.2,0.0,0.33999999999999997,-0.08000000000000002
3,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0003.png,5,712.5,205.75,700.0,194.0,724.0,193.0,725.0,218.0,701.0,218.0,True,0.5027416466261663,-1.0699276258257342,6.449183697035964,6.556635161870145,-2.7930729253347804,0.026912107622434896,0.42316719614668236,-4.08,0.0,2.2,0.0,0.36,-0.12
3,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0003.png,6,487.0,165.5,474.0,153.0,499.0,153.0,500.0,178.0,475.0,178.0,True,-1.0522699826617556,-1.3379078003727767,6.393898394774393,6.6165856815587185,3.189075271518396,-0.05751405003749909,0.32562130212767626,-4.08,0.0,2.2,0.0,0.36,-0.12
3,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0003.png,7,419.25,166.5,406.0,154.0,432.0,154.0,432.0,179.0,407.0,179.0,True,-1.4976137468480382,-1.3126445060129308,6.3074000688939496,6.614316152331815,-2.6804755423925757,-0.002798899035688632,-0.4892549176008977,-4.08,0.0,2.2,0.0,0.36,-0.12
4,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0004.png,5,712.5,205.75,700.0,194.0,724.0,193.0,725.0,218.0,701.0,218.0,True,0.5027416466261663,-1.0699276258257342,6.449183697035964,6.556635161870145,-2.7930729253347804,0.026912107622434896,0.42316719614668236,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003
4,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0004.png,6,487.0,165.5,474.0,153.0,499.0,153.0,500.0,178.0,475.0,178.0,True,-1.0522699826617556,-1.3379078003727767,6.393898394774393,6.6165856815587185,3.189075271518396,-0.05751405003749909,0.32562130212767626,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003
4,results/bus_real_data/03_moving_camera_sequence_blur_k3/images/frame_0004.png,7,419.25,166.5,406.0,154.0,432.0,154.0,432.0,179.0,407.0,179.0,True,-1.4976137468480382,-1.3126445060129308,6.3074000688939496,6.614316152331815,-2.6804755423925757,-0.002798899035688632,-0.4892549176008977,-3.94,0.0,2.2,0.0,0.38,-0.16000000000000003
