alignment,camera_count,max_rotation_error_deg,max_translation_error_cm,mean_rotation_error_deg,mean_translation_error_cm,median_rotation_error_deg,median_translation_error_cm,method,source_file,status,available_cameras,missing_cameras,failure_reason
SE3_all_static_cameras_no_scale,4,1.601827,10.972906,1.308739,7.464805,1.265580,6.949862,AP01,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,OK,,,
SE3_available_static_cameras_no_scale,4,1.1939975483269536,14.141271637311064,0.8073122700117802,8.638281984775693,0.7168965652860584,8.379190030430934,AP02,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,OK_FULL,cam_edge_0;cam_edge_1;cam_edge_3;cam_edge_5,,
SE3_all_static_cameras_no_scale,4,0.134082,10.816880,0.076540,6.360968,0.071616,6.078174,AP03,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,OK,,,
