method,camera,alignment,source_file,translation_error_cm,rotation_error_deg,aligned_est_x_m,aligned_est_y_m,aligned_est_z_m,gt_x_m,gt_y_m,gt_z_m,aligned_est_roll_deg,aligned_est_pitch_deg,aligned_est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
AP01,cam_edge_0,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,22.766401,2.612572,0.710332830,-1.733694588,1.895448629,0.587807930,-1.734555260,2.087328300,-111.699362199,0.861349464,-1.193368608,-112.764861788,-1.496743718,-0.827099911
AP01,cam_edge_1,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,38.548264,3.836419,-3.678328282,0.286753742,2.291564246,-3.974167320,0.475086500,2.131542680,-109.711873573,-0.182586158,-112.961776817,-106.364113762,0.768085533,-114.559656476
AP01,cam_edge_3,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,12.757253,3.038918,-3.167390249,-1.458097773,2.094576764,-3.227355830,-1.563214260,2.054210900,-111.800272696,1.927800888,-61.834812432,-109.390448856,1.967429539,-59.899952457
AP01,cam_edge_5,SE3_all_static_cameras_no_scale,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,48.544202,7.923163,5.380529352,0.430775137,2.130253810,5.858858870,0.348419540,2.138761570,-116.372332480,7.611675712,113.754213644,-109.270651886,4.073179101,113.876819191
AP02,cam_edge_0,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,37.449070,1.854178,0.714862366,-1.603840191,1.760198322,0.587807930,-1.734555260,2.087328300,-111.676384925,-2.998087256,-0.837384790,-112.764861788,-1.496743718,-0.827099911
AP02,cam_edge_1,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,27.879359,3.805581,-4.040771509,0.595649702,2.373935468,-3.974167320,0.475086500,2.131542680,-109.964213382,-0.447649113,-114.780252534,-106.364113762,0.768085533,-114.559656476
AP02,cam_edge_3,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,33.259303,2.830649,-2.926151906,-1.648735010,1.942047973,-3.227355830,-1.563214260,2.054210900,-110.953689347,2.672088114,-57.710073089,-109.390448856,1.967429539,-59.899952457
AP02,cam_edge_5,SE3_all_static_cameras_no_scale,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,44.389070,4.648767,5.497204699,0.182662017,2.335661686,5.858858870,0.348419540,2.138761570,-112.456416125,6.764054436,111.498455051,-109.270651886,4.073179101,113.876819191
AP03,cam_edge_0,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,1.492572,0.262150,0.595192702,-1.745173340,2.094778034,0.587807930,-1.734555260,2.087328300,-112.967163971,-1.562222416,-0.975122392,-112.764861788,-1.496743718,-0.827099911
AP03,cam_edge_1,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,7.579529,0.066906,-4.047726839,0.492851688,2.135823017,-3.974167320,0.475086500,2.131542680,-106.350526429,0.811130761,-114.510083068,-106.364113762,0.768085533,-114.559656476
AP03,cam_edge_3,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,5.066811,0.106072,-3.273436061,-1.583965921,2.050572483,-3.227355830,-1.563214260,2.054210900,-109.322280249,2.033370492,-59.850015601,-109.390448856,1.967429539,-59.899952457
AP03,cam_edge_5,SE3_all_static_cameras_no_scale,results/bus_real_data/03_targetless_colmap_aruco_scale/07_final_results/AP03_MARKER_SIZE_SCALE_ONLY_STATIC_CAMERA_POSES.csv,11.336551,0.152834,5.971113848,0.362024091,2.130669915,5.858858870,0.348419540,2.138761570,-109.194074428,3.953458198,113.938656874,-109.270651886,4.073179101,113.876819191
