method,status,pair,from_camera,to_camera,translation_error_cm,rotation_error_deg,baseline_error_cm,direction_error_deg,gt_baseline_m,est_baseline_m,gt_tx_m,gt_ty_m,gt_tz_m,gt_roll_deg,gt_pitch_deg,gt_yaw_deg,gt_rvec_x,gt_rvec_y,gt_rvec_z,est_tx_m,est_ty_m,est_tz_m,est_roll_deg,est_pitch_deg,est_yaw_deg,est_rvec_x,est_rvec_y,est_rvec_z,source,note
AP01,OK,cam0-cam1,cam_edge_0,cam_edge_1,29.093725684475086,2.3497200510424965,22.150635307272193,2.180303895132671,5.069131069576643,4.847624716503921,-4.590674262084118,-0.9808404021811512,1.9130477582733787,115.90214977992046,57.450670973219815,138.4497834938831,0.05973524746496475,1.862313170365479,0.6890226811483593,-4.435242667689096,-1.0192075856790495,1.6701208842667994,113.9123738824894,59.54107944197874,137.0201871072217,0.03447436589130334,1.8291006890415007,0.6784931633477379,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.
AP01,OK,cam0-cam3,cam_edge_0,cam_edge_3,12.736911372424503,2.765129289915111,7.344799790647505,1.546365468088271,3.8191529186563207,3.8926009165627957,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,21.20580374270508,50.53923196926396,36.244334985740466,0.0578006837792782,0.9425257326838137,0.42222897273299825,-3.8851765008748775,-0.20278175480046312,0.1289380184243718,19.562886563799086,53.09526122571961,35.23938830334005,0.02416529619058924,0.9765239452503728,0.40772297284409503,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.
AP01,OK,cam0-cam5,cam_edge_0,cam_edge_5,71.88756350440707,10.382073241859436,51.518129693068104,5.317457459585617,5.667927964501032,5.152746667570351,5.239989224744796,-0.7565583592593794,2.023744001687466,121.10918727720495,-59.18839253897587,-144.80607014753681,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,4.620052482613875,-1.1188008717243758,1.988516504200933,120.28439608215348,-62.41346686455213,-153.9473883255215,-0.2004858195588827,-1.8610370537949545,-0.7473711531269371,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.
AP01,OK,cam1-cam3,cam_edge_1,cam_edge_3,39.816168143377254,4.088740386960751,34.34211995863894,5.79448946427595,2.1721826797050396,1.8287614801186503,1.5443865298310695,-0.37572219903458537,1.4805676849234315,5.14537888201856,-52.158716168945,-19.440987313922378,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,1.4066382725382722,-0.19860684829545558,1.1516477939050844,6.102733020344296,-48.11810606136519,-20.05141133361563,-0.04758484525543397,-0.8466222581274816,-0.28411513138561106,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.
AP01,OK,cam1-cam5,cam_edge_1,cam_edge_5,86.65444796336395,11.415609471138922,77.24063108014275,2.384292637087299,9.833844654272019,9.061438343470591,-3.9715362540357773,-2.4903976924727136,8.64461218335215,133.3021054862451,43.91477015093176,156.52751785874057,0.07074491249427345,2.1743406180104214,0.7301083985994897,-3.667119285350636,-2.6535585813775966,7.849874384646279,120.22046099895844,39.44380601035838,151.70715183399523,0.09214755974864522,2.107591873089742,0.9705834188959515,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.
AP01,OK,cam3-cam5,cam_edge_3,cam_edge_5,72.6332873612818,10.305916567958452,53.13136117305248,3.1476325197846053,9.285515073252315,8.75420146152179,2.8983748134908356,-3.1018777282117966,8.2582424386392,141.70501809791045,-7.866545909544565,176.3434827013253,-0.15963022206593686,-2.8589394874323952,-0.9996874983186078,2.366994475,-3.236798158,7.781806864,132.530760826,-7.601957528999996,172.727687312,-0.2598678803749834,-2.7963082994743895,-1.2436237438164155,results/bus_real_data/01_marker_direct_relay_multimarker_multichain/07_final_extrinsics_cam3_reference/final_extrinsics_summary.csv,AP01 pairwise uses cam3-local camera map; no Ref14/world GT anchor and no map alignment.
AP02,OK,cam0-cam1,cam_edge_0,cam_edge_1,67.71718596643804,5.343136862713392,20.632934944718784,7.150707054635725,5.069131069576643,5.275460419023831,-4.590674262084118,-0.9808404021811512,1.9130477582733787,115.90214977992046,57.450670973219815,138.4497834938831,0.05973524746496475,1.862313170365479,0.6890226811483593,-4.748618160404841,-1.588890399263815,1.6602817527418974,114.8230864885566,59.31839738070084,142.50501194510966,-0.040468237200365714,1.8476082212637155,0.733370234270303,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,
AP02,OK,cam0-cam3,cam_edge_0,cam_edge_3,41.704130040581674,4.1115661295791375,17.33238265756789,5.826822708047639,3.8191529186563207,3.6458290920806418,-3.8168022097504695,-0.10639583116101115,0.0814237977288359,21.20580374270508,50.53923196926396,36.244334985740466,0.0578006837792782,0.9425257326838137,0.42222897273299825,-3.625475988634882,-0.3094406960447489,-0.22856088931578045,16.69334963712023,48.55996988508675,34.91276402360362,0.008725657277516705,0.8920989573240552,0.44544308196850313,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,
AP02,OK,cam0-cam5,cam_edge_0,cam_edge_5,66.46390373020925,3.9797194552997537,53.04629852972474,4.252807550761332,5.667927964501032,5.137464979203784,5.239989224744796,-0.7565583592593794,2.023744001687466,121.10918727720495,-59.18839253897587,-144.80607014753681,-0.005927455730751902,-1.890899029153531,-0.6597478523861177,4.779311560800496,-0.9885044707592798,1.6045517531799933,121.91458965842249,-62.83978716901294,-147.0453915861969,-0.07340291482818141,-1.85977540504,-0.6331402349889541,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,
AP02,OK,cam1-cam3,cam_edge_1,cam_edge_3,52.247556912103995,3.2784971194929984,37.06831066727876,8.985604698942701,2.1721826797050396,2.5428657863778272,1.5443865298310695,-0.37572219903458537,1.4805676849234315,5.14537888201856,-52.158716168945,-19.440987313922378,-0.07152290562849599,-0.9138098031455153,-0.27444766234862317,1.5671232719973225,-0.24926119179970607,1.9869977141803465,9.925754088134504,-53.64946664182779,-23.722950534282134,-0.03515051903459974,-0.9506349893255327,-0.3014209457203036,results/bus_real_data/02_ref_marker_graph_ba/08_final_results/ap02_with_moving_static_camera_poses_ref_marker.csv,
