GEOMETRY-BASED UNIQUE ARUCO 8-STATION BOARD METADATA
====================================================
station: R1_rear_left_seat_leaned_occluded
model_name: aruco_station_R1_ids_24_29
dictionary: DICT_4X4_50
ids: [24, 25, 26, 27, 28, 29]
first_id: 24
cols: 3
rows: 2
board_width_m: 0.8
board_height_m: 0.6
texture_width_px_equivalent: 1440
texture_height_px_equivalent: 1080
marker_px_equivalent: 300
gap_px_equivalent: 80
marker_size_m: 0.166667
gap_m: 0.044444
black_cell_visuals: 130
