image_name,x,y,z,roll,pitch,yaw,tag
moving_0058.jpg,1.550000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0059.jpg,1.300000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0060.jpg,1.050000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0061.jpg,0.800000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0062.jpg,0.550000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0063.jpg,0.300000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0064.jpg,0.050000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0065.jpg,-0.200000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0066.jpg,-0.450000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0067.jpg,-0.700000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0068.jpg,-0.950000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0069.jpg,-1.200000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0070.jpg,-1.450000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0071.jpg,-1.700000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0072.jpg,-1.950000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0073.jpg,-2.200000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0074.jpg,-2.450000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0075.jpg,-2.700000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0076.jpg,-2.950000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
moving_0077.jpg,-3.200000,0.000000,1.650000,0.000000,0.000000,3.141593,backward_minus_x
