method,marker_id,is_scale_anchor,moving_inlier_frame_count,moving_inlier_frames,max_triangulation_angle_deg,static_validation_cameras,static_validation_camera_count,raw_reconstructed_size_units,anchor_scale_m_per_unit,estimated_marker_size_cm,expected_marker_size_cm,absolute_size_error_cm,relative_size_error_percent,moving_fit_reprojection_rmse_px,moving_to_static_reprojection_rmse_px,moving_to_static_reprojection_median_px,moving_to_static_reprojection_observations
AP02,0,False,18,2;9;10;80;81;82;83;85;253;254;255;256;257;258;259;260;261;262,125.84540612249057,cam_edge_1,1,0.16057913446716837,0.9500083145201129,15.255151288225319,17.0,1.7448487117746825,10.26381595161578,2.711739021025413,3.4127808760468588,3.5257385353261563,4
AP02,2,False,20,2;8;9;10;11;13;14;15;16;252;253;254;255;256;257;258;259;260;261;262,10.698154989708854,cam_edge_1;cam_edge_3,2,0.16962244578815613,0.9500083145201129,16.114273382798544,17.0,0.8857266172014572,5.210156571773277,1.7496664120718457,2.032678281220965,2.0330983831151346,8
AP02,3,True,15,2;8;80;81;82;83;254;255;256;257;258;259;260;261;262,59.11464610276848,cam_edge_1;cam_edge_3,2,0.17894580226476628,0.9500083145201129,17.0,17.0,0,0,1.845347560819303,2.466259351302555,1.8993407295565485,8
AP02,4,False,30,2;8;9;10;11;13;14;15;16;17;18;53;54;221;224;226;227;228;251;252;253;254;255;256;257;258;259;260;261;262,141.94120347846166,cam_edge_1,1,0.17071740884664824,0.9500083145201129,16.218295783764532,17.0,0.7817042162354709,4.59826009550277,1.8325908006274876,1.92648241205223,1.5609153524355854,4
AP02,5,False,9,40;41;42;43;44;45;218;219;220,105.00987083078755,cam_edge_5,1,0.17017462834149277,0.9500083145201129,16.16673118447882,17.0,0.833268815521182,4.901581267771658,0.36281896825715354,79.60721148685437,79.56111932870868,4
AP02,6,False,6,60;61;62;63;64;65,6.491466648555848,cam_edge_1,1,0.17007869157544625,0.9500083145201129,16.157617111937583,17.0,0.8423828880624179,4.955193459190693,0.22680744472981443,1.0374065457772976,1.0331226455058906,4
AP02,7,False,8,143;144;145;146;147;170;171;172,15.025970008855971,cam_edge_5,1,0.17004346459237582,0.9500083145201129,16.154270519256343,17.0,0.8457294807436566,4.974879298492097,0.9104574365004772,3.542997269493085,3.235632502743185,4
AP02,8,False,7,68;69;70;111;112;113;188,125.95033599235157,cam_edge_5,1,0.17069804941716876,0.9500083145201129,16.216456621867543,17.0,0.7835433781324563,4.609078694896802,1.5636935253693678,12.123876635212499,12.28965109005588,4
AP02,12,False,8,133;134;135;136;137;138;152;165,102.26191594284461,cam_edge_5,1,0.16996184822093507,0.9500083145201129,16.14651689610938,17.0,0.8534831038906232,5.0204888464154305,0.6922107407793141,4.616559971086462,4.591020005786892,4
AP02,15,False,9,94;95;96;97;98;207;208;209;211,49.02630789297775,cam_edge_0;cam_edge_3,2,0.16984196209776484,0.9500083145201129,16.13512761472865,17.0,0.8648723852713536,5.087484619243256,1.4721549267314433,2.474683942663141,2.477613929837419,8
AP02,16,False,6,86;87;88;89;203;204,55.709371478306466,cam_edge_0;cam_edge_3,2,0.16762623789255257,0.9500083145201129,15.924631972965136,17.0,1.0753680270348647,6.325694276675674,2.4632932001928505,6.586651436662537,6.639864590789639,8
AP02,17,False,8,120;121;122;123;124;125;126;127,157.74846698360304,cam_edge_5,1,0.1687591700831038,0.9500083145201129,16.03226147304625,17.0,0.9677385269537514,5.692579570316184,1.3020607221792306,57.664431643461,57.04289607440358,4
AP02,18,False,16,2;8;9;10;53;54;55;56;224;226;227;228;257;258;259;260,110.73724591734788,,0,0.17090823399648664,0.9500083145201129,16.236424331661134,17.0,0.7635756683388673,4.491621578463925,1.7420301426087255,,,0
AP02,19,False,8,94;95;211;212;213;214;215;259,120.01673589273621,cam_edge_0;cam_edge_3,2,0.170082723481501,0.9500083145201129,16.15800014636512,17.0,0.8419998536348811,4.9529403154993,2.277161994897516,1.367457010109632,1.3011772009865283,8
AP02,20,False,18,2;8;9;11;13;14;15;74;75;76;253;254;255;256;257;258;259;260,32.06492800251929,cam_edge_1,1,0.16990087067308662,0.9500083145201129,16.140723978363873,17.0,0.8592760216361295,5.0545648331537025,2.0846967138455144,1.622305731788293,1.4634610471664442,4
AP03,0,False,8,0;256;257;258;259;260;261;262,3.349821149014016,,0,0.1649537416925752,0.9587457725070773,15.81487025069809,17.0,1.1851297493019108,6.971351466481828,1.8438579850477206,,,0
AP03,2,False,10,0;5;6;256;257;258;259;260;261;262,6.41438763214267,cam_edge_3,1,0.18314351172969218,0.9587457725070773,17.558806763294267,17.0,0.5588067632942673,3.2870986076133364,1.021869421194279,1.003723083580781,1.0207888249374188,4
AP03,3,True,9,0;6;256;257;258;259;260;261;262,3.7181552895874126,cam_edge_3,1,0.17731499306167225,0.9587457725070773,17.0,17.0,0,0,1.369159560107693,3.342555032392468,3.2325121839179403,4
AP03,4,False,6,0;258;259;260;261;262,12.504386704690173,,0,0.18862578309673966,0.9587457725070773,18.084417212983606,17.0,1.0844172129836043,6.378924782256496,1.7566094043181184,,,0
AP03,20,False,5,256;257;258;259;260,1.4539298575185704,,0,0.1827499871163185,0.9587457725070773,17.52107775734932,17.0,0.5210777573493197,3.06516327852541,0.6729717194542016,,,0
