REAL VEHICLE — SECONDARY AP02 MARKER MAP
========================================================================================================================

Reference marker: 3
Coordinate frame: marker_3_reference_frame
Ground truth used: false
This is an internally estimated metric marker map. No simulation marker positions are used or compared.

Observed marker IDs:  [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Optimized marker IDs: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Observed but missing from optimized map: []

  Marker         x [m]         y [m]         z [m]        rvec x        rvec y        rvec z
------------------------------------------------------------------------------------------------------------------------
       0      0.344753     -0.123545     -0.272674     -1.193070      0.067673     -0.026479
       2      1.110052     -0.333763      2.369823      0.090195      0.065874     -0.053729
       3      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
       4      1.270892     -0.258408      3.667655     -1.240295      0.073407     -0.017200
       5      0.008413     -0.366249      3.086317     -0.109721     -3.074877     -0.488127
       6      1.910701      1.052304      1.516127      0.205014     -1.508868     -0.243898
       7      0.053245      1.392569     -1.500498     -0.065190     -2.962079     -1.004646
       8      1.900462      1.588416     -0.055632      0.206368     -1.513404     -0.302477
       9      1.821684      1.658436     -1.785275      0.086074     -1.464830     -0.410558
      10      1.884914      1.914079     -0.952164      0.161994     -1.508856     -0.259338
      12      0.562219      1.857739     -2.596394     -1.261570      0.066112     -0.041027
      15     -0.660441      1.308652      0.770180      0.287099      1.608080      0.202526
      16     -0.722844      0.267426      0.515092      0.295181      1.603092      0.209642
      17      1.860007      2.435333     -2.347597      0.196293     -1.532852     -0.303220
      18      1.942526      0.557074      3.038247      0.215883     -1.544465     -0.300108
      19     -0.200570      1.003131      1.770220      0.308670      1.554261      0.207951
      20      1.485889      0.485872      0.193491      0.309807      0.073184     -0.161168
