image_name,marker_id,corner_idx,u,v,area_px2
moving_frame_0012.png,2,3,365.0,423.0,16004.5
moving_frame_0013.png,1,0,583.0,383.0,37967.5
moving_frame_0013.png,1,1,802.0,325.0,37967.5
moving_frame_0013.png,1,2,954.0,442.0,37967.5
moving_frame_0013.png,1,3,716.0,516.0,37967.5
moving_frame_0013.png,2,0,190.0,318.0,17283.0
moving_frame_0013.png,2,1,319.0,289.0,17283.0
moving_frame_0013.png,2,2,347.0,415.0,17283.0
moving_frame_0013.png,2,3,220.0,448.0,17283.0
moving_frame_0014.png,1,0,469.0,413.0,41786.0
moving_frame_0014.png,1,1,690.0,339.0,41786.0
moving_frame_0014.png,1,2,855.0,455.0,41786.0
moving_frame_0014.png,1,3,621.0,548.0,41786.0
moving_frame_0014.png,2,0,34.0,349.0,19036.5
moving_frame_0014.png,2,1,169.0,312.0,19036.5
moving_frame_0014.png,2,2,205.0,441.0,19036.5
moving_frame_0014.png,2,3,73.0,483.0,19036.5
moving_frame_0015.png,1,0,361.0,449.0,46148.5
moving_frame_0015.png,1,1,585.0,359.0,46148.5
moving_frame_0015.png,1,2,764.0,472.0,46148.5
moving_frame_0015.png,1,3,532.0,585.0,46148.5
moving_frame_0016.png,1,0,259.0,496.0,51600.5
moving_frame_0016.png,1,1,482.0,383.0,51600.5
moving_frame_0016.png,1,2,681.0,489.0,51600.5
moving_frame_0016.png,1,3,455.0,628.0,51600.5
moving_frame_0017.png,1,0,164.0,546.0,58310.0
moving_frame_0017.png,1,1,388.0,411.0,58310.0
moving_frame_0017.png,1,2,606.0,512.0,58310.0
moving_frame_0017.png,1,3,386.0,675.0,58310.0
moving_frame_0071.png,4,0,28.0,54.0,51544.0
moving_frame_0071.png,4,1,253.0,40.0,51544.0
moving_frame_0071.png,4,2,266.0,263.0,51544.0
moving_frame_0071.png,4,3,49.0,294.0,51544.0
moving_frame_0072.png,7,0,1069.0,476.0,19885.5
moving_frame_0072.png,7,1,1201.0,514.0,19885.5
moving_frame_0072.png,7,2,1159.0,657.0,19885.5
moving_frame_0072.png,7,3,1030.0,612.0,19885.5
moving_frame_0073.png,7,0,860.0,424.0,19498.0
moving_frame_0073.png,7,1,989.0,459.0,19498.0
moving_frame_0073.png,7,2,952.0,604.0,19498.0
moving_frame_0073.png,7,3,825.0,562.0,19498.0
moving_frame_0074.png,6,0,1013.0,469.0,28323.0
moving_frame_0074.png,6,1,1177.0,508.0,28323.0
moving_frame_0074.png,6,2,1139.0,676.0,28323.0
moving_frame_0074.png,6,3,977.0,629.0,28323.0
moving_frame_0074.png,7,0,657.0,382.0,19776.0
moving_frame_0074.png,7,1,786.0,413.0,19776.0
moving_frame_0074.png,7,2,753.0,562.0,19776.0
moving_frame_0074.png,7,3,626.0,525.0,19776.0
moving_frame_0075.png,6,0,818.0,428.0,28367.0
moving_frame_0075.png,6,1,981.0,463.0,28367.0
moving_frame_0075.png,6,2,948.0,634.0,28367.0
moving_frame_0075.png,6,3,787.0,592.0,28367.0
moving_frame_0075.png,7,0,453.0,351.0,20973.0
