camera_a,camera_b,distance_m
cam_edge_0,cam_edge_1,5.107962073104751
cam_edge_0,cam_edge_3,3.846286941080655
cam_edge_0,cam_edge_5,5.72413426752253
cam_edge_1,cam_edge_3,2.189889929629652
cam_edge_1,cam_edge_5,9.928832261606425
cam_edge_3,cam_edge_5,9.370307866021841
