image_name,marker_id,corner_idx,u,v,area_px2
moving_frame_0005.png,2,0,662.0,326.0,2162.0
moving_frame_0005.png,2,1,709.0,324.0,2162.0
moving_frame_0005.png,2,2,708.0,372.0,2162.0
moving_frame_0005.png,2,3,665.0,374.0,2162.0
moving_frame_0006.png,2,0,633.0,321.0,2509.0
moving_frame_0006.png,2,1,683.0,318.0,2509.0
moving_frame_0006.png,2,2,686.0,368.0,2509.0
moving_frame_0006.png,2,3,636.0,371.0,2509.0
moving_frame_0006.png,1,0,714.0,286.0,2307.5
moving_frame_0006.png,1,1,794.0,282.0,2307.5
moving_frame_0006.png,1,2,821.0,308.0,2307.5
moving_frame_0006.png,1,3,735.0,313.0,2307.5
moving_frame_0007.png,2,0,605.0,317.0,2668.0
moving_frame_0007.png,2,1,656.0,313.0,2668.0
moving_frame_0007.png,2,2,660.0,365.0,2668.0
moving_frame_0007.png,2,3,609.0,369.0,2668.0
moving_frame_0007.png,1,0,696.0,288.0,2847.5
moving_frame_0007.png,1,1,780.0,282.0,2847.5
moving_frame_0007.png,1,2,811.0,312.0,2847.5
moving_frame_0007.png,1,3,720.0,319.0,2847.5
moving_frame_0008.png,2,0,578.0,315.0,2970.5
moving_frame_0008.png,2,1,632.0,310.0,2970.5
moving_frame_0008.png,2,2,637.0,364.0,2970.5
moving_frame_0008.png,2,3,583.0,370.0,2970.5
moving_frame_0008.png,1,0,681.0,293.0,3480.5
moving_frame_0008.png,1,1,770.0,285.0,3480.5
moving_frame_0008.png,1,2,806.0,319.0,3480.5
moving_frame_0008.png,1,3,709.0,328.0,3480.5
moving_frame_0009.png,2,0,552.0,314.0,3259.0
moving_frame_0009.png,2,1,608.0,308.0,3259.0
moving_frame_0009.png,2,2,614.0,365.0,3259.0
moving_frame_0009.png,2,3,558.0,372.0,3259.0
moving_frame_0009.png,1,0,670.0,302.0,4403.5
moving_frame_0009.png,1,1,765.0,292.0,4403.5
moving_frame_0009.png,1,2,808.0,331.0,4403.5
moving_frame_0009.png,1,3,704.0,343.0,4403.5
moving_frame_0009.png,7,0,161.0,81.0,1062.0
moving_frame_0009.png,7,1,195.0,80.0,1062.0
