group,image_count,image_list_path,camera_info_path,camera_model,camera_params,width,height,camera_id,database_model_id,database_width,database_height
cam_edge_0,1,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/jobs/main_route2_reference__ap03__baseline__03/20260807_233547_baseline_9818b912/04_AP03/colmap/reconstruction/camera_groups/cam_edge_0.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/dataset/raw_images/camera_info/cam_edge_0.json,PINHOLE,"929.03511047363281,929.03506278991699,640,360",1280,720,1,1,1280,720
cam_edge_1,1,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/jobs/main_route2_reference__ap03__baseline__03/20260807_233547_baseline_9818b912/04_AP03/colmap/reconstruction/camera_groups/cam_edge_1.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/dataset/raw_images/camera_info/cam_edge_1.json,PINHOLE,"929.593505859375,929.59347724914551,640,360",1280,720,2,1,1280,720
cam_edge_3,1,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/jobs/main_route2_reference__ap03__baseline__03/20260807_233547_baseline_9818b912/04_AP03/colmap/reconstruction/camera_groups/cam_edge_3.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/dataset/raw_images/camera_info/cam_edge_3.json,PINHOLE,"919.95132446289062,919.95125770568848,640,360",1280,720,3,1,1280,720
cam_edge_5,1,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/jobs/main_route2_reference__ap03__baseline__03/20260807_233547_baseline_9818b912/04_AP03/colmap/reconstruction/camera_groups/cam_edge_5.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/dataset/raw_images/camera_info/cam_edge_5.json,PINHOLE,"927.20237731933594,927.20240592956543,640,360",1280,720,4,1,1280,720
moving_calib_camera,189,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/jobs/main_route2_reference__ap03__baseline__03/20260807_233547_baseline_9818b912/04_AP03/colmap/reconstruction/camera_groups/moving_calib_camera.txt,/mnt/c/Users/maxim/Desktop/Application of Robotics and Autonomous Systems/camera-rig-calibration/workspace/temporary_runs/simulation_batch_20260807_231151__main_route2_reference/dataset/raw_images/camera_info/moving_calib_camera.json,PINHOLE,"929.4671630859375,929.46713447570801,640,360",1280,720,5,1,1280,720
