cam,cam_gt_vs_est_error_cm,rot_error_deg,est_ref14_xyz_m,est_dist_to_ref14_m,gt_ref14_xyz_m,gt_dist_to_ref14_m,dist_to_ref14_error_cm,method,real_life_output,evaluation_only
cam_edge_0,5.6939388860408835,1.0218655560557988,"(0.561, -1.785, 2.089)",2.804437020152173,"(0.588, -1.735, 2.087)",2.776965610157965,2.747140999420772,moving_relay_multichain_colmap_motion_aruco_metric_scale,"est_ref14_xyz_m, est_dist_to_ref14_m","gt_ref14_xyz_m, gt_dist_to_ref14_m, cam_gt_vs_est_error_cm, rot_error_deg, dist_to_ref14_error_cm"
cam_edge_1,12.482515006098964,1.4598529044706954,"(-4.097, 0.467, 2.111)",4.632474392805642,"(-3.974, 0.475, 2.132)",4.534724357664973,9.775003514066949,direct_static_aruco_multimarker_weighted_mad_inliers,"est_ref14_xyz_m, est_dist_to_ref14_m","gt_ref14_xyz_m, gt_dist_to_ref14_m, cam_gt_vs_est_error_cm, rot_error_deg, dist_to_ref14_error_cm"
cam_edge_3,5.7869873077311285,1.9939146107995451,"(-3.281, -1.545, 2.066)",4.173768321313486,"(-3.227, -1.563, 2.054)",4.1322407964686665,4.1527524844819474,root_camera_chained_from_ref14_anchor,"est_ref14_xyz_m, est_dist_to_ref14_m","gt_ref14_xyz_m, gt_dist_to_ref14_m, cam_gt_vs_est_error_cm, rot_error_deg, dist_to_ref14_error_cm"
cam_edge_5,24.11151982665475,3.5351071725781775,"(5.888, 0.161, 2.287)",6.31861013198314,"(5.859, 0.348, 2.139)",6.246943732738433,7.166639924470619,moving_relay_multichain_colmap_motion_aruco_metric_scale,"est_ref14_xyz_m, est_dist_to_ref14_m","gt_ref14_xyz_m, gt_dist_to_ref14_m, cam_gt_vs_est_error_cm, rot_error_deg, dist_to_ref14_error_cm"
