marker_id,frame_i,frame_j,frame_gap,metric_translation_m,colmap_translation_units,scale_m_per_colmap_unit,quality,used_for_scale
2,8,10,2,0.21087262872093626,0.33164337328826465,0.6358415264870847,39.32402057907326,True
2,8,11,3,0.3091175510702928,0.4541393741279231,0.6806667042774842,39.77307996951142,True
2,8,12,4,0.4034801397579992,0.5985968597231657,0.6740431948550439,40.818675570327976,True
2,8,13,5,0.546947847384869,0.7618452008655274,0.7179251726774483,41.89087366302441,True
2,8,14,6,0.6424927473226729,0.9204143366823322,0.6980473051284294,43.965026046212735,True
2,8,15,7,0.7281162904031845,1.07967217380733,0.674386455506742,45.8217877578352,True
2,8,16,8,0.8141974880632273,1.2471534751377398,0.6528446612982454,47.47473005968862,True
2,8,17,9,0.8838684870331648,1.3647381755008583,0.647646928106767,48.84742472308311,True
2,8,18,10,0.9752890042940497,1.4547415588569224,0.6704208031702846,50.98896834736098,True
2,8,19,11,1.0456945756993556,1.575182004805034,0.6638563496215062,53.08430434061018,True
2,8,20,12,1.1588565592137907,1.727862844539588,0.6706878169618743,55.81527573758605,True
2,8,21,13,1.2259614287095677,1.8619432185838551,0.6584311575527,58.395259979471135,True
2,8,22,14,1.310170841133785,2.0026504072669744,0.6542184479026375,60.90718473237408,True
2,8,23,15,1.4181245122659136,2.183805348052563,0.6493822874509143,63.55864690255703,True
2,8,24,16,1.529734734691872,2.329735360391065,0.6566130903533582,66.28178367742665,True
2,9,11,2,0.17139376237550208,0.28290556321213545,0.605833835254004,40.94769561481562,True
2,9,12,3,0.26008648050824346,0.4367626281640516,0.5954870305674432,42.024170718862045,True
2,9,13,4,0.44979031913454326,0.6066099069951705,0.7414819869371574,43.12803396435811,False
2,9,14,5,0.5174493723733485,0.76429550491912,0.6770278891383857,45.26344214774862,True
2,9,15,6,0.5945570680029217,0.9193214351978082,0.646734695003595,47.17503947576654,True
2,9,16,7,0.675269910990116,1.0825684064615857,0.6237665046934635,48.87679800935334,True
2,9,17,8,0.742890195507037,1.1992825799922602,0.6194454984177553,50.290032370178466,True
2,9,18,9,0.8355862568775347,1.2904909961601547,0.6474948367433905,52.494822055563674,True
2,9,19,10,0.9068419186627662,1.4122347476449246,0.6421325634247683,54.65203946311939,True
2,9,20,11,1.021482533680405,1.5662493859039552,0.6521838366697013,57.46366445122335,True
2,9,21,12,1.0895182513631567,1.7002596890468555,0.6407952022752048,60.119843190931576,True
2,9,22,13,1.1711669165690528,1.8391191890361935,0.6368086003076359,62.7059524454333,True
2,9,23,14,1.2754995733816292,2.017293678939586,0.632282541058727,65.43572006619782,True
2,9,24,15,1.3841564346303479,2.1614177300610398,0.6403928381725907,68.23927905283773,True
2,10,12,2,0.23183856300626027,0.29636023154571994,0.7822863472506573,42.737444151555806,False
2,10,13,3,0.3389929447529884,0.46995040496068685,0.7213377011162411,43.86004319392474,True
2,10,14,4,0.43503955665179606,0.6244611945072605,0.6966638767603004,46.03169551727363,True
2,10,15,5,0.5293809590937582,0.7746355176545111,0.683393605158527,47.97573825860393,True
2,10,16,6,0.6223166033862251,0.9339810139067957,0.6663054110523147,49.70638062571091,True
2,10,17,7,0.6932958627600895,1.0497324075686958,0.6604500897193833,51.143601718611976,True
2,10,18,8,0.7805028684440876,1.1415286601715982,0.683734798499724,53.38581315153821,True
2,10,19,9,0.8551451390731081,1.264030848553539,0.6765223649815757,55.57964486555217,True
2,10,20,10,0.9606390082447599,1.41885488527934,0.6770523315748617,58.4389913761135,True
2,10,21,11,1.0302510956182713,1.5526270187496138,0.6635535020174835,61.140253259524776,True
2,10,22,12,1.1172613646153873,1.6900870805026154,0.6610673364138875,63.77025637305396,True
2,10,23,13,1.228923679048942,1.8663348696366002,0.6584690127384425,66.54635615666696,True
2,10,24,14,1.3394546938801366,2.00939300051218,0.6665966754829539,69.39749976206205,True
2,11,13,2,0.28669267868848425,0.3376652050056019,0.8490441847087206,44.36090154897647,False
2,11,14,3,0.34687986463780424,0.49065540840505223,0.706972467225804,46.557352986307265,True
2,11,15,4,0.43150894555842634,0.6403264343907648,0.6738890078292383,48.52359566130538,True
2,11,16,5,0.5199510595830539,0.8005887134128024,0.6494608915563801,50.274001043358325,True
2,11,17,6,0.5896809169085396,0.9168257466200787,0.6431766549777056,51.727634436385344,True
2,11,18,7,0.678592461372192,1.0083360311673746,0.6729824586220224,53.995450730779865,True
2,11,19,8,0.7533244731632038,1.1305295392157277,0.66634656329794,56.21433483561531,True
2,11,20,9,0.8613768940759631,1.2850953658261535,0.6702824685094144,59.106333561849816,True
2,11,21,10,0.9311524315814119,1.4189546434355313,0.6562242393646445,61.8384424186101,True
2,11,22,11,1.01611855616704,1.556979902380687,0.6526214979482732,64.4984787682535,True
2,11,23,12,1.125122274573198,1.7344491745615798,0.6486914065138849,67.30628013421406,True
2,11,24,13,1.234203797630242,1.8785409297166085,0.6570012812105354,70.18998228247017,True
2,12,14,2,0.28993947146731397,0.32857189459159386,0.882423226818292,47.781300528349846,False
2,12,15,3,0.3420123565288624,0.4827498639496886,0.7084670179513637,49.799233811485216,True
2,12,16,4,0.41743351730663525,0.6487967961470287,0.6433963912670702,51.59565564910366,True
2,12,17,5,0.48516006222769814,0.7667168023450993,0.6327760924813117,53.08750365065771,True
2,12,18,6,0.5789835191286677,0.8568690215943939,0.6756966403702414,55.41493863042175,True
2,12,19,7,0.648429874914832,0.9774760173500073,0.6633716463681246,57.69215504094024,True
2,12,20,8,0.7659820733743502,1.130589329253604,0.6775069015378365,60.66018160178136,True
2,12,21,9,0.8322010911804741,1.2647239316334344,0.6580100766383521,63.46411494394158,True
2,12,22,10,0.9133946405974026,1.4048802501626196,0.6501583608223364,66.1940810628493,True
2,12,23,11,1.0184955258904926,1.5860521837727917,0.6421576391438557,69.07569679668045,True
2,12,24,12,1.1287231569481238,1.7328189065322577,0.6513797562417766,72.0352086705749,True
2,13,15,2,0.29948799872405724,0.3204679484042939,0.9345333916084211,51.10732729478363,False
2,13,16,3,0.40772079239266734,0.4939234404185333,0.8254736645970459,52.950936358373035,False
2,13,17,4,0.4744220212982952,0.6128947967301773,0.7740676276407616,54.48197124091991,False
2,13,18,5,0.535730354454445,0.7001647393300381,0.7651490061711271,56.870541750225534,False
