camera,status,intrinsics_source,detected_ids,used_ids,num_detected,num_used_markers,num_points,reprojection_rmse_px,tvec_x_m,tvec_y_m,tvec_z_m,rvec_x,rvec_y,rvec_z,debug_image
front_static_camera,pose_valid,manual_hfov_fallback,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 30, 33, 34, 37, 38]","[37, 38]",16,2,8,0.495746,-0.73598440,-2.80617892,5.45318567,1.23146674,1.24947453,-1.19274954,results/beintelli_bus_model/multi_static_8_station_visibility/F2_front_mid_high_left_seat_ids_36_41/debug_images/front_static_camera_aruco_board_pose.png
rear_static_camera,failed_not_enough_markers,manual_hfov_fallback,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 42, 43, 45]",[],21,0,0,,,,,,,,results/beintelli_bus_model/multi_static_8_station_visibility/F2_front_mid_high_left_seat_ids_36_41/debug_images/rear_static_camera_aruco_board_pose.png
moving_calib_camera,failed_not_enough_markers,manual_hfov_fallback,[],[],0,0,0,,,,,,,,results/beintelli_bus_model/multi_static_8_station_visibility/F2_front_mid_high_left_seat_ids_36_41/debug_images/moving_calib_camera_aruco_board_pose.png
