entity_type,entity_id,source,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
marker,0,ba_with_moving,-2.6033720598100705,-0.02446443715509014,0.7791686716581624,63.69670720502497,0.21399227390012115,90.06767098488704,0.8615184788983672,0.8677381776685832,1.3910892823633974
marker,1,ba_with_moving,-2.3026102130653436,-1.0397850446434265,1.2521132893018545,0.712336607471006,-0.18994778494284065,-90.06620995766131,0.007154771065589271,-0.012374316320379263,-1.5719076543891213
marker,2,ba_with_moving,-1.1372514016586663,-1.0404342950106933,0.7148758839740165,67.88323641668225,0.02969457136432162,-90.0080635188056,0.920672042353418,-0.920092826910722,-1.3678614514512974
marker,3,ba_with_moving,0.0983319173411817,0.7180278624618377,0.4027094502001275,89.75304195273618,-0.41753832158394094,0.4513645211888792,1.5664984193361335,0.0004377583796461581,0.011904681561210273
marker,4,ba_with_moving,0.7133137707290247,0.7111003332998349,1.6271827959687943,90.21772844660529,-0.058075167269865446,0.4857560475906945,1.574590268571203,0.005879770967002994,0.007447433706338916
marker,5,ba_with_moving,1.934253007375787,-1.5030799857649821,0.7179221522394093,66.38701485798491,0.04370138326006909,-90.45999176610705,0.8983360844483548,-0.9045221700510996,-1.3837390510912844
marker,6,ba_with_moving,2.00216174181718,0.004478285791961947,0.9904422845382985,66.77045626023661,0.24185012132999945,-88.94858613224051,0.9149937869631387,-0.892618186485135,-1.3608440403534323
marker,7,ba_with_moving,2.002573828307381,0.4466821112857357,0.9883897752282383,66.53786952497181,-0.038804852932890044,-89.21240122248417,0.9066509444302766,-0.8951965144110018,-1.3633972370936522
marker,8,ba_with_moving,2.6944000618931874,-1.0380279151574958,1.0363200860736979,66.57493805163585,-0.21052257610115183,-90.61738326004011,0.89648364773658,-0.9112820179006301,-1.3824725923997798
marker,9,ba_with_moving,3.115550041388767,-0.02953320851297491,1.00463531497726,67.50041979116216,0.11225892642783226,89.74390793591556,0.9153183177241055,0.9139121947293324,1.3648460855472158
marker,10,ba_with_moving,3.117381193018772,-1.508462669693174,1.0095589793780393,67.37188575840435,0.2661293581213808,90.30619736095774,0.9081634239043899,0.9194145689184806,1.3724567068420386
marker,11,ba_with_moving,4.109047377496037,-0.5161203238774656,1.117118110924321,0.7498017334332806,0.15767485793438796,90.1099884564214,0.008106924505770547,0.01245046027981977,1.5726724251971436
marker,12,ba_with_moving,4.14817130817607,-1.50359255152825,1.0057381498126186,67.0580996283891,-0.4498114093170838,179.5586974718602,0.01695123248885836,1.7340731524118573,2.6171007916263704
marker,13,ba_with_moving,4.15673915272271,0.22219596999865845,0.8502518622171227,0.8719969510348967,-0.08356668445057544,90.0706819365555,0.013094171223965239,0.010817550284485961,1.572007670784052
marker,14,ba_with_moving,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
