camera,trans_err_cm,rot_err_deg,dx_cm,dy_cm,dz_cm,est_x_m,est_y_m,est_z_m,gt_x_m,gt_y_m,gt_z_m,est_roll_deg,est_pitch_deg,est_yaw_deg,gt_roll_deg,gt_pitch_deg,gt_yaw_deg
cam_edge_0,9.325,1.843,-0.508,-0.370,9.304,0.582729,-1.738260,2.180364,0.587808,-1.734555,2.087328,-114.346,-2.143,-0.083,-112.765,-1.497,-0.827
cam_edge_1,14.434,1.884,-13.661,2.527,-3.913,-4.110782,0.500360,2.092411,-3.974167,0.475086,2.131543,-104.694,0.085,-115.090,-106.364,0.768,-114.560
cam_edge_3,7.674,2.034,-7.202,-1.448,-2.221,-3.299376,-1.577696,2.032006,-3.227356,-1.563214,2.054211,-108.631,0.319,-60.803,-109.390,1.967,-59.900
cam_edge_5,84.502,6.085,21.288,-80.260,-15.674,6.071740,-0.454180,1.982021,5.858859,0.348420,2.138762,-108.161,4.040,107.971,-109.271,4.073,113.877
