method,label,from_camera,to_camera,pair,transform_convention,baseline_m,direction_x,direction_y,direction_z,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_left,camera_back_right,camera_back_left-camera_back_right,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,9.997838135876288,0.7762481209269873,0.44952503422632495,0.442002373705326,7.760803066306141,4.494278530219045,4.419068187978951,-164.4372475190224,76.95565660724863,-160.1960712665017,-0.11561383063696881,1.7862409939147539,0.0036669456109446456
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_left,camera_center_left,camera_back_left-camera_center_left,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,4.381157533014866,0.72215311234642,-0.2761058387009744,0.6342400556284743,3.1638665481466486,-1.2096631751341613,2.778705597456458,-62.09331576016296,-46.145306470081664,4.495348588005941,-0.9903624080967678,-0.7608130017842644,-0.3675004476597782
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_left,camera_center_right,camera_back_left-camera_center_right,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,12.320767658061198,0.9254873035774379,-0.06812187017092051,0.37260255195231784,11.402714037863163,-0.8393137348085213,4.590749471405185,119.15028460047974,38.64401543344313,-141.56647550528052,-1.250631494054959,2.093612058737301,1.6002683850504118
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_left,camera_front_left,camera_back_left-camera_front_left,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,10.046154477446231,0.7262553119623409,0.19872617855277613,0.6580738011836461,7.296073054039581,1.9964338884537511,6.611111064251148,-142.25329280885197,-69.95704182423806,120.44632015690891,-0.5189566080497041,-1.7717607494799767,-0.09110917439705658
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_left,camera_front_narrow,camera_back_left-camera_front_narrow,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,19.371280567117502,0.8495448789889657,0.12306903500030725,0.5129595609867473,16.45677220525314,2.3840048061153554,9.936683575459703,-10.418880330700391,36.95960194507392,6.113502172401521,-0.20974620280248824,0.6336143980516952,0.1613622107536462
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_left,camera_front_right,camera_back_left-camera_front_right,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,43.596936252393604,0.3221680924765366,-0.40287358121118844,0.8566799856142909,14.045541790254813,-17.5640538378377,37.34862272152771,117.37595294904604,31.599711549612785,160.14174693269558,0.006234815498451213,2.1974567160169443,1.1919420533099676
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_left,camera_front_wide,camera_back_left-camera_front_wide,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,19.638261879163657,0.8657954970587693,0.10108065082032007,0.49008250254676383,17.00271870504078,1.9850482917257444,9.624368527409239,-34.535069251329496,34.33477251473985,4.977854318963024,-0.6100464211015112,0.5557609897331995,0.2624303823000497
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_right,camera_center_left,camera_back_right-camera_center_left,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,7.50716762557235,0.4010034241917093,-0.6934308153720172,-0.5986233858437402,3.0103999238356565,-5.205701367735045,-4.493966102116632,118.64420346699484,-31.29367902733632,-176.96660970797132,-0.3156842104267195,-2.270003199234572,-1.3239860795193046
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_right,camera_center_right,camera_back_right-camera_center_right,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,6.4606653246696,-0.08246476518583855,-0.8683210960432355,0.4890992094341584,-0.5327772489431679,-5.609931995885633,3.1599063027145817,-100.36816818240013,29.463150973406393,-27.05226595874368,-1.5556751265125133,0.7550396821546704,0.1024660628018124
ap03_multi,aruco_mode_high_sensitivity__multi_markers_0-2-3-4-5-6-7-8-9-10-12-15-16-17-18-__65f0f9ad,camera_back_right,camera_front_left,camera_back_right-camera_front_left,T_from_camera_to_camera = inv(T_reference_from_camera) @ T_reference_to_camera,3.3556301658723577,-0.5500551223457135,-0.769002840321646,-0.32569002741638126,-1.8457815614358866,-2.5804891286248393,-1.092895280722204,148.80268880827242,20.734055829169986,164.42884643741337,0.2238497525611788,2.631683509526841,0.6642487265472651
