initialized_type,initialized_id,from_type,from_id,observed_marker_id,quality
static,cam_edge_1,marker,14,14,28.95154035054676
static,cam_edge_3,marker,14,14,42.19341303079386
marker,2,static,cam_edge_1,2,133.0841156254233
marker,1,static,cam_edge_1,1,274.3618216462775
marker,5,static,cam_edge_1,5,12.601496827448807
marker,7,static,cam_edge_1,7,19.165886948640413
marker,6,static,cam_edge_1,6,18.561555899678517
marker,8,static,cam_edge_1,8,9.617602469436285
marker,3,static,cam_edge_3,3,33.89030644550967
moving,moving_frame_000008,marker,2,2,15.552562764984932
moving,moving_frame_000009,marker,2,2,19.094846801389977
moving,moving_frame_000010,marker,2,2,25.433671765923492
moving,moving_frame_000011,marker,2,2,32.62089878666451
moving,moving_frame_000012,marker,2,2,37.849669328100696
moving,moving_frame_000013,marker,2,2,48.038762324775966
moving,moving_frame_000014,marker,2,2,53.184026169892924
moving,moving_frame_000015,marker,2,2,60.04866834465803
moving,moving_frame_000016,marker,2,2,72.91316642653328
moving,moving_frame_000017,marker,2,2,98.4487924679305
moving,moving_frame_000018,marker,1,1,1242.1618475164648
moving,moving_frame_000019,marker,1,1,1451.0650551541823
moving,moving_frame_000020,marker,1,1,1726.5618394866426
moving,moving_frame_000021,marker,1,1,2093.3506863065763
moving,moving_frame_000022,marker,1,1,2376.2620715732214
moving,moving_frame_000023,marker,1,1,2845.9493520429337
moving,moving_frame_000024,marker,1,1,3100.85855966015
moving,moving_frame_000033,marker,1,1,3214.9914843150395
moving,moving_frame_000034,marker,1,1,2909.2520313435507
moving,moving_frame_000035,marker,1,1,2629.170840962169
moving,moving_frame_000036,marker,1,1,2500.885601064693
moving,moving_frame_000175,marker,1,1,18.886748694415655
moving,moving_frame_000176,marker,1,1,23.151104521633208
moving,moving_frame_000180,marker,1,1,136.55814138464515
moving,moving_frame_000181,marker,1,1,202.34851584936106
moving,moving_frame_000183,marker,1,1,586.2599324225819
moving,moving_frame_000000,marker,5,5,75.0046480320989
moving,moving_frame_000001,marker,5,5,75.0046480320989
moving,moving_frame_000080,marker,5,5,117.73581612233441
moving,moving_frame_000081,marker,5,5,97.28934011417364
moving,moving_frame_000082,marker,5,5,94.81623473222339
moving,moving_frame_000083,marker,5,5,81.96300838075086
moving,moving_frame_000084,marker,5,5,107.530375231496
moving,moving_frame_000085,marker,5,5,128.68465453381162
moving,moving_frame_000086,marker,5,5,165.38384993392202
static,cam_edge_0,marker,7,7,331.3138837240767
moving,moving_frame_000070,marker,7,7,71.6146729391303
moving,moving_frame_000071,marker,7,7,61.59116294225904
moving,moving_frame_000072,marker,7,7,59.45618986492343
moving,moving_frame_000073,marker,7,7,60.068866926922475
moving,moving_frame_000074,marker,7,7,72.2571482283469
moving,moving_frame_000075,marker,7,7,83.33271960036498
moving,moving_frame_000076,marker,7,7,85.85733611523061
moving,moving_frame_000077,marker,7,7,95.00000004937327
moving,moving_frame_000078,marker,7,7,106.76925367332245
moving,moving_frame_000079,marker,7,7,117.75857229193147
moving,moving_frame_000087,marker,8,8,144.7412366347379
moving,moving_frame_000088,marker,8,8,192.24735650798192
moving,moving_frame_000089,marker,8,8,269.2755666730284
moving,moving_frame_000090,marker,8,8,346.49500118593664
moving,moving_frame_000091,marker,8,8,495.475047049771
moving,moving_frame_000092,marker,8,8,735.9773289848517
moving,moving_frame_000055,marker,3,3,61.90669356628389
moving,moving_frame_000056,marker,3,3,47.704541804851196
moving,moving_frame_000057,marker,3,3,51.88700984480812
moving,moving_frame_000058,marker,3,3,43.267508872328634
moving,moving_frame_000059,marker,3,3,42.69591975002614
moving,moving_frame_000060,marker,3,3,49.3131838507678
moving,moving_frame_000061,marker,3,3,51.376451420023855
moving,moving_frame_000063,marker,3,3,56.074358376452295
marker,0,moving,moving_frame_000175,0,30.750010088829416
marker,4,static,cam_edge_0,4,630.0862009601748
static,cam_edge_5,marker,0,0,5.188973769673857
moving,moving_frame_000038,marker,0,0,472.04683203682777
moving,moving_frame_000039,marker,0,0,405.80023925597845
moving,moving_frame_000040,marker,0,0,344.1857041724502
moving,moving_frame_000041,marker,0,0,266.715376506981
moving,moving_frame_000042,marker,0,0,255.87137756992414
moving,moving_frame_000043,marker,0,0,220.6391035189428
moving,moving_frame_000044,marker,0,0,200.93082993268644
moving,moving_frame_000045,marker,0,0,180.80939000568253
moving,moving_frame_000046,marker,0,0,187.74394789387603
moving,moving_frame_000047,marker,0,0,189.17714073514244
moving,moving_frame_000048,marker,0,0,189.81392911587417
moving,moving_frame_000049,marker,0,0,196.41607631974185
moving,moving_frame_000161,marker,0,0,3.7384391471900873
moving,moving_frame_000162,marker,0,0,3.7915213817756044
moving,moving_frame_000163,marker,0,0,4.4193104462802735
moving,moving_frame_000168,marker,0,0,8.820973653312574
moving,moving_frame_000169,marker,0,0,9.745552512633136
moving,moving_frame_000171,marker,0,0,15.212348348342962
moving,moving_frame_000172,marker,0,0,17.176431461783483
moving,moving_frame_000173,marker,0,0,21.01605124640894
moving,moving_frame_000178,marker,0,0,62.14415598443899
moving,moving_frame_000179,marker,0,0,66.96956401337187
moving,moving_frame_000182,marker,0,0,153.73148358660362
moving,moving_frame_000184,marker,0,0,276.91692317654423
moving,moving_frame_000065,marker,4,4,192.29605034816083
moving,moving_frame_000066,marker,4,4,224.8928395680254
moving,moving_frame_000067,marker,4,4,238.03421296877795
moving,moving_frame_000068,marker,4,4,279.0412811195527
moving,moving_frame_000069,marker,4,4,306.6996896918107
marker,13,static,cam_edge_5,13,741.2206453136474
marker,11,static,cam_edge_5,11,395.7335709218971
marker,12,static,cam_edge_5,12,336.21341778693596
marker,9,static,cam_edge_5,9,292.85431463876324
marker,10,static,cam_edge_5,10,125.53704690346022
moving,moving_frame_000128,marker,13,13,472.1977667031217
moving,moving_frame_000129,marker,13,13,478.50260602505034
moving,moving_frame_000130,marker,13,13,403.50323572514213
moving,moving_frame_000131,marker,13,13,403.50323572514213
moving,moving_frame_000132,marker,13,13,368.1657338162239
moving,moving_frame_000133,marker,13,13,383.89278852377686
moving,moving_frame_000134,marker,13,13,447.0867929237182
moving,moving_frame_000135,marker,13,13,519.3403347346714
moving,moving_frame_000097,marker,11,11,141.71345940298153
moving,moving_frame_000136,marker,11,11,1842.2542842441558
moving,moving_frame_000137,marker,11,11,1807.3679338186694
moving,moving_frame_000095,marker,12,12,42.488575155369595
moving,moving_frame_000098,marker,12,12,84.46974312671522
moving,moving_frame_000099,marker,12,12,101.05297954028279
moving,moving_frame_000100,marker,12,12,121.17208043777221
moving,moving_frame_000101,marker,12,12,155.33469453234753
moving,moving_frame_000102,marker,12,12,202.81027126160308
moving,moving_frame_000103,marker,12,12,246.32282898207197
moving,moving_frame_000104,marker,12,12,295.48389882210415
moving,moving_frame_000105,marker,12,12,358.473970302101
moving,moving_frame_000106,marker,12,12,448.3719217747937
moving,moving_frame_000107,marker,12,12,511.5169226085122
moving,moving_frame_000108,marker,12,12,571.8101870550706
moving,moving_frame_000109,marker,12,12,633.1947482609352
moving,moving_frame_000110,marker,12,12,629.4575198524496
moving,moving_frame_000111,marker,12,12,650.6526115048667
moving,moving_frame_000112,marker,12,12,614.75800620145
moving,moving_frame_000113,marker,12,12,571.256325454306
moving,moving_frame_000114,marker,12,12,519.0355021199006
moving,moving_frame_000115,marker,12,12,430.89045139330443
moving,moving_frame_000116,marker,12,12,490.2326833903131
moving,moving_frame_000117,marker,12,12,531.1770117571856
moving,moving_frame_000118,marker,12,12,564.9230352057881
moving,moving_frame_000121,marker,9,9,184.70880998401122
moving,moving_frame_000122,marker,9,9,153.314549701206
moving,moving_frame_000123,marker,9,9,139.1796307367378
moving,moving_frame_000124,marker,9,9,120.01919985134761
moving,moving_frame_000125,marker,9,9,121.94808544242645
moving,moving_frame_000126,marker,9,9,113.31672133376097
moving,moving_frame_000127,marker,9,9,117.47794399693997
moving,moving_frame_000139,marker,9,9,165.6771683849188
moving,moving_frame_000140,marker,9,9,240.2065140292699
moving,moving_frame_000141,marker,9,9,321.64325764161913
moving,moving_frame_000142,marker,9,9,476.7938113428414
moving,moving_frame_000143,marker,9,9,649.5642062881599
moving,moving_frame_000144,marker,9,9,948.0080522646
moving,moving_frame_000119,marker,10,10,73.47774023752032
moving,moving_frame_000120,marker,10,10,80.02442850771945
