camera,source_camera_info,image_width,image_height,fx,fy,cx,cy,hfov_deg,vfov_deg,marker_length_m,marker_id,center_u,center_v,corner0_u,corner0_v,corner1_u,corner1_v,corner2_u,corner2_v,corner3_u,corner3_v,pnp_success,tvec_x_m,tvec_y_m,tvec_z_m,distance_m,rvec_x,rvec_y,rvec_z
cam_edge_1,front_right,1280,720,929.5935668945312,930.330078125,655.2582397460938,353.51751708984375,69.09271747491788,42.3088318526001,0.17,1,900.5,452.75,848.0,447.0,906.0,437.0,956.0,458.0,892.0,469.0,True,0.5584153229409441,0.22505866682753423,2.1199651716400494,2.2037993115019003,1.7575349801377662,-0.37211961746882377,0.2745928307848836
cam_edge_3,front_left,1280,720,919.951171875,920.0068969726562,661.20947265625,356.6334228515625,69.65182951956672,42.74095302362899,0.17,1,676.75,641.25,650.0,595.0,760.0,623.0,707.0,692.0,590.0,655.0,True,0.02077057461662427,0.37929410191849516,1.236431822678056,1.2934678521907848,1.8083946161873041,0.4361008982430449,-0.34563480951066244
cam_edge_5,back_right,1280,720,927.202392578125,927.3688354492188,651.477294921875,358.7645263671875,69.23063516122471,42.431932431574616,0.17,11,659.0,472.25,639.0,454.0,709.0,461.0,680.0,491.0,608.0,483.0,True,0.016489146709504264,0.2487918055017991,2.0438533347555854,2.0590060000970323,1.8297868604891958,0.33062152236077935,-0.34802168458592825
