marker_id,status,estimated_cam1_in_cam3_x,gt_cam1_in_cam3_x,err_x_cm,estimated_cam1_in_cam3_y,gt_cam1_in_cam3_y,err_y_cm,estimated_cam1_in_cam3_z,gt_cam1_in_cam3_z,err_z_cm,estimated_roll_deg,gt_roll_deg,estimated_pitch_deg,gt_pitch_deg,estimated_yaw_deg,gt_yaw_deg,translation_error_cm,rotation_error_deg,root_distance_m,target_distance_m
1,GOOD_INLIER,-2.1467,-2.1394,-0.74,-0.1357,-0.1285,-0.72,0.2521,0.3535,-10.14,16.365,16.174,48.875,50.492,25.167,24.588,10.19,1.679,1.394,2.483
2,WEAK_INLIER,-2.1155,-2.1394,2.38,-0.0200,-0.1285,10.85,0.0974,0.3535,-25.61,16.208,16.174,46.854,50.492,23.379,24.588,27.92,3.842,2.602,3.651
8,REJECT_FAR_MARKER,-2.7382,-2.1394,-59.88,-0.3880,-0.1285,-25.94,0.4591,0.3535,10.56,15.302,16.174,55.273,50.492,24.573,24.588,66.11,4.857,6.057,7.223
5,REJECT_FAR_MARKER,-2.8086,-2.1394,-66.92,0.1172,-0.1285,24.57,0.8327,0.3535,47.92,24.169,16.174,55.921,50.492,29.729,24.588,85.90,7.341,5.376,6.607
7,REJECT_FAR_MARKER,-2.2517,-2.1394,-11.23,-2.7175,-0.1285,-258.89,0.2741,0.3535,-7.94,-17.841,16.174,56.671,50.492,8.200,24.588,259.26,23.708,5.714,6.418
6,REJECT_FAR_MARKER,2.8638,-2.1394,500.31,0.3270,-0.1285,45.55,-0.5369,0.3535,-89.04,4.033,16.174,3.531,50.492,8.837,24.588,510.21,48.981,5.616,6.298
