marker_id,segment,corner_a,corner_b,length_colmap_units,length_metric_m,scale_m_per_colmap_unit,used_for_scale,scale_abs_dev_from_median
14,side_01,0,1,0.2470553578859308,0.17,0.6881048905585427,yes,0.0020457375257287858
14,side_12,1,2,0.24558791515842598,0.17,0.6922164711986538,yes,0.002065843114382293
14,side_23,2,3,0.24786794157382575,0.17,0.6858490812510608,yes,0.004301546833210712
14,side_30,3,0,0.24477352344287118,0.17,0.6945195608122098,yes,0.004368932727938257
14,diag_02,0,2,0.3480958310318394,0.2404163056034262,0.6906612609831456,yes,0.0005106328988740971
14,diag_13,1,3,0.34861131500761433,0.2404163056034262,0.6896399951853974,yes,0.0005106328988740971
