model,image_name,source_type,camera_id,qw,qx,qy,qz,tx,ty,tz
0,moving_frame_0188.png,moving,5,0.7032929537018885,-0.0062769549436913884,0.6521039153181575,0.28301961899599415,-5.82344130129966,-0.5217646705698514,1.1925801404204235
0,moving_frame_0187.png,moving,5,0.7378325941963544,-0.004807487166461482,0.6183029592836722,0.27070537776275494,-5.8174855390003115,-0.3012691736730141,0.6440596073406956
0,moving_frame_0186.png,moving,5,0.7705442019445249,-0.0028708370616668134,0.5832486548637268,0.25704940720393404,-5.753762518486736,-0.0742445737040275,0.11479227821142944
0,moving_frame_0184.png,moving,5,0.8302292210343377,0.002237731854862092,0.5086258992780304,0.2280660599047509,-5.4611937977966685,0.37458027050881487,-0.8811335231346143
0,moving_frame_0185.png,moving,5,0.8015465305244915,-0.00016325836445129873,0.5463193484380867,0.2430191397257456,-5.632463085593791,0.1548532205325943,-0.3992569557495106
0,moving_frame_0183.png,moving,5,0.8567209884068813,0.005135135459618479,0.47015122276444177,0.21203916180754914,-5.244191805016719,0.5902973381680949,-1.3305877388400624
0,moving_frame_0182.png,moving,5,0.9035482725362158,0.010369829849954505,0.3895018334512753,0.17827312630847725,-4.678777458045927,0.9836969572514533,-2.1278828887889385
0,moving_frame_0181.png,moving,5,0.9035482725362158,0.01036982984995452,0.3895018334512752,0.17827312630847722,-4.678777458045927,0.983696957251454,-2.127882888788938
0,moving_frame_0180.png,moving,5,0.9239301764406271,0.014239449292009527,0.3467766768881491,0.16092297384980198,-4.3326804130027625,1.173610138662687,-2.4757437391924473
0,moving_frame_0179.png,moving,5,0.9416749336367021,0.018545687094217143,0.30425165596440445,0.14260191686451446,-3.965845876533984,1.3532242842544515,-2.7724791311678465
0,moving_frame_0178.png,moving,5,0.9572520985136382,0.02152505070334309,0.26091346555616646,0.12300103891807414,-3.5701691236519593,1.5025228707170877,-3.031016030076769
0,moving_frame_0175.png,moving,5,0.9893104372670536,0.02940913323397005,0.12838909363228676,0.06257956721788632,-2.2928758770811166,1.8175380116225786,-3.552879083184712
0,moving_frame_0177.png,moving,5,0.970424456272069,0.02826461690120377,0.21599178104758565,0.1040434362195877,-3.147525892360393,1.675675103000171,-3.238895933865083
0,moving_frame_0176.png,moving,5,0.9810783979944174,0.027285643940849588,0.1724786894141666,0.0836168184123998,-2.725367994307373,1.7379289237315596,-3.4218783009827196
0,moving_frame_0174.png,moving,5,0.9950670994769253,0.03453571715472063,0.0830539668798279,0.04184244692549119,-1.849620091015076,1.9114801267308412,-3.628165474426947
0,moving_frame_0173.png,moving,5,0.9984364785120993,0.035041521532481745,0.038539089660454474,0.0202837056079622,-1.414781106133283,1.93354900483352,-3.67722983364965
0,moving_frame_0172.png,moving,5,0.9991640948061941,0.04076665802553538,-0.002067184803106699,-0.002217654287256342,-1.0334889847779536,1.9980383797661732,-3.6602329310341766
0,moving_frame_0170.png,moving,5,0.9960192489637579,0.036979528130133686,-0.07237605649676268,-0.0366043254127394,-0.3888966360701104,1.8849902134940861,-3.51013212714862
0,moving_frame_0171.png,moving,5,0.9976667134066886,0.04297724280628734,-0.04725035814256711,-0.024114087510521676,-0.6083247996526123,1.9995634128292794,-3.633405485415306
0,moving_frame_0168.png,moving,5,0.9903266059326197,0.0204074645220431,-0.12395087431614568,-0.0589315681958528,-0.008045963773873592,1.5946312830208038,-3.2495424400990953
0,moving_frame_0169.png,moving,5,0.9937799723658174,0.027440923494050633,-0.09719161217228964,-0.046927100546912875,-0.20376646931336562,1.7242943598176614,-3.3960636659738728
