marker_id,reference_marker_id,coordinate_frame,entity_type,entity_id,source,x_m,y_m,z_m,roll_deg,pitch_deg,yaw_deg,rvec_x,rvec_y,rvec_z
0,3,marker_3_reference_frame,marker,0,ba_with_moving,0.343743099008404,-0.12255286598643463,-0.2755726346064056,-68.04372827412729,2.5860220198723733,-3.1180866105568086,-1.1858400222870258,0.07198991780377251,-0.021063994993736672
2,3,marker_3_reference_frame,marker,2,ba_with_moving,1.1118621280256915,-0.34863025788325663,2.3693520232390144,5.356514395866848,3.7195796294915637,-2.6996435378932593,0.09496810028613431,0.06265864038344836,-0.050101430809533644
3,3,marker_3_reference_frame,marker,3,ba_with_moving,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
4,3,marker_3_reference_frame,marker,4,ba_with_moving,1.272581266704522,-0.28363510738428893,3.6694362470028707,-70.61240351764998,2.7971903345064923,-2.8349285130609316,-1.230688642555323,0.07294238689803452,-0.012963938513693625
5,3,marker_3_reference_frame,marker,5,ba_with_moving,0.012125482496351364,-0.38154355255627703,3.0825855904036357,161.6076110772634,-2.0697541205206855,176.12503230592344,-0.1130031330192397,-3.074371561731905,-0.49965809003966805
6,3,marker_3_reference_frame,marker,6,ba_with_moving,1.8939836426514918,1.054407301463712,1.5325411336323105,84.02171347910335,-72.83756755080817,-86.09766183884719,0.20528936146330795,-1.5321476759988366,-0.2615395189632761
7,3,marker_3_reference_frame,marker,7,ba_with_moving,0.039307696859738804,1.3922209832450705,-1.4970971766087442,142.02594619278835,-1.2105700194423288,178.50707643209552,-0.04931573546874062,-2.95928381869991,-1.0186692774540727
8,3,marker_3_reference_frame,marker,8,ba_with_moving,1.8688084201634634,1.6144465945676751,-0.02491295734499218,82.29186176403299,-71.405055778627,-85.5014284014176,0.20871912075742724,-1.521052224678606,-0.29545732853784484
9,3,marker_3_reference_frame,marker,9,ba_with_moving,1.798169574900964,1.6813045574256444,-1.7459470398081904,70.32252306360623,-71.0545072680015,-81.0124775407241,0.10548824963799748,-1.4694944740920013,-0.39235786600031214
10,3,marker_3_reference_frame,marker,10,ba_with_moving,1.853250528237647,1.936950397639135,-0.9138771705358624,79.82280365433886,-74.23878031867692,-82.17254540738597,0.18023374846882145,-1.5170456603685536,-0.24383543747401368
12,3,marker_3_reference_frame,marker,12,ba_with_moving,0.5408294148124337,1.8510156758239642,-2.5618910212801627,-72.1492846417779,1.260086183903779,-2.47002590482185,-1.258509012708933,0.046142824656768874,-0.02340915373400037
15,3,marker_3_reference_frame,marker,15,ba_with_moving,-0.6476258544399777,1.3053345438557233,0.787508422144109,102.0407539240125,71.49367496703671,99.11510713400304,0.29128404868734786,1.6151759888530446,0.21118795855208689
16,3,marker_3_reference_frame,marker,16,ba_with_moving,-0.714860969929763,0.2671718110029349,0.5254929564879282,100.4223142870116,71.19370452953001,96.47551229718557,0.310448857023268,1.6031716419110733,0.20259699421520402
17,3,marker_3_reference_frame,marker,17,ba_with_moving,1.820583105921771,2.4586052652138717,-2.3055276168537526,86.18465694670873,-71.712188649045,-88.53262088042237,0.2179162623457747,-1.5413616373352201,-0.2815618462307058
18,3,marker_3_reference_frame,marker,18,ba_with_moving,1.9387167410698882,0.5397369611367079,3.049563932541881,86.29359810607548,-70.58892057426745,-88.96915737384357,0.22891464100850564,-1.5401531354102245,-0.30136096280028
19,3,marker_3_reference_frame,marker,19,ba_with_moving,-0.18755595826920227,0.9921817256524323,1.7804603693868075,91.52320406493624,70.78573429905374,87.60058648890006,0.31630342134859835,1.5515082325568887,0.20990384908696405
20,3,marker_3_reference_frame,marker,20,ba_with_moving,1.4886503336192893,0.49592920493899206,0.16975298819457224,16.685321036565544,6.04902933129788,-8.442371113665676,0.29819362014081935,0.08321878079530218,-0.1615423417428908
