REAL VEHICLE — SECONDARY AP02 MARKER MAP
========================================================================================================================

Reference marker: 3
Coordinate frame: marker_3_reference_frame
Ground truth used: false
This is an internally estimated metric marker map. No simulation marker positions are used or compared.

Observed marker IDs:  [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Optimized marker IDs: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20]
Observed but missing from optimized map: []

  Marker         x [m]         y [m]         z [m]        rvec x        rvec y        rvec z
------------------------------------------------------------------------------------------------------------------------
       0      0.343743     -0.122553     -0.275573     -1.185840      0.071990     -0.021064
       2      1.111862     -0.348630      2.369352      0.094968      0.062659     -0.050101
       3      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
       4      1.272581     -0.283635      3.669436     -1.230689      0.072942     -0.012964
       5      0.012125     -0.381544      3.082586     -0.113003     -3.074372     -0.499658
       6      1.893984      1.054407      1.532541      0.205289     -1.532148     -0.261540
       7      0.039308      1.392221     -1.497097     -0.049316     -2.959284     -1.018669
       8      1.868808      1.614447     -0.024913      0.208719     -1.521052     -0.295457
       9      1.798170      1.681305     -1.745947      0.105488     -1.469494     -0.392358
      10      1.853251      1.936950     -0.913877      0.180234     -1.517046     -0.243835
      12      0.540829      1.851016     -2.561891     -1.258509      0.046143     -0.023409
      15     -0.647626      1.305335      0.787508      0.291284      1.615176      0.211188
      16     -0.714861      0.267172      0.525493      0.310449      1.603172      0.202597
      17      1.820583      2.458605     -2.305528      0.217916     -1.541362     -0.281562
      18      1.938717      0.539737      3.049564      0.228915     -1.540153     -0.301361
      19     -0.187556      0.992182      1.780460      0.316303      1.551508      0.209904
      20      1.488650      0.495929      0.169753      0.298194      0.083219     -0.161542
